retro_native_rank	supplier_id	consumer_id	supplier_name	consumer_name	supplier_family	consumer_family	score	supplier_is_retro50	consumer_is_retro50	legacy_policy_eligible	new_same_parent_family_expansion	candidate_origin	r386_disposition	r386_raw_native_rank	current_adjudication_state	completed_product_id	needs_fresh_adjudication	interface_matches	addressed_weaknesses	shared_domains
11	FOUNDRY:P065	PARENT:R014_S781_S792_ACSA	P065 SWTE	R014_S781_S792_ACSA	FOUNDRY_PRODUCT	FOUNDRY_PARENT	34.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE				V2P019	False	boundary,gate	calibration,support	calibration,support,transfer
12	FOUNDRY:P065	PARENT:R018_M866_M880_MCSC	P065 SWTE	R018_M866_M880_MCSC	FOUNDRY_PRODUCT	FOUNDRY_PARENT	34.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	STATIC_COLLAPSE_STRUCTURAL_AUDIT_FAMILY	895			False	boundary,gate	calibration,support	boundary,calibration,support,transfer
13	FOUNDRY:P065	PARENT:R044_DECISION_LOSS_DLEW	P065 SWTE	R044_DECISION_LOSS_DLEW	FOUNDRY_PRODUCT	FOUNDRY_PARENT	34.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	STATIC_COLLAPSE_DECISION_LOSS_FAMILY	208			False	boundary,gate	calibration,support	calibration,support,transfer
14	FOUNDRY:P079	PARENT:R020_P848_P851_SCCRT	P079 CBIA	R020_P848_P851_SCCRT	FOUNDRY_PRODUCT	FOUNDRY_PARENT	34.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	REJECT_SEMANTIC	762			False	evidence	calibration,decision,uncertainty	calibration,decision,uncertainty
15	FOUNDRY:P140	PARENT:R014_S781_S792_ACSA	P140 BOSA	R014_S781_S792_ACSA	FOUNDRY_PRODUCT	FOUNDRY_PARENT	34.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	COLLAPSE_AUDIT_SELECTION	609			False	gate,representation	calibration,support	audit,calibration,support,transfer
16	FOUNDRY:P140	PARENT:R018_M866_M880_MCSC	P140 BOSA	R018_M866_M880_MCSC	FOUNDRY_PRODUCT	FOUNDRY_PARENT	34.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	COLLAPSE_AUDIT_SELECTION	941			False	gate,representation	calibration,support	audit,calibration,selection,support,transfer
17	FOUNDRY:P140	PARENT:R041_CONSTRAINED_POLICY_CAPL	P140 BOSA	R041_CONSTRAINED_POLICY_CAPL	FOUNDRY_PRODUCT	FOUNDRY_PARENT	34.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	STATIC_COLLAPSE_POLICY_FEASIBILITY_FAMILY	147			False	gate,representation	calibration,support	calibration,decision,support
18	FOUNDRY:P140	PARENT:R044_DECISION_LOSS_DLEW	P140 BOSA	R044_DECISION_LOSS_DLEW	FOUNDRY_PRODUCT	FOUNDRY_PARENT	34.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	STATIC_COLLAPSE_DECISION_LOSS_FAMILY	245			False	gate,representation	calibration,support	audit,calibration,decision,selection,support,transfer
19	PARENT:IM334_IM094_DRE	PARENT:R008_E612_E613_LGID	IM334_IM094_DRE	R008_E612_E613_LGID	FOUNDRY_PARENT	FOUNDRY_PARENT	34.0	False	True	False	True	R388_RETRO50_SAME_PARENT_EXPANSION					True	boundary,evidence,gate	uncertainty	allocation,calibration,control,support,uncertainty
20	PARENT:IM334_IM094_DRE	PARENT:R014_S781_S792_ACSA	IM334_IM094_DRE	R014_S781_S792_ACSA	FOUNDRY_PARENT	FOUNDRY_PARENT	34.0	False	True	False	True	R388_RETRO50_SAME_PARENT_EXPANSION					True	boundary,evidence,gate	uncertainty	allocation,calibration,control,support,transfer,uncertainty
21	PARENT:IM334_IM094_DRE	PARENT:R018_M866_M880_MCSC	IM334_IM094_DRE	R018_M866_M880_MCSC	FOUNDRY_PARENT	FOUNDRY_PARENT	34.0	False	True	False	True	R388_RETRO50_SAME_PARENT_EXPANSION					True	boundary,evidence,gate	uncertainty	allocation,boundary,calibration,control,support,transfer,uncertainty
22	PARENT:IM334_IM094_DRE	PARENT:R041_CONSTRAINED_POLICY_CAPL	IM334_IM094_DRE	R041_CONSTRAINED_POLICY_CAPL	FOUNDRY_PARENT	FOUNDRY_PARENT	34.0	False	True	False	True	R388_RETRO50_SAME_PARENT_EXPANSION					True	boundary,evidence,gate	uncertainty	allocation,calibration,control,decision,support,uncertainty
23	PARENT:IM334_IM094_DRE	PARENT:R044_DECISION_LOSS_DLEW	IM334_IM094_DRE	R044_DECISION_LOSS_DLEW	FOUNDRY_PARENT	FOUNDRY_PARENT	34.0	False	True	False	True	R388_RETRO50_SAME_PARENT_EXPANSION					True	boundary,evidence,gate	uncertainty	allocation,calibration,control,decision,support,transfer,uncertainty
24	PARENT:R037_SUPPORT_COVARIANCE_SACPS	FOUNDRY:P035	R037_SUPPORT_COVARIANCE_SACPS	P035 SVCO	FOUNDRY_PARENT	FOUNDRY_PRODUCT	34.0	True	False	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	COLLAPSE_GATE_ROUTING	87			False	gate	decision,support,uncertainty	calibration,decision,support,uncertainty
25	PARENT:R037_SUPPORT_COVARIANCE_SACPS	LCB-K012	R037_SUPPORT_COVARIANCE_SACPS	PolicyAwareTimingSensorV0	FOUNDRY_PARENT	LCB_KERNEL	34.0	True	False	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	COLLAPSE_GATE_ROUTING	6			False	gate	decision,support,uncertainty	calibration,decision,support,uncertainty
26	FOUNDRY:P065	PARENT:R008_E612_E613_LGID	P065 SWTE	R008_E612_E613_LGID	FOUNDRY_PRODUCT	FOUNDRY_PARENT	33.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	REJECT_SEMANTIC	665			False	boundary,gate	calibration,support	calibration,support
27	FOUNDRY:P065	PARENT:R041_CONSTRAINED_POLICY_CAPL	P065 SWTE	R041_CONSTRAINED_POLICY_CAPL	FOUNDRY_PRODUCT	FOUNDRY_PARENT	33.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	STATIC_COLLAPSE_POLICY_FEASIBILITY_FAMILY	129			False	boundary,gate	calibration,support	calibration,support
28	FOUNDRY:P091	PARENT:R008_E612_E613_LGID	P091 DCBT	R008_E612_E613_LGID	FOUNDRY_PRODUCT	FOUNDRY_PARENT	33.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	REJECT_SEMANTIC	112			False	boundary,gate,representation	calibration	allocation,calibration,support,uncertainty
29	FOUNDRY:P091	PARENT:R014_S781_S792_ACSA	P091 DCBT	R014_S781_S792_ACSA	FOUNDRY_PRODUCT	FOUNDRY_PARENT	33.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	STATIC_COLLAPSE_AUDIT_SELECTION_FAMILY	77			False	boundary,gate,representation	calibration	allocation,calibration,support,transfer,uncertainty
30	FOUNDRY:P091	PARENT:R018_M866_M880_MCSC	P091 DCBT	R018_M866_M880_MCSC	FOUNDRY_PRODUCT	FOUNDRY_PARENT	33.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	STATIC_COLLAPSE_STRUCTURAL_AUDIT_FAMILY	268			False	boundary,gate,representation	calibration	allocation,boundary,calibration,support,transfer,uncertainty
31	FOUNDRY:P091	PARENT:R041_CONSTRAINED_POLICY_CAPL	P091 DCBT	R041_CONSTRAINED_POLICY_CAPL	FOUNDRY_PRODUCT	FOUNDRY_PARENT	33.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	STATIC_COLLAPSE_POLICY_FEASIBILITY_FAMILY	10			False	boundary,gate,representation	calibration	allocation,calibration,decision,support,uncertainty
32	FOUNDRY:P091	PARENT:R044_DECISION_LOSS_DLEW	P091 DCBT	R044_DECISION_LOSS_DLEW	FOUNDRY_PRODUCT	FOUNDRY_PARENT	33.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	STATIC_COLLAPSE_DECISION_LOSS_FAMILY	14			False	boundary,gate,representation	calibration	allocation,calibration,decision,support,transfer,uncertainty
33	FOUNDRY:P140	PARENT:R008_E612_E613_LGID	P140 BOSA	R008_E612_E613_LGID	FOUNDRY_PRODUCT	FOUNDRY_PARENT	33.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	REJECT_SEMANTIC	781			False	gate,representation	calibration,support	calibration,support
34	FOUNDRY:P141	PARENT:R018_M866_M880_MCSC	P141 PCFT	R018_M866_M880_MCSC	FOUNDRY_PRODUCT	FOUNDRY_PARENT	33.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE				V2P036	False	boundary,gate,representation	calibration	boundary,calibration,transfer
35	FOUNDRY:P141	PARENT:R044_DECISION_LOSS_DLEW	P141 PCFT	R044_DECISION_LOSS_DLEW	FOUNDRY_PRODUCT	FOUNDRY_PARENT	33.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE				V2P030	False	boundary,gate,representation	calibration	calibration,decision,transfer
36	FOUNDRY:P141	PARENT:R014_S781_S792_ACSA	P141 PCFT	R014_S781_S792_ACSA	FOUNDRY_PRODUCT	FOUNDRY_PARENT	32.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	STATIC_COLLAPSE_AUDIT_SELECTION_FAMILY	555			False	boundary,gate,representation	calibration	calibration,transfer
37	FOUNDRY:P141	PARENT:R041_CONSTRAINED_POLICY_CAPL	P141 PCFT	R041_CONSTRAINED_POLICY_CAPL	FOUNDRY_PRODUCT	FOUNDRY_PARENT	32.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	STATIC_COLLAPSE_POLICY_FEASIBILITY_FAMILY	140			False	boundary,gate,representation	calibration	calibration,decision
38	PARENT:R037_SUPPORT_COVARIANCE_SACPS	PARENT:IM178_IM326_TWMR	R037_SUPPORT_COVARIANCE_SACPS	IM178_IM326_TWMR	FOUNDRY_PARENT	FOUNDRY_PARENT	32.0	True	False	False	True	R388_RETRO50_SAME_PARENT_EXPANSION					True		decision,support,uncertainty	calibration,decision,support,uncertainty
39	PARENT:R037_SUPPORT_COVARIANCE_SACPS	PARENT:R020_P848_P851_SCCRT	R037_SUPPORT_COVARIANCE_SACPS	R020_P848_P851_SCCRT	FOUNDRY_PARENT	FOUNDRY_PARENT	32.0	True	True	False	True	R388_RETRO50_SAME_PARENT_EXPANSION					True		decision,support,uncertainty	calibration,decision,support,uncertainty
40	FOUNDRY:P023	PARENT:R014_S781_S792_ACSA	P023 COST	R014_S781_S792_ACSA	FOUNDRY_PRODUCT	FOUNDRY_PARENT	31.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	COLLAPSE_AUDIT_SELECTION	191			False	boundary,gate	calibration,support	calibration,support,transfer
41	FOUNDRY:P023	PARENT:R018_M866_M880_MCSC	P023 COST	R018_M866_M880_MCSC	FOUNDRY_PRODUCT	FOUNDRY_PARENT	31.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	COLLAPSE_AUDIT_SELECTION	459			False	boundary,gate	calibration,support	boundary,calibration,support,transfer
42	FOUNDRY:P023	PARENT:R044_DECISION_LOSS_DLEW	P023 COST	R044_DECISION_LOSS_DLEW	FOUNDRY_PRODUCT	FOUNDRY_PARENT	31.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	STATIC_COLLAPSE_DECISION_LOSS_FAMILY	57			False	boundary,gate	calibration,support	calibration,support,transfer
43	FOUNDRY:P109	PARENT:R020_P848_P851_SCCRT	P109 CCIA	R020_P848_P851_SCCRT	FOUNDRY_PRODUCT	FOUNDRY_PARENT	31.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	REJECT_SEMANTIC	932			False	evidence	calibration,decision,uncertainty	calibration,decision,uncertainty
44	FOUNDRY:P141	PARENT:R008_E612_E613_LGID	P141 PCFT	R008_E612_E613_LGID	FOUNDRY_PRODUCT	FOUNDRY_PARENT	31.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	REJECT_SEMANTIC	692			False	boundary,gate,representation	calibration	calibration
45	PARENT:IM334_IM094_DRE	PARENT:R020_P848_P851_SCCRT	IM334_IM094_DRE	R020_P848_P851_SCCRT	FOUNDRY_PARENT	FOUNDRY_PARENT	31.0	False	True	False	True	R388_RETRO50_SAME_PARENT_EXPANSION					True	evidence	decision,uncertainty	allocation,calibration,decision,support,uncertainty
46	PARENT:IM406_IM037_ACRA	PARENT:R020_P848_P851_SCCRT	IM406_IM037_ACRA	R020_P848_P851_SCCRT	FOUNDRY_PARENT	FOUNDRY_PARENT	31.0	False	True	False	True	R388_RETRO50_SAME_PARENT_EXPANSION					True	evidence	decision,uncertainty	allocation,calibration,decision,support,uncertainty
47	PARENT:R037_SUPPORT_COVARIANCE_SACPS	FOUNDRY:P137	R037_SUPPORT_COVARIANCE_SACPS	P137 MPHA	FOUNDRY_PARENT	FOUNDRY_PRODUCT	31.0	True	False	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	COLLAPSE_GATE_ROUTING	21			False	gate	support,uncertainty	audit,calibration,support,transfer,uncertainty
48	PARENT:R037_SUPPORT_COVARIANCE_SACPS	LCB-K003	R037_SUPPORT_COVARIANCE_SACPS	SharedCapacityAllocatorV0	FOUNDRY_PARENT	LCB_KERNEL	31.0	True	False	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	COLLAPSE_ALLOCATION	95			False	gate	support,uncertainty	calibration,decision,support,uncertainty
49	PARENT:R037_SUPPORT_COVARIANCE_SACPS	LCB-K010	R037_SUPPORT_COVARIANCE_SACPS	CoverageFeedbackControllerV0	FOUNDRY_PARENT	LCB_KERNEL	31.0	True	False	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	COLLAPSE_GATE_ROUTING	17			False	gate	support,uncertainty	calibration,decision,support,uncertainty
50	PARENT:R037_SUPPORT_COVARIANCE_SACPS	LCB-K015	R037_SUPPORT_COVARIANCE_SACPS	VarianceAwareCapacityPlannerV0	FOUNDRY_PARENT	LCB_KERNEL	31.0	True	False	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	COLLAPSE_AUDIT_SELECTION	25			False	gate	support,uncertainty	calibration,decision,support,uncertainty
51	PARENT:R037_SUPPORT_COVARIANCE_SACPS	LCB-K035	R037_SUPPORT_COVARIANCE_SACPS	ConsequenceCoverageAllocatorV0	FOUNDRY_PARENT	LCB_KERNEL	31.0	True	False	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	COLLAPSE_ALLOCATION	34			False	gate	support,uncertainty	calibration,decision,support,uncertainty
52	PARENT:R037_SUPPORT_COVARIANCE_SACPS	LCB-K048	R037_SUPPORT_COVARIANCE_SACPS	MultiFidelityBudgetControllerV0	FOUNDRY_PARENT	LCB_KERNEL	31.0	True	False	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	COLLAPSE_ALLOCATION	103			False	gate	support,uncertainty	calibration,decision,support,uncertainty
53	PARENT:R037_SUPPORT_COVARIANCE_SACPS	LCB-K049	R037_SUPPORT_COVARIANCE_SACPS	BarrierAwareTransitionPlannerV0	FOUNDRY_PARENT	LCB_KERNEL	31.0	True	False	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	REJECT_SEMANTIC	63			False	gate	support,uncertainty	calibration,decision,support,uncertainty
54	PARENT:R037_SUPPORT_COVARIANCE_SACPS	LCB-K055	R037_SUPPORT_COVARIANCE_SACPS	InterfaceWidthOptimizerV0	FOUNDRY_PARENT	LCB_KERNEL	31.0	True	False	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	REJECT_SEMANTIC	101			False	gate	support,uncertainty	calibration,decision,support,uncertainty
55	PARENT:R037_SUPPORT_COVARIANCE_SACPS	LCB-K056	R037_SUPPORT_COVARIANCE_SACPS	BurdenReliefControllerV0	FOUNDRY_PARENT	LCB_KERNEL	31.0	True	False	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	COLLAPSE_BOUNDARY_CONTROL	137			False	gate	support,uncertainty	calibration,decision,support,uncertainty
56	PARENT:R037_SUPPORT_COVARIANCE_SACPS	LCB-K068	R037_SUPPORT_COVARIANCE_SACPS	AdmissibleShiftRobustOptimizerV0	FOUNDRY_PARENT	LCB_KERNEL	31.0	True	False	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	COLLAPSE_V2P038	60			False	gate	support,uncertainty	calibration,decision,support,uncertainty
57	PARENT:R037_SUPPORT_COVARIANCE_SACPS	LCB-K086	R037_SUPPORT_COVARIANCE_SACPS	TestingWealthControllerV0	FOUNDRY_PARENT	LCB_KERNEL	31.0	True	False	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	COLLAPSE_GATE_ROUTING	62			False	gate	support,uncertainty	calibration,decision,support,uncertainty
58	PARENT:R037_SUPPORT_COVARIANCE_SACPS	LCB-K090	R037_SUPPORT_COVARIANCE_SACPS	ObservabilityCoveragePlannerV0	FOUNDRY_PARENT	LCB_KERNEL	31.0	True	False	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	REJECT_SEMANTIC	38			False	gate	support,uncertainty	calibration,decision,support,uncertainty
59	PARENT:R037_SUPPORT_COVARIANCE_SACPS	LCB-K091	R037_SUPPORT_COVARIANCE_SACPS	ReachAvoidViabilityPlannerV0	FOUNDRY_PARENT	LCB_KERNEL	31.0	True	False	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	REJECT_SEMANTIC	73			False	gate	support,uncertainty	calibration,decision,support,uncertainty
60	PARENT:R037_SUPPORT_COVARIANCE_SACPS	PARENT:IM340_IM280_CWC	R037_SUPPORT_COVARIANCE_SACPS	IM340_IM280_CWC	FOUNDRY_PARENT	FOUNDRY_PARENT	31.0	True	False	False	True	R388_RETRO50_SAME_PARENT_EXPANSION					True	gate	support,uncertainty	calibration,support,uncertainty
61	PARENT:R037_SUPPORT_COVARIANCE_SACPS	PARENT:R008_E612_E613_LGID	R037_SUPPORT_COVARIANCE_SACPS	R008_E612_E613_LGID	FOUNDRY_PARENT	FOUNDRY_PARENT	31.0	True	True	False	True	R388_RETRO50_SAME_PARENT_EXPANSION					True	gate	support,uncertainty	calibration,support,uncertainty
62	PARENT:R037_SUPPORT_COVARIANCE_SACPS	PARENT:R014_S781_S792_ACSA	R037_SUPPORT_COVARIANCE_SACPS	R014_S781_S792_ACSA	FOUNDRY_PARENT	FOUNDRY_PARENT	31.0	True	True	False	True	R388_RETRO50_SAME_PARENT_EXPANSION					True	gate	support,uncertainty	audit,calibration,support,transfer,uncertainty
63	PARENT:R037_SUPPORT_COVARIANCE_SACPS	PARENT:R018_M866_M880_MCSC	R037_SUPPORT_COVARIANCE_SACPS	R018_M866_M880_MCSC	FOUNDRY_PARENT	FOUNDRY_PARENT	31.0	True	True	False	True	R388_RETRO50_SAME_PARENT_EXPANSION					True	gate	support,uncertainty	audit,calibration,support,transfer,uncertainty
64	PARENT:R037_SUPPORT_COVARIANCE_SACPS	PARENT:R041_CONSTRAINED_POLICY_CAPL	R037_SUPPORT_COVARIANCE_SACPS	R041_CONSTRAINED_POLICY_CAPL	FOUNDRY_PARENT	FOUNDRY_PARENT	31.0	True	True	False	True	R388_RETRO50_SAME_PARENT_EXPANSION					True	gate	support,uncertainty	calibration,decision,support,uncertainty
65	PARENT:R037_SUPPORT_COVARIANCE_SACPS	PARENT:R044_DECISION_LOSS_DLEW	R037_SUPPORT_COVARIANCE_SACPS	R044_DECISION_LOSS_DLEW	FOUNDRY_PARENT	FOUNDRY_PARENT	31.0	True	True	False	True	R388_RETRO50_SAME_PARENT_EXPANSION					True	gate	support,uncertainty	audit,calibration,decision,support,transfer,uncertainty
66	PARENT:R038_DECISION_HEDGE_DHCC	FOUNDRY:P138	R038_DECISION_HEDGE_DHCC	P138 SPIA	FOUNDRY_PARENT	FOUNDRY_PRODUCT	31.0	True	False	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	COLLAPSE_ACQUISITION	262			False	gate	decision,uncertainty	calibration,decision,uncertainty
67	PARENT:R038_DECISION_HEDGE_DHCC	PARENT:IM334_IM094_DRE	R038_DECISION_HEDGE_DHCC	IM334_IM094_DRE	FOUNDRY_PARENT	FOUNDRY_PARENT	31.0	True	False	False	True	R388_RETRO50_SAME_PARENT_EXPANSION					True	gate	decision,uncertainty	calibration,decision,transfer,uncertainty
68	PARENT:R038_DECISION_HEDGE_DHCC	PARENT:IM359_IM014_AICC	R038_DECISION_HEDGE_DHCC	IM359_IM014_AICC	FOUNDRY_PARENT	FOUNDRY_PARENT	31.0	True	False	False	True	R388_RETRO50_SAME_PARENT_EXPANSION					True	gate	decision,uncertainty	calibration,decision,uncertainty
69	PARENT:R038_DECISION_HEDGE_DHCC	PARENT:IM406_IM037_ACRA	R038_DECISION_HEDGE_DHCC	IM406_IM037_ACRA	FOUNDRY_PARENT	FOUNDRY_PARENT	31.0	True	False	False	True	R388_RETRO50_SAME_PARENT_EXPANSION					True	gate	decision,uncertainty	calibration,decision,uncertainty
70	FOUNDRY:P023	PARENT:R008_E612_E613_LGID	P023 COST	R008_E612_E613_LGID	FOUNDRY_PRODUCT	FOUNDRY_PARENT	30.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	REJECT_SEMANTIC	187			False	boundary,gate	calibration,support	calibration,support
71	FOUNDRY:P023	PARENT:R041_CONSTRAINED_POLICY_CAPL	P023 COST	R041_CONSTRAINED_POLICY_CAPL	FOUNDRY_PRODUCT	FOUNDRY_PARENT	30.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	STATIC_COLLAPSE_POLICY_FEASIBILITY_FAMILY	24			False	boundary,gate	calibration,support	calibration,support
72	FOUNDRY:P091	PARENT:R023_M421_M428_CORMA	P091 DCBT	R023_M421_M428_CORMA	FOUNDRY_PRODUCT	FOUNDRY_PARENT	30.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	STATIC_REJECT_OR_STRUCTURAL_AUDIT	160			False	representation	calibration,decision	calibration,decision,reduction,resilience,transfer
73	FOUNDRY:P109	PARENT:R014_S781_S792_ACSA	P109 CCIA	R014_S781_S792_ACSA	FOUNDRY_PRODUCT	FOUNDRY_PARENT	30.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	STATIC_COLLAPSE_AUDIT_SELECTION_FAMILY	679			False	evidence,gate	calibration,uncertainty	audit,calibration,transfer,uncertainty
74	FOUNDRY:P109	PARENT:R018_M866_M880_MCSC	P109 CCIA	R018_M866_M880_MCSC	FOUNDRY_PRODUCT	FOUNDRY_PARENT	30.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	STATIC_COLLAPSE_STRUCTURAL_AUDIT_FAMILY	952			False	evidence,gate	calibration,uncertainty	audit,calibration,transfer,uncertainty
75	FOUNDRY:P109	PARENT:R041_CONSTRAINED_POLICY_CAPL	P109 CCIA	R041_CONSTRAINED_POLICY_CAPL	FOUNDRY_PRODUCT	FOUNDRY_PARENT	30.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	STATIC_COLLAPSE_POLICY_FEASIBILITY_FAMILY	170			False	evidence,gate	calibration,uncertainty	calibration,decision,uncertainty
76	FOUNDRY:P109	PARENT:R044_DECISION_LOSS_DLEW	P109 CCIA	R044_DECISION_LOSS_DLEW	FOUNDRY_PRODUCT	FOUNDRY_PARENT	30.0	False	True	True	False	R388_RETRO50_EXISTING_NATIVE_SPACE	STATIC_COLLAPSE_DECISION_LOSS_FAMILY	290			False	evidence,gate	calibration,uncertainty	audit,calibration,decision,transfer,uncertainty
