round	mechanism	status	what_changed	main_open_coordinate
R187	piecewise-polynomial posterior	SERIOUS_COMPILER_AUDIT_OPEN	constant interval density -> exact local polynomial cells	more observation/noise families
R188	compiled Bayes design	SERIOUS_PRIMITIVE_AUDIT_OPEN	blind grid/heuristic action -> breakpoint quadrature Bayes risk	real sensor; multistep approximation
R189	two-step exact lookahead	COST_NEGATIVE	greedy -> nested adaptive second action	cheap distillation before return
R191	crypto representation/first passage	REAL_DATA_NEGATIVE	synthetic Markov winners -> 5-asset untouched crypto test	no confirmed alpha
R193	omitted-event Markov compiler	MATERIAL_PRIOR_ART	observed Q -> resolvent inverse plus held-out regularization	unknown/state-dependent omission
R194	Bongard invariant scout	MATERIAL_PRIOR_ART	hand atoms -> affine quotient sparse vanishing law plus abstention	noise coverage and richer relations
R195	polynomial dispersion compiler	SCOPED_ADVANCE_AUDIT_OPEN	dense geometry search/point quench -> finite envelope roots plus robust difference probe	2D/nonpolynomial/physical
R196	Steinbuch evidence memory	OPERATIONAL_FIX	1-bit latch -> 2-bit revisable evidence	no signed equal-memory edge
R196	sparse Choquet	SCOPED_ADVANCE	2^d capacity -> sparse 2-additive Mobius plus exact monotonicity	sparsity certificate/dense case
R196	low-rank Volterra	SCOPED_ADVANCE	dense hereditary H -> separable factors plus boundary reset	direct factor training
R197	Pugachev conditional mean	SERIOUS_SURVIVOR	online conditional inference -> whitened/normalized fixed-pass map	recursive closure
R197	Aizerman potential condensation	CAPABILITY_REAL_MUTATION_REJECTED	growing support -> moment-preserving merge	simple centroid was better
R198	Pugachev scalar recursion	SCOPED_BOTTLENECK_BROKEN	one variance role -> dynamic second moment plus separate tail state	multivariate and shift tail
R199	Tsetlin rank response	BINARY_BOTTLENECK_ONLY	binary feedback -> 8-bit reward rank state	modern policy edge
R199	Glushkov vector composition	EXACT_SCOPED	Cartesian product -> local characterization tuple	aggregated outputs
R199	extremal moment decision	CAPABILITY_PRIOR_ART	bound only -> threshold plus three-atom witness	continuous/high moments
R200	Pitrat quotient schema	SCOPED_ADVANCE	exact failure trace -> resolved structural-class schema	automatic schema language
R200	Preisach frontier	EXACT_SCOPED	dense relay state/density -> frontier plus low-rank prefixes	dense density/vector input
R201	XOR direct-sum automata	EXACT_MAJOR_CAPABILITY_PRIOR_ART	product BFS -> GF2 direct-sum reachable span	nonlinear aggregation/coupling
R202	Pugachev 2D whitened PSD closure	STRONGEST_SURVIVOR	fragile moment subtraction -> whitened mean plus shrunk PSD residual atoms	d>2; automatic atoms; real trace; collision
