im_id	canonical_primitive	family_status	source_ids	source_mapping_status	source_concepts	constraint_shells_exact_if_mapped	nearest_existing	why_distinct	primitive_graph_signature_v1	semantic_tags	state_types	time_structure	information_structure	intervention_role	guarantee_type	ontology_annotation_status	source_evidence_raw	historical_shell_note	source_mapping_confidence	source_domain_span
IM-011	SAME MACRO TRAJECTORY ≠ SAME MICRO GRAPH	pre_saturation_registry	P-813; P-817; P-627; P-628; P-743; P-742; P-967; P-974	rehydrated_from_original_interaction_map	P-813:Active Q-switching | P-817:Mode locking | P-627:Nucleated dewetting | P-628:Dewetting rim | P-743:Domain-wall propagation switching | P-742:Reverse-domain nucleation | P-967:Conductive-filament bridging | P-974:Interface-type resistive switching	P-813:Controlled cavity Q | P-817:Multimode coherent cavity | P-627:Metastability | P-628:Mass conservation | P-743:Mobile interface | P-742:Switching barrier | P-967:Filamentary switch | P-974:Interfacial transport			structural_relation	general_mechanism	graph/network;dynamic-state/path	dynamic	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	P-813 Q-switching | P-817 mode locking | P-601ff KJMA | P-627 spinodal dewetting | P-628 nucleated dewetting | P-743 domain-wall propagation | P-742 reverse-domain nucleation | P-967 filament formation | P-974 interface switching		HIGH_WITH_QUALIFIED_RANGE_ANCHORS	P
IM-012	SATURATION → CHANNEL-SELECTION PROBLEM	pre_saturation_registry	P-891; P-893; P-894; P-805; E-935	rehydrated_from_original_interaction_map	P-891:Limiting current | P-893:Overlimiting current | P-894:Electroconvection | P-805:Laser threshold | E-935:Storage-capacity shadow value	P-891:Diffusion-limited ion supply | P-893:Beyond classical limiting regime | P-894:Ion-selective interface | P-805:Gain–loss balance | E-935:Finite storage capacity			select	network_transport	generic	static/unspecified	selected/conditioned	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	P-891 limiting current | P-893 overlimiting current | P-894 electroconvection | P-805 laser threshold/saturation family | E-935 storage capacity | older queue/capacity mechanisms		HIGH_WITH_QUALIFIED_RANGE_ANCHORS	E;P
IM-013	COMMITMENT VS OPTION VALUE	pre_saturation_registry	E-973; E-980; E-950; E-956; E-761; E-779	rehydrated_from_original_interaction_map	E-973:Commitment savings account | E-980:Commitment–flexibility tradeoff | E-950:Minimum annual royalty | E-956:License take-back / reversion | E-761:Staged venture financing | E-779:Follow-on financing option	E-973:Self-control demand | E-980:Uncertain household cash flow | E-950:Commercialization discipline | E-956:Performance contingency | E-761:Severe uncertainty | E-779:Sequential information			structural_relation	control_decision	generic	static/unspecified	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	E-973 commitment savings | E-980 commitment–flexibility tradeoff | E-950 minimum royalty | E-956 rights reversion | E-761 staged financing | E-779 follow-on option		HIGH	E
IM-014	OBSERVATION POLICY ← CURRENT UNCERTAINTY	pre_saturation_registry	M-669; M-670; M-671; M-672; M-673; M-674; M-675; M-676; S-827; S-828; S-829; S-830; S-831; S-832; S-833; S-834; S-835; S-836; S-837; S-838; S-839; S-840; S-859; M-638	rehydrated_from_original_interaction_map	M-669:Quasi-Monte Carlo | M-670:Low-discrepancy sequence | M-671:Randomized quasi-Monte Carlo | M-672:Multilevel Monte Carlo | M-673:Multilevel telescoping estimator | M-674:Sparse grid | M-675:Smolyak construction | M-676:Stochastic collocation | S-827:Two-phase outcome-dependent sampling | S-828:Extreme-outcome sampling | S-829:Residual-dependent sampling | S-830:Two-stage case-control sampling | S-831:Phase-II inclusion probability | S-832:Ascertainment-corrected likelihood | S-833:Two-phase inverse-probability weighting | S-834:Augmented two-phase estimator | S-835:Calibration of phase-II weights | S-836:Two-phase multiple imputation | S-837:Validation subsample design | S-838:Optimal phase-II allocation | S-839:Nested exposure case-control | S-840:Phase-I information recovery | S-859:Computerized adaptive testing | M-638:Leverage-score sampling	M-669:Numerical integration | M-670:Unit cube / measure space | M-671:Randomized deterministic design | M-672:Nested numerical resolutions | M-673:Coupled approximation levels | M-674:Moderate-dimensional approximation | M-675:Sparse tensor approximation | M-676:Parametric uncertainty | S-827:Costly measurement | S-828:Continuous response | S-829:Auxiliary outcome model | S-830:Rare disease/exposure | S-831:Unequal sampling | S-832:Biased ascertainment | S-833:Known inclusion probabilities | S-834:Auxiliary variables | S-835:Auxiliary population information | S-836:Missing-by-design variable | S-837:Measurement error | S-838:Fixed measurement budget | S-839:Rare dynamic exposure | S-840:Two-phase design | S-859:Sequential testing | M-638:Low-rank linear algebra			structural_relation	observation_measurement;control_decision;robustness_error	observation/signal;action/policy	static/unspecified	unspecified	active control/decision	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	S-859 computerized adaptive testing | S-838 optimal phase-II allocation | M-638 leverage-score sampling | M-669–676 adaptive/multilevel methods | S-827–840 two-phase designs		HIGH	M;S
IM-015	TOTAL RESOURCE ≠ ACCESSIBLE RESOURCE ≠ CURRENTLY DEPLOYABLE RESOURCE	pre_saturation_registry	E-661; E-671; E-679; E-804; E-916; P-776; P-879	rehydrated_from_original_interaction_map	E-661:Cash-on-hand state | E-671:Illiquid-asset accumulation | E-679:Unused credit as liquidity insurance | E-804:Cash-collateral control | E-916:Reserve-distribution friction | P-776:Dead-pore shielding | P-879:Loss of active material	E-661:Liquid resources | E-671:Return–liquidity tradeoff | E-679:Credible contingent credit | E-804:Secured collateral | E-916:Heterogeneous banks | P-776:Transport accessibility | P-879:Connectivity/percolation			structural_relation	general_mechanism	resource/flow	static/unspecified	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	E-661 cash-on-hand | E-671 illiquid asset | E-679 unused credit | E-804 cash collateral | E-916 reserve distribution | P-776 dead-pore shielding | P-879 isolated active material		HIGH	E;P
IM-016	SAME STATE + DIFFERENT AGE → DIFFERENT FUTURE	pre_saturation_registry	M-122; S-280; P-051; P-527; E-160	rehydrated_from_verified_IM016_050_family_table	M-122:Semi-Markov process | S-280:Hidden semi-Markov model | P-051:Aging | P-527:Contact aging | E-160:Hysteresis in unemployment	M-122:Duration dependence | S-280:Duration-dependent latent dynamics | P-051:Broken time-translation invariance | P-527:Stationary contact | E-160:Duration dependence			structural_relation	dynamics_memory;sequential_time	dynamic-state/path	sequential	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	M-122, S-280, P-051, P-527, E-160	Clock age gerçekten sufficient mı, yoksa hidden accumulated damage/skill/contact state mi taşıyor?	HIGH	E;M;P;S
IM-017	RESET → PRE-RESET HISTORY BECOMES IRRELEVANT	pre_saturation_registry	S-112; S-113; P-130; P-430; M-123	rehydrated_from_verified_IM016_050_family_table	S-112:Renewal process | S-113:Renewal reward | P-130:Stochastic resetting | P-430:Reset-assisted search | M-123:Renewal equation	S-112:IID interarrival baseline | S-113:Regeneration | P-130:Reset protocol | P-430:Broad first-passage times | M-123:Regeneration			structural_relation	sequential_time	feasible-set	sequential	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	M-123, S-112/113, P-130/430	Full regeneration ile yalnız bir coordinate’in resetlenmesi ayrılmalı	HIGH	M;P;S
IM-018	MACRO SIGNAL DISAPPEARS WHILE MICRO INFORMATION SURVIVES	pre_saturation_registry	P-027; P-062; P-246; S-348; M-007	rehydrated_from_verified_IM016_050_family_table	P-027:Landau damping | P-062:Phase mixing | P-246:Spin echo | S-348:Faithfulness | M-007:Nullspace	P-027:Distribution of velocities/phase mixing | P-062:Distribution of frequencies | P-246:Reversible inhomogeneous dephasing | S-348:Generic causal parameters | M-007:Depends on the operator defining visibility			structural_relation	observation_measurement;information_incentive	observation/signal	static/unspecified	selected/conditioned;strategic/informational	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	P-027, P-062, P-246, S-348, M-007	Dissipation mı, projection mı, cancellation/dephasing mi?	HIGH	M;P;S
IM-019	LOCAL THRESHOLD RULE → ITERATE → GLOBAL CLOSURE	pre_saturation_registry	E-419; P-197; M-518	rehydrated_from_verified_IM016_050_family_table	E-419:Threshold social adoption | P-197:Bootstrap percolation | M-518:Closure operator	E-419:Local threshold | P-197:Deterministic threshold rule | M-518:Extensive + monotone + idempotent			structural_relation	general_mechanism	generic	static/unspecified	unspecified	mechanism/structural	local	automatic first-pass from canonical family text; manual audit before hard exclusion	E-419, P-197, M-518	Activation irreversible ise bootstrap-like; reversible/strategic ise başka family	HIGH	E;M;P
IM-020	SEARCH MODE = DETECT VS RELOCATE	pre_saturation_registry	E-245; E-246; E-479; P-429	rehydrated_from_verified_IM016_050_family_table	E-245:Directed search | E-246:On-the-job search | E-479:Search reservation price | P-429:Intermittent search	E-245:Search submarkets | E-246:Search while employed | E-479:Search cost | P-429:Two-mode search			detect	observation_measurement	generic	static/unspecified	unspecified	passive inference/diagnostic	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	E-479, E-245/246, P-429	Search cost/stop rule ile physical blind-fast relocation aynı şey değil; ortak subgraph mode allocation	HIGH	E;P
IM-021	WHO GETS VERIFIED DEPENDS ON FIRST SIGNAL → VERIFIED DATA BECOMES SELECTED	pre_saturation_registry	S-968; S-969; E-411; E-412	rehydrated_from_verified_IM016_050_family_table	S-968:Partial verification bias | S-969:Differential verification | E-411:Costly state verification | E-412:Verification-triggered contract	S-968:Selective verification | S-969:Multiple reference standards | E-411:Verification technology | E-412:Auditing costs			select	observation_measurement	observation/signal	static/unspecified	selected/conditioned;strategic/informational	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	S-968/969, E-411/412	Verification economics için control; statistics için observation mechanism	HIGH	E;S
IM-022	REPEAT WEAK CHECKS → WRONG TYPES EXIT → DISCRIMINATION AMPLIFIES	pre_saturation_registry	S-037; P-460; E-248	rehydrated_from_verified_IM016_050_family_table	S-037:Sequential probability ratio test | P-460:Kinetic proofreading cascade | E-248:Probationary screening	S-037:Error-rate guarantees under model | P-460:Nonequilibrium verification | E-248:Learning + firing option			structural_relation	general_mechanism	generic	static/unspecified	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	S-037, P-460, E-248	Statistical evidence, irreversible chemical checking ve strategic worker behavior ayrılmalı	HIGH	E;P;S
IM-023	GLOBAL RATE = CURRENT RATE-LIMITING LAYER	pre_saturation_registry	P-467; P-468; M-048; P-360; P-758; E-514; S-960	rehydrated_from_verified_IM016_050_family_table	P-467:Diffusion-limited reaction | P-468:Reaction-limited regime | M-048:Min-cut duality | P-360:Interface-controlled kinetics | P-758:Nucleation-versus-propagation control | E-514:Bottleneck-input mechanism | S-960:Reference-sample bottleneck	P-467:Transport bottleneck | P-468:Kinetic bottleneck | M-048:Network-flow assumptions | P-360:Moving interface bottleneck | P-758:Competing kinetic bottlenecks | E-514:Strong complementarity | S-960:Data fusion			structural_relation	general_mechanism	generic	static/unspecified	unspecified	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	M-048, P-360, P-467/468, P-758, E-514, S-960	Bottleneck sabit değil; regime değişince transport→reaction→interface→anchor arasında taşınabilir	HIGH	E;M;P;S
IM-024	FIRST EXIT DESTROYS/ALTERS OTHER POSSIBLE EXITS	pre_saturation_registry	S-024; S-305; E-542; E-551; P-960	rehydrated_from_verified_IM016_050_family_table	S-024:Competing risks | S-305:Semi-competing risks | E-542:Mortgage prepayment option | E-551:Double-trigger mortgage default | P-960:Excitation-pathway competition	S-024:Events interfere with observability | S-305:Asymmetric terminal event | E-542:Callable-by-borrower debt | E-551:Household liquidity + collateral | P-960:Finite-lifetime excited state			structural_relation	general_mechanism	generic	static/unspecified	lossy/garbled	mechanism/structural	none-explicit	automatic first-pass from canonical family text; manual audit before hard exclusion	S-024/305, P-960, E-542/551	Symmetric competing risks ile one-way terminal event ayrılmalı	HIGH	E;P;S
