prefilter_rank	prefilter_score	donor_im	target_im	donor_domain	target_domain	cosine	primitive_jaccard	source_concept_jaccard	donor_primitive	target_primitive	donor_sources	target_sources	donor_shell	target_shell	donor_role	donor_guarantee	screen_reason
11	5.581064159118864	IM-236	IM-278	S	M	0.10144576571208924	0.16666666666666666	0.0	ITERATIVE SELF-FEEDBACK CREATES CORRELATED RESIDUALS; ADD A CORRECTION THAT CANCELS MEMORY OF PREVIOUS ITERATION	ALTERNATING LOCAL CORRECTIONS MAY NEED A MEMORY OF PREVIOUS CORRECTION ERROR TO CONVERGE TO RIGHT GLOBAL OBJECT	S-911; S-912	M-159	S-911:Random high-dimensional design | S-912:AMP	M-159:Convex sets	mechanism/structural	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
12	5.576079521403543	IM-206	IM-107	M	S	0.0499834266978087	0.0	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	WHEN DATA DO NOT POINT-IDENTIFY, CORRECT ANSWER MAY BE LARGE/DISCONNECTED/UNBOUNDED SET	M-125; M-126	S-131; S-136; S-447	M-125: Regularity assumptions; M-126: Summability structure	S-131:Weak assumptions | S-136:Partial identification | S-447:Weak/nonidentification	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
13	5.566290724475917	IM-121	IM-112	S	M	0.09348324195987852	0.0	0.0	DESIGN EVIDENCE OBJECT TO REMAIN VALID UNDER DATA-DEPENDENT STOPPING	REGULARIZATION/MAX-ENT SELECTS REPRESENTATIVE; DOES NOT IDENTIFY TRUTH	S-089; S-227; S-395	M-088; M-089; M-227	S-089:Sequentially valid evidence | S-227:Sequential validity | S-395:E-values/test martingales	M-088:Bias introduced deliberately | M-089:Inverse problem | M-227:Moment/support constraints	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
14	5.538525968411918	IM-206	IM-303	M	P	0.04715597794035211	0.0	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	A MACRO TRANSPORT COEFFICIENT CAN BE RECOVERED FROM TIME-INTEGRATED MEMORY OF MICROSCOPIC SPONTANEOUS CURRENTS	M-125; M-126	P-104	M-125: Regularity assumptions; M-126: Summability structure	P-104:Equilibrium statistical mechanics	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
15	5.520055485036063	IM-076	IM-081	M	E	0.11082796478496387	0.0	0.0	FAILURE TO FIND SOLUTION ≠ PROOF NONE EXISTS; SOME FAILURES HAVE SHORT WITNESS	PROXY USEFUL UNTIL DIRECT EVIDENCE ARRIVES; WEIGHT SHOULD FALL	M-523; M-524	E-523; E-524	M-523:Linear alternatives | M-524:Linear/conic feasibility	E-523:Repeated employment | E-524:Employer learning	mechanism/structural	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
16	5.500628354019545	IM-088	IM-227	P	M	0.09487923873564065	0.16666666666666666	0.0	BOUNDARY IS NOT FIXED; STATE INCLUDES WHERE BOUNDARY IS	ORDINARY CLOCK TIME AND ACCUMULATED CONTACT/VISIT TIME AT A BOUNDARY ARE DIFFERENT STATE VARIABLES	P-355	M-317	P-355:Moving phase boundary	M-317:Continuous semimartingale	mechanism/structural	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
17	5.500628354019545	IM-227	IM-088	M	P	0.09487923873564065	0.16666666666666666	0.0	ORDINARY CLOCK TIME AND ACCUMULATED CONTACT/VISIT TIME AT A BOUNDARY ARE DIFFERENT STATE VARIABLES	BOUNDARY IS NOT FIXED; STATE INCLUDES WHERE BOUNDARY IS	M-317	P-355	M-317:Continuous semimartingale	P-355:Moving phase boundary	mechanism/structural	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
18	5.497243675724764	IM-196	IM-066	M	S	0.04400559224703847	0.0	0.0	RECOVERY CAN HAVE A SHARP COMPLEXITY–MEASUREMENT GEOMETRY BOUNDARY	SAME OBSERVED DATA + DIFFERENT DATA-GENERATING DESIGN → DIFFERENT VALID INFERENCE	M-279; M-280	S-750; S-754; S-760	M-279: Sparsity + measurement geometry; M-280: Sparse signal class	S-750:Design-aware inference | S-754:Known assignment mechanism | S-760:Experimental design	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
19	5.483016301714594	IM-311	IM-257	S	M	0.054212638830045456	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	FOR A FIXED ERROR TOLERANCE THERE CAN BE A MINIMUM INFORMATION/REPRESENTATION BUDGET	S-174	M-226	S-174:Rare/weak regime	M-226:Distortion metric	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
20	5.469140221979468	IM-225	IM-193	M	S	0.06051230552371037	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	RESETTING THE CLOCK AFTER EACH EVENT AND USING ONE GLOBAL CLOCK ARE DIFFERENT MODELS	M-311; M-313	S-312; S-313	M-311:Martingale difference structure | M-313:Martingale variance process	S-312: Renewal-like recurrence; S-313: Global-time effects	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
21	5.461337716959918	IM-196	IM-088	M	P	0.051867349139165186	0.1	0.0	RECOVERY CAN HAVE A SHARP COMPLEXITY–MEASUREMENT GEOMETRY BOUNDARY	BOUNDARY IS NOT FIXED; STATE INCLUDES WHERE BOUNDARY IS	M-279; M-280	P-355	M-279: Sparsity + measurement geometry; M-280: Sparse signal class	P-355:Moving phase boundary	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
22	5.441000834610524	IM-196	IM-107	M	S	0.03962903719733716	0.0	0.0	RECOVERY CAN HAVE A SHARP COMPLEXITY–MEASUREMENT GEOMETRY BOUNDARY	WHEN DATA DO NOT POINT-IDENTIFY, CORRECT ANSWER MAY BE LARGE/DISCONNECTED/UNBOUNDED SET	M-279; M-280	S-131; S-136; S-447	M-279: Sparsity + measurement geometry; M-280: Sparse signal class	S-131:Weak assumptions | S-136:Partial identification | S-447:Weak/nonidentification	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
23	5.439354967550758	IM-225	IM-210	M	S	0.03949931356911471	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	FUTURE DATA CAN CHANGE YOUR BEST ESTIMATE OF THE PAST; ONLINE AND OFFLINE STATE ESTIMATES ARE DIFFERENT	M-311; M-313	S-106; S-107	M-311:Martingale difference structure | M-313:Martingale variance process	S-106: Offline/two-sided information; S-107: Delay/latency tradeoff	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
24	5.439114897581211	IM-227	IM-414	M	P	0.10354929952575789	0.0	0.0	ORDINARY CLOCK TIME AND ACCUMULATED CONTACT/VISIT TIME AT A BOUNDARY ARE DIFFERENT STATE VARIABLES	MANY SCATTERING EVENTS DO NOT GUARANTEE DIRECTIONAL MEMORY LOSS WHEN EACH EVENT IS STRONGLY FORWARD-BIASED	M-317	P-588;P-589;P-593	M-317:Continuous semimartingale	see canonical 4000-record inventory	mechanism/structural	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
25	5.432607566942819	IM-210	IM-292	S	P	0.09085961283970612	0.0	0.0	FUTURE DATA CAN CHANGE YOUR BEST ESTIMATE OF THE PAST; ONLINE AND OFFLINE STATE ESTIMATES ARE DIFFERENT	ELIMINATING HIDDEN DYNAMIC VARIABLES CAN TURN A MARKOV/LOCAL SYSTEM INTO MEMORY + COLORED NOISE	S-106; S-107	P-105; P-106; P-107	S-106: Offline/two-sided information; S-107: Delay/latency tradeoff	P-105:Projection formalism | P-106:Chosen relevant subspace | P-107:Exact projected dynamics	passive inference/diagnostic	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
26	5.425696402810946	IM-311	IM-279	S	M	0.038418848137793754	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	SOLVE LARGE COUPLED PROBLEMS LOCALLY, THEN USE A SHADOW-PRICE/CONSENSUS SIGNAL TO FORCE AGREEMENT	S-174	M-160	S-174:Rare/weak regime	M-160:Separable convex structure	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
27	5.406099278476457	IM-249	IM-088	M	P	0.04527416775294277	0.07692307692307693	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	BOUNDARY IS NOT FIXED; STATE INCLUDES WHERE BOUNDARY IS	M-655	P-355	M-655:Potential equivalence	P-355:Moving phase boundary	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
28	5.4041164333460925	IM-227	IM-193	M	S	0.10369299819684782	0.13333333333333333	0.0	ORDINARY CLOCK TIME AND ACCUMULATED CONTACT/VISIT TIME AT A BOUNDARY ARE DIFFERENT STATE VARIABLES	RESETTING THE CLOCK AFTER EACH EVENT AND USING ONE GLOBAL CLOCK ARE DIFFERENT MODELS	M-317	S-312; S-313	M-317:Continuous semimartingale	S-312: Renewal-like recurrence; S-313: Global-time effects	mechanism/structural	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
29	5.390868214447549	IM-173	IM-343	M	S	0.06931418424559982	0.0	0.0	A HARD COMBINATORIAL BOTTLENECK CAN SOMETIMES BE BOUNDED BY AN EASIER SPECTRAL SURROGATE	A VARIABLE KNOWN NOT TO LIE ON THE TARGET CAUSAL PATH CAN STILL BE USED TO EXPOSE OR BRIDGE HIDDEN CONFOUNDING	M-351; M-352; M-353	S-349; S-350; S-351; S-352	M-351: Weighted graph; M-352: Connected graph; M-353: Graph geometry	S-349:Known causal null | S-350:Known causal null | S-351:Completeness/proxy conditions | S-352:Integral-equation identification	mechanism/structural	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
30	5.3869736076511066	IM-241	IM-197	M	P	0.10336518230443997	0.0	0.0	SPARSE LOCAL MESSAGES CAN RECOVER A GLOBAL BELIEF/CONSISTENCY STATE — BUT LOOPS CHANGE THE VALIDITY CONTRACT	TRANSITION/DECAY RATE DEPENDS ON AVAILABLE FINAL STATES IN THE ENVIRONMENT, NOT ONLY ON THE SOURCE	M-269; M-270	P-269; P-270	M-269:Sparse factor graph | M-270:Tree exact; loopy approximate	P-269: Structured environment; P-270: Density-of-states engineering	mechanism/structural	local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
31	5.378580627551629	IM-325	IM-190	M	S	0.03463399100277529	0.0	0.0	MONOTONE POLICY RESPONSE CAN BE CERTIFIED FROM COMPLEMENTARITY/ORDER STRUCTURE WITHOUT RESOLVING EVERY PARAMETER VALUE	WHEN YOU CHOOSE TO LOOK CAN ITSELF REVEAL INFORMATION ABOUT THE HIDDEN STATE	M-866; M-867; M-869; M-874; M-880	S-874; S-875	M-866:Complementary coordinates | M-867:Ordered action × parameter | M-869:Lattice optimization | M-874:Set-valued optimization | M-880:Nondifferentiable/discrete optimization	S-874: Irregular follow-up; S-875: Inspection process	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
32	5.376056015375539	IM-225	IM-212	M	S	0.04185131638420968	0.06666666666666667	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	SUBTRACT THE PREDICTABLE PART OF AN OBSERVATION STREAM TO ISOLATE NEW INFORMATION	M-311; M-313	S-105; S-120	M-311:Martingale difference structure | M-313:Martingale variance process	S-105: Correct conditional model; S-120: Predictable intensity	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
33	5.373047474167711	IM-311	IM-156	S	E;P	0.040401318806413275	0.05555555555555555	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	SYMMETRIC RULES CAN PRODUCE AN ASYMMETRIC REALIZED STATE; TINY COORDINATION SIGNALS CAN SELECT WHICH ONE	S-174	P-014; E-155; E-156	S-174:Rare/weak regime	P-014:Degeneracy/instability | E-155:Multiple equilibria | E-156:Expectations coordination	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
34	5.368087643929195	IM-267	IM-357	M	E	0.06767003425367786	0.0	0.0	THE VALUE OF PERFECT FUTURE INFORMATION CAN BE BOUNDED WITHOUT HAVING THAT INFORMATION	PUBLIC ACTIONS CAN ACCUMULATE UNTIL A NEW AGENT RATIONALLY IGNORES ITS OWN PRIVATE SIGNAL	M-345	E-099	M-345:Sequential selection	E-099:Sequential social learning	mechanism/structural	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
35	5.3490958837317475	IM-249	IM-171	M	P	0.03974153822434816	0.06666666666666667	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	A LOCALLY CAPABLE SOURCE MAY FAIL TO PROPAGATE BECAUSE THE DOWNSTREAM SINK/LOAD IS TOO LARGE	M-655	P-473; P-999	M-655:Potential equivalence	P-473: Excitation current balance; P-999: Geometry + finite coupling	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
36	5.337945888520531	IM-325	IM-078	M	P	0.034943571489608236	0.0	0.05555555555555555	MONOTONE POLICY RESPONSE CAN BE CERTIFIED FROM COMPLEMENTARITY/ORDER STRUCTURE WITHOUT RESOLVING EVERY PARAMETER VALUE	STATE DETERIORATES → NEW CONSTRAINTS ACTIVATE → FREEDOM FALLS → FURTHER DETERIORATION	M-866; M-867; M-869; M-874; M-880	P-680; P-880	M-866:Complementary coordinates | M-867:Ordered action × parameter | M-869:Lattice optimization | M-874:Set-valued optimization | M-880:Nondifferentiable/discrete optimization	P-680:Dense particulate system | P-880:Coupled degradation	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
37	5.336630056266605	IM-336	IM-201	S	M	0.065398993630104	0.0	0.0	THE KNOWN RANDOMIZATION MECHANISM CAN ITSELF GENERATE AN EXACT REFERENCE DISTRIBUTION	CONDITIONING ON A RARE FUTURE EVENT CREATES A DIFFERENT EFFECTIVE PATH DYNAMICS	S-149	M-149	S-149:Known randomization	M-149: Positive harmonic function	mechanism/structural	certificate/exact;probabilistic	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
38	5.333311376830004	IM-206	IM-222	M	P	0.030902581493279836	0.0	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	RECOVERY TIME CAN DIVERGE BEFORE THE STATE ITSELF VISIBLY COLLAPSES	M-125; M-126	P-119; P-120	M-125: Regularity assumptions; M-126: Summability structure	P-119:Near bifurcation/criticality | P-120:Specific transition classes	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
39	5.3310910562959775	IM-314	IM-359	M	E	0.07094433980883373	0.058823529411764705	0.0	NONLINEAR STATE DYNAMICS CAN BECOME LINEAR IN A LIFTED OBSERVABLE SPACE	CONTROL THE INFORMATION STRUCTURE RATHER THAN THE STATE TO CHANGE ANOTHER DECISION-MAKER'S ACTION	M-401	E-401	M-401:Deterministic dynamics + observable space	E-401:Sender commitment to information structure	passive inference/diagnostic	local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
40	5.3310910562959775	IM-359	IM-314	E	M	0.07094433980883373	0.058823529411764705	0.0	CONTROL THE INFORMATION STRUCTURE RATHER THAN THE STATE TO CHANGE ANOTHER DECISION-MAKER'S ACTION	NONLINEAR STATE DYNAMICS CAN BECOME LINEAR IN A LIFTED OBSERVABLE SPACE	E-401	M-401	E-401:Sender commitment to information structure	M-401:Deterministic dynamics + observable space	information/measurement control	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
41	5.329456963193083	IM-271	IM-314	S	M	0.07119814277303348	0.0625	0.0	RESIDUAL DEPENDENCE AFTER CONDITIONING ON LATENT STATE IS EVIDENCE THE STATE REPRESENTATION IS INCOMPLETE	NONLINEAR STATE DYNAMICS CAN BECOME LINEAR IN A LIFTED OBSERVABLE SPACE	S-332; S-855	M-401	S-332:Latent-variable model | S-855:Violated local independence	M-401:Deterministic dynamics + observable space	mechanism/structural	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
42	5.329456963193083	IM-314	IM-271	M	S	0.07119814277303348	0.0625	0.0	NONLINEAR STATE DYNAMICS CAN BECOME LINEAR IN A LIFTED OBSERVABLE SPACE	RESIDUAL DEPENDENCE AFTER CONDITIONING ON LATENT STATE IS EVIDENCE THE STATE REPRESENTATION IS INCOMPLETE	M-401	S-332; S-855	M-401:Deterministic dynamics + observable space	S-332:Latent-variable model | S-855:Violated local independence	passive inference/diagnostic	local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
43	5.3241956234509855	IM-203	IM-284	M	P	0.07081804097806312	0.0625	0.0	PAIRWISE DEPENDENCE CAN VANISH IN A LARGE POPULATION WHILE COLLECTIVE MEAN-FIELD INTERACTION REMAINS	FAILURE OF LONG-RANGE PROPAGATION DOES NOT MEAN THE FIELD/INFLUENCE VANISHES LOCALLY	M-151; M-152	P-542	M-151: Weak symmetric interaction; M-152: Mean-field scaling	P-542:Below-cutoff mode	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
44	5.320961048136225	IM-196	IM-237	M	S	0.029866508316421694	0.0	0.0	RECOVERY CAN HAVE A SHARP COMPLEXITY–MEASUREMENT GEOMETRY BOUNDARY	A HUGE COUPLED ESTIMATION ALGORITHM CAN HAVE LOW-DIMENSIONAL ERROR DYNAMICS IN THE RIGHT RANDOM REGIME	M-279; M-280	S-913	M-279: Sparsity + measurement geometry; M-280: Sparse signal class	S-913:AMP asymptotics	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
45	5.31344134652684	IM-164	IM-053	P	M	0.10412604938701445	0.058823529411764705	0.0	COARSE-GRAINING CAN CREATE A VALID EFFECTIVE LAW ONLY AFTER HIDDEN FAST VARIABLES HAVE RELAXED/MIXED	FORBIDDEN/UNAVAILABLE COARSE STATE CAN BE REALIZED BY FAST OR RANDOM MICRO-MIXTURE	P-108; P-111; P-030	M-834; M-838	P-108: Time-scale separation; P-111: Fast periodic/ergodic motion; P-030: Scale separation/controlled approximation	M-834:Fine-scale mixtures | M-838:Scale separation	mechanism/structural	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
46	5.312009994278906	IM-249	IM-010	M	E;P	0.02911040189082207	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	PHYSICAL TOPOLOGY / POTENTIAL TOPOLOGY / CURRENTLY USABLE TOPOLOGY	M-655	P-1000; P-999; P-990; P-991; E-916; P-776	M-655:Potential equivalence	P-1000:State-dependent connectivity | P-999:Geometry + finite coupling | P-990:Asymmetric recovery/coupling | P-991:Propagation threshold | E-916:Heterogeneous banks | P-776:Transport accessibility	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
47	5.301587225086895	IM-206	IM-088	M	P	0.040896105302680716	0.1111111111111111	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	BOUNDARY IS NOT FIXED; STATE INCLUDES WHERE BOUNDARY IS	M-125; M-126	P-355	M-125: Regularity assumptions; M-126: Summability structure	P-355:Moving phase boundary	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
48	5.299492493614262	IM-326	IM-335	M	S	0.07621294601538475	0.13333333333333333	0.0	GLOBAL TARGET ERROR SHOULD WEIGHT LOCAL RESIDUALS BY THEIR CONSEQUENCE FOR THE TARGET	MEASUREMENT LOCATIONS SHOULD BE CHOSEN TO SHAPE THE INFORMATION GEOMETRY FOR THE TARGET	M-255	S-048; S-049; S-050	M-255:Quantity of interest	S-048:Local/model-based design | S-049:Information-matrix criterion | S-050:Target functional specified	mechanism/structural	certificate/exact;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
