prefilter_rank	prefilter_score	donor_im	target_im	donor_domain	target_domain	cosine	primitive_jaccard	source_concept_jaccard	donor_primitive	target_primitive	donor_sources	target_sources	donor_shell	target_shell	donor_role	donor_guarantee	screen_reason	manual_status	manual_note	value_first_status	value_first_note
11	5.581064159118864	IM-236	IM-278	S	M	0.1014457657120892	0.1666666666666666	0.0	ITERATIVE SELF-FEEDBACK CREATES CORRELATED RESIDUALS; ADD A CORRECTION THAT CANCELS MEMORY OF PREVIOUS ITERATION	ALTERNATING LOCAL CORRECTIONS MAY NEED A MEMORY OF PREVIOUS CORRECTION ERROR TO CONVERGE TO RIGHT GLOBAL OBJECT	S-911; S-912	M-159	S-911:Random high-dimensional design | S-912:AMP	M-159:Convex sets	mechanism/structural	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	DEMOTE_SAME_MECHANISM	Both sides are iterative correction-memory/self-feedback machinery; too close to be a cross-domain missing operator.	DEMOTE_SAME_MECHANISM	Previous status retained unless maturity/prior-art was the only reason for demotion.
12	5.576079521403543	IM-206	IM-107	M	S	0.0499834266978087	0.0	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	WHEN DATA DO NOT POINT-IDENTIFY, CORRECT ANSWER MAY BE LARGE/DISCONNECTED/UNBOUNDED SET	M-125; M-126	S-131; S-136; S-447	M-125: Regularity assumptions; M-126: Summability structure	S-131:Weak assumptions | S-136:Partial identification | S-447:Weak/nonidentification	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	QUARANTINE_WEAK_BRIDGE	Tauberian asymptotics does not by itself resolve set-valued partial identification.	QUARANTINE_WEAK_BRIDGE	Previous status retained unless maturity/prior-art was the only reason for demotion.
13	5.566290724475917	IM-121	IM-112	S	M	0.0934832419598785	0.0	0.0	DESIGN EVIDENCE OBJECT TO REMAIN VALID UNDER DATA-DEPENDENT STOPPING	REGULARIZATION/MAX-ENT SELECTS REPRESENTATIVE; DOES NOT IDENTIFY TRUTH	S-089; S-227; S-395	M-088; M-089; M-227	S-089:Sequentially valid evidence | S-227:Sequential validity | S-395:E-values/test martingales	M-088:Bias introduced deliberately | M-089:Inverse problem | M-227:Moment/support constraints	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	HOLD_APPLIED	Anytime-valid evidence along an adaptive regularization path is coherent, but sequential/early-stopping inference literature is close; needs a target-specific benchmark.	REOPEN_APPLIED	Anytime-valid adaptive regularization can matter in online model-selection pipelines; benchmark decision/cost value.
14	5.538525968411918	IM-206	IM-303	M	P	0.0471559779403521	0.0	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	A MACRO TRANSPORT COEFFICIENT CAN BE RECOVERED FROM TIME-INTEGRATED MEMORY OF MICROSCOPIC SPONTANEOUS CURRENTS	M-125; M-126	P-104	M-125: Regularity assumptions; M-126: Summability structure	P-104:Equilibrium statistical mechanics	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	DEMOTE_DIRECT_THEORY	Transform/time-integral relations for transport coefficients are direct mathematical-physics machinery.	DEMOTE_DIRECT_THEORY	Previous status retained unless maturity/prior-art was the only reason for demotion.
15	5.520055485036063	IM-076	IM-081	M	E	0.1108279647849638	0.0	0.0	FAILURE TO FIND SOLUTION ≠ PROOF NONE EXISTS; SOME FAILURES HAVE SHORT WITNESS	PROXY USEFUL UNTIL DIRECT EVIDENCE ARRIVES; WEIGHT SHOULD FALL	M-523; M-524	E-523; E-524	M-523:Linear alternatives | M-524:Linear/conic feasibility	E-523:Repeated employment | E-524:Employer learning	mechanism/structural	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	DEMOTE_PRIOR_ART	Employer learning already precision-weights accumulating productivity signals; absence/quality of signals affects learning speed. Farkas analogy adds little novelty.	REOPEN_HIGH_VALUE_APPLIED	Signal-quality learning can affect employee/credit/vendor decisions; commercial value can be large even if theory is known.
16	5.500628354019545	IM-088	IM-227	P	M	0.0948792387356406	0.1666666666666666	0.0	BOUNDARY IS NOT FIXED; STATE INCLUDES WHERE BOUNDARY IS	ORDINARY CLOCK TIME AND ACCUMULATED CONTACT/VISIT TIME AT A BOUNDARY ARE DIFFERENT STATE VARIABLES	P-355	M-317	P-355:Moving phase boundary	M-317:Continuous semimartingale	mechanism/structural	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	DEMOTE_DIRECT_THEORY	Moving boundary plus boundary local/contact time is a natural stochastic moving-domain state, not a distinct product operator.	DEMOTE_DIRECT_THEORY	Previous status retained unless maturity/prior-art was the only reason for demotion.
17	5.500628354019545	IM-227	IM-088	M	P	0.0948792387356406	0.1666666666666666	0.0	ORDINARY CLOCK TIME AND ACCUMULATED CONTACT/VISIT TIME AT A BOUNDARY ARE DIFFERENT STATE VARIABLES	BOUNDARY IS NOT FIXED; STATE INCLUDES WHERE BOUNDARY IS	M-317	P-355	M-317:Continuous semimartingale	P-355:Moving phase boundary	mechanism/structural	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	DEMOTE_DIRECT_THEORY	Same as rank 16 in reverse.	DEMOTE_DIRECT_THEORY	Previous status retained unless maturity/prior-art was the only reason for demotion.
18	5.497243675724764	IM-196	IM-066	M	S	0.0440055922470384	0.0	0.0	RECOVERY CAN HAVE A SHARP COMPLEXITY–MEASUREMENT GEOMETRY BOUNDARY	SAME OBSERVED DATA + DIFFERENT DATA-GENERATING DESIGN → DIFFERENT VALID INFERENCE	M-279; M-280	S-750; S-754; S-760	M-279: Sparsity + measurement geometry; M-280: Sparse signal class	S-750:Design-aware inference | S-754:Known assignment mechanism | S-760:Experimental design	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	DEMOTE_PRIOR_ART	Compressed-sensing recoverability is explicitly design/measurement-geometry dependent.	REOPEN_HIGH_VALUE_APPLIED	Measurement geometry/recoverability can save sensor/inspection cost; test against naive sensor design.
19	5.483016301714594	IM-311	IM-257	S	M	0.0542126388300454	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	FOR A FIXED ERROR TOLERANCE THERE CAN BE A MINIMUM INFORMATION/REPRESENTATION BUDGET	S-174	M-226	S-174:Rare/weak regime	M-226:Distortion metric	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	HOLD_DEEP_RESEARCH	Rare/weak collective detectability versus information budget could define a detection-before-compression gate, but current hypothesis is underspecified.	HOLD_HIGH_UPSIDE	Detection-before-compression may matter where weak distributed signals are lost by representation budgets.
20	5.469140221979468	IM-225	IM-193	M	S	0.0605123055237103	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	RESETTING THE CLOCK AFTER EACH EVENT AND USING ONE GLOBAL CLOCK ARE DIFFERENT MODELS	M-311; M-313	S-312; S-313	M-311:Martingale difference structure | M-313:Martingale variance process	S-312: Renewal-like recurrence; S-313: Global-time effects	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	DEMOTE_DIRECT_THEORY	Counting-process/event-clock martingales and event-time versus calendar-time analysis are standard.	DEMOTE_DIRECT_THEORY	Previous status retained unless maturity/prior-art was the only reason for demotion.
21	5.461337716959918	IM-196	IM-088	M	P	0.0518673491391651	0.1	0.0	RECOVERY CAN HAVE A SHARP COMPLEXITY–MEASUREMENT GEOMETRY BOUNDARY	BOUNDARY IS NOT FIXED; STATE INCLUDES WHERE BOUNDARY IS	M-279; M-280	P-355	M-279: Sparsity + measurement geometry; M-280: Sparse signal class	P-355:Moving phase boundary	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	QUARANTINE_WEAK_BRIDGE	Compressed-sensing phase transition and moving boundary have no clear shared operator.	QUARANTINE_WEAK_BRIDGE	Previous status retained unless maturity/prior-art was the only reason for demotion.
22	5.441000834610524	IM-196	IM-107	M	S	0.0396290371973371	0.0	0.0	RECOVERY CAN HAVE A SHARP COMPLEXITY–MEASUREMENT GEOMETRY BOUNDARY	WHEN DATA DO NOT POINT-IDENTIFY, CORRECT ANSWER MAY BE LARGE/DISCONNECTED/UNBOUNDED SET	M-279; M-280	S-131; S-136; S-447	M-279: Sparsity + measurement geometry; M-280: Sparse signal class	S-131:Weak assumptions | S-136:Partial identification | S-447:Weak/nonidentification	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	HOLD_WEAK	Recoverability phase transition may help classify partial-ID regime, but bridge needs a concrete decision/measurement operator.	HOLD_WEAK	Previous status retained unless maturity/prior-art was the only reason for demotion.
23	5.439354967550758	IM-225	IM-210	M	S	0.0394993135691147	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	FUTURE DATA CAN CHANGE YOUR BEST ESTIMATE OF THE PAST; ONLINE AND OFFLINE STATE ESTIMATES ARE DIFFERENT	M-311; M-313	S-106; S-107	M-311:Martingale difference structure | M-313:Martingale variance process	S-106: Offline/two-sided information; S-107: Delay/latency tradeoff	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	DEMOTE_PRIOR_ART	Sequential testing/SPRT for HMMs and initial distributions is established; retrospective hidden-state evidence is close to direct prior art.	REOPEN_HIGH_VALUE_APPLIED	Sequential hidden-state detection is useful in monitoring if delay/false-alarm tradeoff improves.
24	5.439114897581211	IM-227	IM-414	M	P	0.1035492995257578	0.0	0.0	ORDINARY CLOCK TIME AND ACCUMULATED CONTACT/VISIT TIME AT A BOUNDARY ARE DIFFERENT STATE VARIABLES	MANY SCATTERING EVENTS DO NOT GUARANTEE DIRECTIONAL MEMORY LOSS WHEN EACH EVENT IS STRONGLY FORWARD-BIASED	M-317	P-588;P-589;P-593	M-317:Continuous semimartingale	see canonical 4000-record inventory	mechanism/structural	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	QUARANTINE_WEAK_BRIDGE	Boundary local time and directional-memory scattering do not yield a clear transfer product.	QUARANTINE_WEAK_BRIDGE	Previous status retained unless maturity/prior-art was the only reason for demotion.
25	5.432607566942819	IM-210	IM-292	S	P	0.0908596128397061	0.0	0.0	FUTURE DATA CAN CHANGE YOUR BEST ESTIMATE OF THE PAST; ONLINE AND OFFLINE STATE ESTIMATES ARE DIFFERENT	ELIMINATING HIDDEN DYNAMIC VARIABLES CAN TURN A MARKOV/LOCAL SYSTEM INTO MEMORY + COLORED NOISE	S-106; S-107	P-105; P-106; P-107	S-106: Offline/two-sided information; S-107: Delay/latency tradeoff	P-105:Projection formalism | P-106:Chosen relevant subspace | P-107:Exact projected dynamics	passive inference/diagnostic	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	DEMOTE_EXISTING_CORE	Smoothing plus hidden-variable memory collapses into standard state-space smoothing and the existing MemoryKernelClosure family.	DEMOTE_EXISTING_CORE	Previous status retained unless maturity/prior-art was the only reason for demotion.
26	5.425696402810946	IM-311	IM-279	S	M	0.0384188481377937	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	SOLVE LARGE COUPLED PROBLEMS LOCALLY, THEN USE A SHADOW-PRICE/CONSENSUS SIGNAL TO FORCE AGREEMENT	S-174	M-160	S-174:Rare/weak regime	M-160:Separable convex structure	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	QUARANTINE_WEAK_BRIDGE	Higher criticism does not naturally supply ADMM/consensus decomposition.	QUARANTINE_WEAK_BRIDGE	Previous status retained unless maturity/prior-art was the only reason for demotion.
27	5.406099278476457	IM-249	IM-088	M	P	0.0452741677529427	0.0769230769230769	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	BOUNDARY IS NOT FIXED; STATE INCLUDES WHERE BOUNDARY IS	M-655	P-355	M-655:Potential equivalence	P-355:Moving phase boundary	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	DEMOTE_PRIOR_ART	Boundary-equivalent sources for moving-boundary inverse problems are established PDE reduction ideas.	DEMOTE_PRIOR_ART	Previous status retained unless maturity/prior-art was the only reason for demotion.
28	5.4041164333460925	IM-227	IM-193	M	S	0.1036929981968478	0.1333333333333333	0.0	ORDINARY CLOCK TIME AND ACCUMULATED CONTACT/VISIT TIME AT A BOUNDARY ARE DIFFERENT STATE VARIABLES	RESETTING THE CLOCK AFTER EACH EVENT AND USING ONE GLOBAL CLOCK ARE DIFFERENT MODELS	M-317	S-312; S-313	M-317:Continuous semimartingale	S-312: Renewal-like recurrence; S-313: Global-time effects	mechanism/structural	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	DEMOTE_DIRECT_THEORY	Gap-time/calendar-time and local/contact-time clocks are already explicit time-change concepts.	DEMOTE_DIRECT_THEORY	Previous status retained unless maturity/prior-art was the only reason for demotion.
29	5.390868214447549	IM-173	IM-343	M	S	0.0693141842455998	0.0	0.0	A HARD COMBINATORIAL BOTTLENECK CAN SOMETIMES BE BOUNDED BY AN EASIER SPECTRAL SURROGATE	A VARIABLE KNOWN NOT TO LIE ON THE TARGET CAUSAL PATH CAN STILL BE USED TO EXPOSE OR BRIDGE HIDDEN CONFOUNDING	M-351; M-352; M-353	S-349; S-350; S-351; S-352	M-351: Weighted graph; M-352: Connected graph; M-353: Graph geometry	S-349:Known causal null | S-350:Known causal null | S-351:Completeness/proxy conditions | S-352:Integral-equation identification	mechanism/structural	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	QUARANTINE_WEAK_BRIDGE	Spectral graph bottleneck bounds do not naturally produce a causal negative-control operator.	QUARANTINE_WEAK_BRIDGE	Previous status retained unless maturity/prior-art was the only reason for demotion.
30	5.3869736076511066	IM-241	IM-197	M	P	0.1033651823044399	0.0	0.0	SPARSE LOCAL MESSAGES CAN RECOVER A GLOBAL BELIEF/CONSISTENCY STATE — BUT LOOPS CHANGE THE VALIDITY CONTRACT	TRANSITION/DECAY RATE DEPENDS ON AVAILABLE FINAL STATES IN THE ENVIRONMENT, NOT ONLY ON THE SOURCE	M-269; M-270	P-269; P-270	M-269:Sparse factor graph | M-270:Tree exact; loopy approximate	P-269: Structured environment; P-270: Density-of-states engineering	mechanism/structural	local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	QUARANTINE_WEAK_BRIDGE	Belief propagation and environmental density-of-states bottlenecks share sparse-message language but not an actionable mechanism.	QUARANTINE_WEAK_BRIDGE	Previous status retained unless maturity/prior-art was the only reason for demotion.
31	5.378580627551629	IM-325	IM-190	M	S	0.0346339910027752	0.0	0.0	MONOTONE POLICY RESPONSE CAN BE CERTIFIED FROM COMPLEMENTARITY/ORDER STRUCTURE WITHOUT RESOLVING EVERY PARAMETER VALUE	WHEN YOU CHOOSE TO LOOK CAN ITSELF REVEAL INFORMATION ABOUT THE HIDDEN STATE	M-866; M-867; M-869; M-874; M-880	S-874; S-875	M-866:Complementary coordinates | M-867:Ordered action × parameter | M-869:Lattice optimization | M-874:Set-valued optimization | M-880:Nondifferentiable/discrete optimization	S-874: Irregular follow-up; S-875: Inspection process	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	QUARANTINE_WEAK_BRIDGE	Monotone comparative statics does not directly solve informative observation timing.	QUARANTINE_WEAK_BRIDGE	Previous status retained unless maturity/prior-art was the only reason for demotion.
32	5.376056015375539	IM-225	IM-212	M	S	0.0418513163842096	0.0666666666666666	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	SUBTRACT THE PREDICTABLE PART OF AN OBSERVATION STREAM TO ISOLATE NEW INFORMATION	M-311; M-313	S-105; S-120	M-311:Martingale difference structure | M-313:Martingale variance process	S-105: Correct conditional model; S-120: Predictable intensity	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	DEMOTE_DIRECT_THEORY	Martingale innovations/compensators already give deviation control for event streams.	DEMOTE_DIRECT_THEORY	Previous status retained unless maturity/prior-art was the only reason for demotion.
33	5.373047474167711	IM-311	IM-156	S	E;P	0.0404013188064132	0.0555555555555555	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	SYMMETRIC RULES CAN PRODUCE AN ASYMMETRIC REALIZED STATE; TINY COORDINATION SIGNALS CAN SELECT WHICH ONE	S-174	P-014; E-155; E-156	S-174:Rare/weak regime	P-014:Degeneracy/instability | E-155:Multiple equilibria | E-156:Expectations coordination	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	QUARANTINE_WEAK_BRIDGE	Rare/weak signal aggregation does not by itself explain symmetry-breaking equilibrium selection.	QUARANTINE_WEAK_BRIDGE	Previous status retained unless maturity/prior-art was the only reason for demotion.
34	5.368087643929195	IM-267	IM-357	M	E	0.0676700342536778	0.0	0.0	THE VALUE OF PERFECT FUTURE INFORMATION CAN BE BOUNDED WITHOUT HAVING THAT INFORMATION	PUBLIC ACTIONS CAN ACCUMULATE UNTIL A NEW AGENT RATIONALLY IGNORES ITS OWN PRIVATE SIGNAL	M-345	E-099	M-345:Sequential selection	E-099:Sequential social learning	mechanism/structural	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	QUARANTINE_INTERACTION_MISMATCH	Prophet information bound does not naturally address information cascades/public-action herding.	QUARANTINE_INTERACTION_MISMATCH	Previous status retained unless maturity/prior-art was the only reason for demotion.
35	5.349095883731748	IM-249	IM-171	M	P	0.0397415382243481	0.0666666666666666	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	A LOCALLY CAPABLE SOURCE MAY FAIL TO PROPAGATE BECAUSE THE DOWNSTREAM SINK/LOAD IS TOO LARGE	M-655	P-473; P-999	M-655:Potential equivalence	P-473: Excitation current balance; P-999: Geometry + finite coupling	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty	HOLD_WEAK	Boundary-equivalent source reduction may help source-sink load models, but missing operator is not yet concrete.	HOLD_WEAK	Previous status retained unless maturity/prior-art was the only reason for demotion.
