kernel_id	class_name	base_name	origin	core_v2_role	evidence_state	adoption_state	production_ready	retro50_products	retro50_relation_type	retro50_confidence	retro50_note
LCB-K018	ModularRiskFirewallV0	ModularRiskFirewall	r49_executable_library	CAPABILITY_COMPONENT	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K019	EffectiveDiversityGuardV0	EffectiveDiversityGuard	r49_executable_library	ASSURANCE_OR_DIAGNOSTIC_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	R023 CORMA; R037 SACPS; R038 DHCC	SUITE_COMPLEMENT	HIGH	effective rather than nominal independent information
LCB-K020	BackreactionAwareSensorV0	BackreactionAwareSensor	r49_executable_library	INFERENCE_OR_MEASUREMENT_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K021	LieTransientReachabilityGuardV0	LieTransientReachabilityGuard	r49_executable_library	ASSURANCE_OR_DIAGNOSTIC_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K022	RareWeakLayerMismatchGateV0	RareWeakLayerMismatchGate	r49_executable_library	ASSURANCE_OR_DIAGNOSTIC_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K023	LiquidityLoadSharingStressV0	LiquidityLoadSharingStress	r49_executable_library	CAPABILITY_COMPONENT	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	R004 OFLS	COMPLEMENT	HIGH	liquidity state plus burden redistribution
LCB-K024	PipelineRiskStateV0	PipelineRiskState	r49_executable_library	STATE_OR_TRANSFORMATION_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K025	LinkageUncertaintyPropagatorV0	LinkageUncertaintyPropagator	r49_executable_library	CAPABILITY_COMPONENT	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K026	RarePathImportanceSamplerV0	RarePathImportanceSampler	r49_executable_library	INFERENCE_OR_MEASUREMENT_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K027	RelationalMotifBeamLocatorV0	RelationalMotifBeamLocator	r49_executable_library	CAPABILITY_COMPONENT	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K028	ZeroCauseMetadataDiscriminatorV0	ZeroCauseMetadataDiscriminator	r49_executable_library	ASSURANCE_OR_DIAGNOSTIC_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K029	ReliabilityTemperedEvidenceV0	ReliabilityTemperedEvidence	r49_executable_library	CAPABILITY_COMPONENT	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	R026 EBC	COMPLEMENT	HIGH	reliability-weighted evidence borrowing
LCB-K030	OptionValueCapacityReserverV0	OptionValueCapacityReserver	r49_executable_library	ACTION_OR_OPTIMIZATION_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K031	ClusterCauseInvarianceFeaturesV0	ClusterCauseInvarianceFeatures	r49_executable_library	CAPABILITY_COMPONENT	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K032	HiddenMassLinkageV0	HiddenMassLinkage	r49_executable_library	CAPABILITY_COMPONENT	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	R049 MLHPE	DIRECT_SURFACE_OVERLAP	HIGH	hidden-population estimation with linkage uncertainty
LCB-K033	DynamicNetworkTwinV0	DynamicNetworkTwin	r49_executable_library	CAPABILITY_COMPONENT	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K034	CausalEdgeValidatorFeaturesV0	CausalEdgeValidatorFeatures	r49_executable_library	CAPABILITY_COMPONENT	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	R008 LGID; R022 CDA	COMPONENT	MEDIUM	causal-assumption and intervention-value validation
LCB-K035	ConsequenceCoverageAllocatorV0	ConsequenceCoverageAllocator	r49_executable_library	ACTION_OR_OPTIMIZATION_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K036	PerimeterMigrationScannerV0	PerimeterMigrationScanner	r49_executable_library	ASSURANCE_OR_DIAGNOSTIC_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K037	LiquidityStateEngineV0	LiquidityStateEngine	r49_executable_library	STATE_OR_TRANSFORMATION_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	R004 OFLS	DIRECT_COMPONENT	HIGH	usable-liquidity state for flow simulation
LCB-K038	CompetingExitExposureV0	CompetingExitExposure	r49_executable_library	CAPABILITY_COMPONENT	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	R047 MCRIS	DIRECT_COMPONENT	HIGH	state-dependent competing exits
LCB-K039	CutQueryCompressorV0	CutQueryCompressor	r49_executable_library	STATE_OR_TRANSFORMATION_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K040	TriggerQualityVerifierV0	TriggerQualityVerifier	r49_executable_library	ASSURANCE_OR_DIAGNOSTIC_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K041	ActiveThresholdSensingV0	ActiveThresholdSensing	r49_executable_library	INFERENCE_OR_MEASUREMENT_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K042	EffectiveRedundancyBackstopV0	EffectiveRedundancyBackstop	r49_executable_library	CAPABILITY_COMPONENT	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K043	DesignAwareRandomizationInferenceV0	DesignAwareRandomizationInference	r49_executable_library	INFERENCE_OR_MEASUREMENT_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K044	ReachableSubspaceAuditV0	ReachableSubspaceAudit	r49_executable_library	ASSURANCE_OR_DIAGNOSTIC_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	R023 CORMA; R024 BRED; R042 PSCT	SUITE_COMPLEMENT	MEDIUM	controllable/observable subspace audit
LCB-K045	BandSpecificRelationGateV0	BandSpecificRelationGate	r49_executable_library	ASSURANCE_OR_DIAGNOSTIC_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	R005 SLERM; R034 RSPI	COMPLEMENT	HIGH	band-specific synchronization evidence gate
LCB-K046	TargetPopulationAnchorCalibratorV0	TargetPopulationAnchorCalibrator	r49_executable_library	INFERENCE_OR_MEASUREMENT_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	R026 EBC	COMPLEMENT	MEDIUM	trusted target anchor before evidence borrowing
LCB-K047	AtomicComplementaryCommitV0	AtomicComplementaryCommit	r49_executable_library	ACTION_OR_OPTIMIZATION_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K048	MultiFidelityBudgetControllerV0	MultiFidelityBudgetController	r49_executable_library	ACTION_OR_OPTIMIZATION_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	R022 CDA	COMPLEMENT	MEDIUM	value-of-information and measurement budget
LCB-K049	BarrierAwareTransitionPlannerV0	BarrierAwareTransitionPlanner	r49_executable_library	ACTION_OR_OPTIMIZATION_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K050	ResilientFlowRouterV0	ResilientFlowRouter	r49_executable_library	ACTION_OR_OPTIMIZATION_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K051	TreatmentConfounderFeedbackGuardV0	TreatmentConfounderFeedbackGuard	r49_executable_library	ASSURANCE_OR_DIAGNOSTIC_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	R008 LGID; R022 CDA	COMPONENT	MEDIUM	time-varying treatment-confounder feedback
LCB-K052	BurstAwareSamplerV0	BurstAwareSampler	r49_executable_library	INFERENCE_OR_MEASUREMENT_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	R045 ATRC; R030 ISPO	COMPLEMENT	MEDIUM	adaptive sampling/memory allocation
LCB-K053	ActiveSetMapV0	ActiveSetMap	r49_executable_library	CAPABILITY_COMPONENT	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K054	TimescaleBottleneckDetectorV0	TimescaleBottleneckDetector	r49_executable_library	CAPABILITY_COMPONENT	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K055	InterfaceWidthOptimizerV0	InterfaceWidthOptimizer	r49_executable_library	ACTION_OR_OPTIMIZATION_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	R003 RIC; R018 MCSC	SUITE_COMPLEMENT	MEDIUM	structured exact optimization and certificates
LCB-K056	BurdenReliefControllerV0	BurdenReliefController	r49_executable_library	ACTION_OR_OPTIMIZATION_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K057	SelectionWithinAttributionV0	SelectionWithinAttribution	r49_executable_library	CAPABILITY_COMPONENT	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K058	SafeProblemReducerV0	SafeProblemReducer	r49_executable_library	STATE_OR_TRANSFORMATION_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	R003 RIC; R018 MCSC	SUITE_COMPLEMENT	HIGH	safe reduction before exact optimization
LCB-K059	ArrivalFrontierEngineV0	ArrivalFrontierEngine	r49_executable_library	STATE_OR_TRANSFORMATION_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K060	EndogenousHotspotGuardV0	EndogenousHotspotGuard	r49_executable_library	ASSURANCE_OR_DIAGNOSTIC_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K061	RiskShiftContractGuardV0	RiskShiftContractGuard	r49_executable_library	ASSURANCE_OR_DIAGNOSTIC_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K062	DelayedVerificationIncentiveGateV0	DelayedVerificationIncentiveGate	r49_executable_library	ASSURANCE_OR_DIAGNOSTIC_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K063	SolverCertificateAuditV0	SolverCertificateAudit	r49_executable_library	ASSURANCE_OR_DIAGNOSTIC_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	R003 RIC; R018 MCSC	SUITE_COMPLEMENT	HIGH	independent solver/certificate verification
LCB-K064	StrategicCapacityResponseGuardV0	StrategicCapacityResponseGuard	r49_executable_library	ASSURANCE_OR_DIAGNOSTIC_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K065	InformationProductionEquilibriumGuardV0	InformationProductionEquilibriumGuard	r49_executable_library	ASSURANCE_OR_DIAGNOSTIC_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K066	EffectiveComplexityMeterV0	EffectiveComplexityMeter	r49_executable_library	STATE_OR_TRANSFORMATION_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	R024 BRED; R046 MDDC	COMPLEMENT	MEDIUM	effective model complexity versus nominal size
LCB-K067	TimescaleAwareDeadZoneV0	TimescaleAwareDeadZone	r49_executable_library	CAPABILITY_COMPONENT	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K068	AdmissibleShiftRobustOptimizerV0	AdmissibleShiftRobustOptimizer	r49_executable_library	ACTION_OR_OPTIMIZATION_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	R028 TDSX; R029 SCE; R044 DLEW	SUITE_COMPLEMENT	HIGH	declared-shift robustness plus tipping exploration
LCB-K069	PredictableVarianceAlarmV0	PredictableVarianceAlarm	r49_executable_library	ASSURANCE_OR_DIAGNOSTIC_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K070	GroundTruthFreeRiskTunerV0	GroundTruthFreeRiskTuner	r49_executable_library	INFERENCE_OR_MEASUREMENT_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K071	GuaranteeTransportGateV0	GuaranteeTransportGate	r49_executable_library	ASSURANCE_OR_DIAGNOSTIC_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	R028 TDSX; R029 SCE; R044 DLEW	SUITE_COMPLEMENT	HIGH	deployment-shift validity gate
LCB-K072	EffectiveRedundancyAuditV0	EffectiveRedundancyAudit	r49_executable_library	ASSURANCE_OR_DIAGNOSTIC_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	R023 CORMA; R037 SACPS; R038 DHCC	SUITE_COMPLEMENT	HIGH	coherent-path/covariance redundancy audit
LCB-K073	ConsumableSafeguardStateV0	ConsumableSafeguardState	r49_executable_library	STATE_OR_TRANSFORMATION_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K074	InformationSearchTippingGuardV0	InformationSearchTippingGuard	r49_executable_library	ASSURANCE_OR_DIAGNOSTIC_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K075	ScreeningByDegradationAuditV0	ScreeningByDegradationAudit	r49_executable_library	ASSURANCE_OR_DIAGNOSTIC_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K076	ModeConversionRouterV0	ModeConversionRouter	r49_executable_library	ACTION_OR_OPTIMIZATION_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K077	SacrificialDeflectionGuardV0	SacrificialDeflectionGuard	r49_executable_library	ASSURANCE_OR_DIAGNOSTIC_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K078	AtomicPackageExecutionV0	AtomicPackageExecution	r49_executable_library	ACTION_OR_OPTIMIZATION_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K079	LeadingEdgeEarlyWarningV0	LeadingEdgeEarlyWarning	r49_executable_library	CAPABILITY_COMPONENT	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K080	CompressionTopologyGuardV0	CompressionTopologyGuard	r49_executable_library	ASSURANCE_OR_DIAGNOSTIC_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K081	ObservationPolicyConfoundingGuardV0	ObservationPolicyConfoundingGuard	r49_executable_library	ASSURANCE_OR_DIAGNOSTIC_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	R008 LGID; R022 CDA	COMPONENT	MEDIUM	measurement-policy confounding
LCB-K082	MicroMemoryDiagnosticV0	MicroMemoryDiagnostic	r49_executable_library	ASSURANCE_OR_DIAGNOSTIC_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K083	CodedBottleneckRouterV0	CodedBottleneckRouter	r49_executable_library	ACTION_OR_OPTIMIZATION_KERNEL	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
LCB-K084	DecisionWeightedCalibrationV0	DecisionWeightedCalibration	r49_executable_library	CAPABILITY_COMPONENT	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	R026 EBC; R044 DLEW	COMPLEMENT	MEDIUM	calibration budget by decision consequence
LCB-K085	IrreversibleExplorationBudgetV0	IrreversibleExplorationBudget	r49_executable_library	CAPABILITY_COMPONENT	MECHANISM_BENCHMARKED	ADOPT_CAPABILITY_NOT_PRODUCTION_CLAIM	False	none	NO_HIGH_CONFIDENCE_MATCH	N/A	new capability surface relative to the current 50-product registry
