product_id	short_name	title	origin	parents_raw	promotion_state	has_explicit_strength	has_explicit_weakness	executable_source_present	test_source_present	strength_raw	weakness_raw
P028	REIS	P028 REIS v0.1 — Relational Evidence Impact Safeguards	CURRENT_DELTA	REL discrepancy localization -> BICC empirical downstream replacement impact -> CSID safeguard portfolio.	UNEXTRACTED	True	True	False	False	"REL discrepancy localization -> BICC empirical downstream replacement impact -> CSID safeguard portfolio.

REIS separates two questions that can disagree: which record is most likely to explain the discrepancy, and which suspicious record has the largest expected downstream consequence if it is wrong. Safeguard budget is allocated using posterior probability multiplied by an explicitly aligned empirical consequence scale."	REL probabilities are conditional on its enumerated non-empty culprit-set hypothesis space. BICC replacement effects are empirical sensitivity measurements of the supplied scalar function, not causal effects. CSID inherits whatever operational-loss semantics that scalar consequence function is given.
P029	RATR	P029 RATR v0.1 — Resilience-Aware Target Reduction	CURRENT_DELTA	TWMR target-weighted coordinate reduction -> HMRM current hidden-mode recovery guard.	UNEXTRACTED	True	True	False	False	"TWMR target-weighted coordinate reduction -> HMRM current hidden-mode recovery guard.

RATR uses the same coordinate-deletion shell as TWMR, but a candidate reduction is admissible only if it preserves HMRM's current joint resilience-alert status. Among admissible subsets it minimizes TWMR target impulse-response error. If the state budget cannot preserve the current resilience status, it refuses to claim a safe reduction."	Coordinate-deletion benchmark. RATR preserves HMRM's current joint-alert classification, not the complete modal spectrum, every recovery time, or arbitrary future trajectories.
P030	FPTE	P030 FPTE v0.1 — Failure-Path Tipping Explorer	CURRENT_DELTA	MFPA baseline multi-route architecture design -> TDSX frozen-architecture retention tipping surface.	UNEXTRACTED	True	True	False	False	"MFPA baseline multi-route architecture design -> TDSX frozen-architecture retention tipping surface.

FPTE first optimizes the physical allocation under baseline mechanism retentions. It then freezes that allocation and asks how much declared mechanism/scenario retention can deteriorate before worst-case failure energy crosses the requirement. Stress points are never silently re-optimized."	Synthetic mechanism benchmark. Retentions, activation thresholds, mass discretization and dissipation laws require physical calibration before engineering use. The surface measures robustness of the built/frozen architecture, not redesign flexibility.
P031	EVLT	P031 EVLT v0.1 — Evidence-Weighted Liquidity Triage	CURRENT_DELTA	UNEXTRACTED	UNEXTRACTED	False	True	False	False		REL probabilities remain conditional on its enumerated non-empty culprit-set hypothesis space. EVLT is therefore a conditional audit-triage engine, not an unconditional fraud-probability estimator. Audit outcomes are modeled as: clean scenario -> successfully verified through the declared verifier; culprit scenario -> remains unverified. LCM channel/capacity/anchor constraints are rerun for every posterior scenario and audit subset.
P032	SGOT	P032 SGOT v0.1 — Support-Gated Orthogonal Target	CURRENT_DELTA	UNEXTRACTED	UNEXTRACTED	False	True	False	False		"The support gate does not prove causal identification, correct nuisance models, SUTVA, or no unmeasured confounding. It only prevents OTE orthogonality from being misread as a cure for missing treatment support. No clipping-based ""repair"" is applied because that would change the target and still cannot manufacture missing counterfactual observations."
P033	CATF	P033 CATF v0.1 — Consequence-Aware Time-Frequency Allocation	CURRENT_DELTA	UNEXTRACTED	UNEXTRACTED	False	True	False	False		CATF does not invent a natural exchange rate between seconds, hertz, samples, and operational consequence. The normalization scales, consequence weights, and sample cost are declared inputs. The reported gain is conditional on those declared operational weights.
P034	UGIM	P034 UGIM v0.1 — Ultimate Gain Incidence Mapper	CURRENT_DELTA	UNEXTRACTED	UNEXTRACTED	False	True	False	False		The local-property-to-company mapping is an operator input; UGIM does not infer it from company names, voting control, or geography. Cash-flow ownership determines economic incidence. Voting control remains a distinct output and is not substituted for ownership. If the supplied investor set does not span all ultimate owners, the residual remains unassigned.
P035	SVCO	P035 SVCO v0.1 — Stateful Volcano Cycle Optimizer	CURRENT_DELTA	UNEXTRACTED	UNEXTRACTED	False	True	False	False		The adapter interprets VICO aggregate throughput as a normalized full-active SCCRT product rate. This is an explicit modeling contract, not a claim that VICO estimates arbitrary kinetic constants. All couplings face the same feed/regeneration schedule; otherwise the comparison would confound operating point with regeneration policy.
P036	MAWT	P036 MAWT v0.1 — Mass-Aware Wasserstein Transport	CURRENT_DELTA	UNEXTRACTED	UNEXTRACTED	False	True	False	False		W2 and UMCA cost are not merged into one pseudo-metric. W2 answers normalized shape change; UMCA answers raw operational accounting under declared costs. The movement-cost power is an operator choice and does not alter WBDP's definition.
P037	MCST	P037 MCST v0.1 — Monotone-Certificate Sensitivity Tipping	CURRENT_DELTA	UNEXTRACTED	UNEXTRACTED	False	True	False	False		Robustness is conditional on the supplied payoff builder and finite assumption grid. MCST does not extrapolate a global theorem beyond that surface. The scalar passed to TDSX is MCSC's exact violation magnitude, not a surrogate monotonicity score.
P038	LIDA	P038 LIDA v0.1 — Lock-In Damage Accumulator	CURRENT_DELTA	UNEXTRACTED	UNEXTRACTED	False	True	False	False		The RMS baseline/scale and endurance normalized-energy-transfer level are explicit operator inputs. Frequency locking by itself is not treated as damage; only positive work transfer contributes load severity, and DSDA retains its influence caps and persistence requirement.
P039	CACF	P039 CACF v0.1 — Control-Aware Circular Flow	CURRENT_DELTA	UNEXTRACTED	UNEXTRACTED	False	True	False	False		The transaction graph and face complex are explicit inputs. The output is a structural screening signal for controlled circular flow, not a legal or factual determination of fraud, money laundering, or intent. Voting control is never substituted for economic ownership.
P040	BAPC	P040 BAPC v0.1 — Blackwell-Audited Persuasion Channel	CURRENT_DELTA	UNEXTRACTED	UNEXTRACTED	False	True	False	False		Blackwell ordering is a property of the channel, not of sender preferences. BAPC does not infer sender welfare from information dominance. BPISD still supplies the persuasion objective; CDA supplies only channel ordering and receiver decision value for the declared utility table.
P041	DDER	P041 DDER v0.1 — Double-Diffusive Exposure Resilience	CURRENT_DELTA	UNEXTRACTED	UNEXTRACTED	False	True	False	False		DDER uses only UTDIM's fastest scalar growth rate. It does not reconstruct the full signed eigenvector or replace the underlying multi-field stability model. Current modal amplitude and consequence gain are explicit external measurements/assumptions.
P042	HPMD	P042 HPMD v0.1 — Hidden-Population Model Decision Audit	CURRENT_DELTA	UNEXTRACTED	UNEXTRACTED	False	True	False	False		Akaike weights are used as a declared decision-weighting convention; HPMD does not claim they are literal Bayesian posterior probabilities. Saturated zero-residual-DF models remain excluded as in MLHPE. Capacity loss parameters are operator inputs.
P043	DABR	P043 DABR v0.1 — Decision-Aware Balanced Reducer	CURRENT_DELTA	BRED → DLEW. BRED supplies stable reduced-order candidates; DLEW evaluates the downstream actions induced by those reduced outputs on protected episodes.	WORKING_COMPOSITION / SYNTHETIC DECISION BENCHMARK	True	True	False	False	BRED → DLEW. BRED supplies stable reduced-order candidates; DLEW evaluates the downstream actions induced by those reduced outputs on protected episodes.	"The full model is the protected reference for this model-reduction audit; DABR does not prove that the full model is physically true.

Promotion state: **WORKING_COMPOSITION / SYNTHETIC DECISION BENCHMARK**."
P044	MFTS	P044 MFTS v0.1 — Manufacturing-Feasibility Tipping Surface	CURRENT_DELTA	FCMS → TDSX. FCMS certifies rank-one-compatible laminate construction; TDSX finds where fabrication assumptions make that same mathematical laminate unmanufacturable.	WORKING_COMPOSITION / FABRICATION TIPPING BENCHMARK	True	True	False	False	FCMS → TDSX. FCMS certifies rank-one-compatible laminate construction; TDSX finds where fabrication assumptions make that same mathematical laminate unmanufacturable.	"Mathematical compatibility and fabrication feasibility are separate certificates.

Promotion state: **WORKING_COMPOSITION / FABRICATION TIPPING BENCHMARK**."
P045	BDTS	P045 BDTS v0.1 — Breakthrough Distance-to-Tipping Surface	CURRENT_DELTA	PCBE → TDSX. The tipping metric is the minimum of normalized spanning-path bottleneck and normalized system-level conductance jump, so threshold crossing requires both PCBE breakthrough conditions.	WORKING_COMPOSITION / BREAKTHROUGH TIPPING BENCHMARK	True	False	False	False	PCBE → TDSX. The tipping metric is the minimum of normalized spanning-path bottleneck and normalized system-level conductance jump, so threshold crossing requires both PCBE breakthrough conditions.	
P046	DTRC	P046 DTRC v0.1 — Decision-Targeted Reporting Contract	CURRENT_DELTA	SRCD → DLEW. SRCD creates truthful contracts for declared statistical targets; DLEW selects among valid contracts by the downstream capacity decisions their reports induce.	WORKING_COMPOSITION / DECISION-TARGETED INCENTIVE BENCHMARK	True	False	False	False	SRCD → DLEW. SRCD creates truthful contracts for declared statistical targets; DLEW selects among valid contracts by the downstream capacity decisions their reports induce.	
P047	RALA	P047 RALA v0.1 — Resilience-Aware Lumpability Audit	CURRENT_DELTA	SALC → HMRM. SALC certifies block-transition lumpability; HMRM checks whether consequence-bearing slow modes survive inside a block and are invisible to the aggregate state.	WORKING_COMPOSITION / HIDDEN-MODE AGGREGATION BENCHMARK	True	False	False	False	SALC → HMRM. SALC certifies block-transition lumpability; HMRM checks whether consequence-bearing slow modes survive inside a block and are invisible to the aggregate state.	
P048	SARA	P048 SARA v0.1 — Structural-vs-Approximate Reduction Audit	CURRENT_DELTA	CORMA → BRED. CORMA defines the structural controllable-observable minimum dimension; BRED may reduce below it only by spending approximation error.	WORKING_COMPOSITION / REDUCTION-CLAIM AUDIT	True	False	False	False	CORMA → BRED. CORMA defines the structural controllable-observable minimum dimension; BRED may reduce below it only by spending approximation error.	
P049	OGRM	P049 OGRM v0.1 — Observability-Gated Resilience Monitor	CURRENT_DELTA	CORMA → HMRM. A current resilience alarm is cross-checked against the measurement matrix's gain on the risky eigenmode.	WORKING_COMPOSITION / MONITORABILITY BENCHMARK	True	False	False	False	CORMA → HMRM. A current resilience alarm is cross-checked against the measurement matrix's gain on the risky eigenmode.	
P050	CPWT	P050 CPWT v0.1 — Conservation-Gated Process-Window Tipping	CURRENT_DELTA	CSDC → TDSX. TDSX searches mobility/time process settings, while CSDC supplies both coarsening target attainment and a numerical material-conservation diagnostic.	WORKING_COMPOSITION / PROCESS-WINDOW BENCHMARK	True	False	False	False	CSDC → TDSX. TDSX searches mobility/time process settings, while CSDC supplies both coarsening target attainment and a numerical material-conservation diagnostic.	
P057	FIAC	P057 FIAC v0.1 — Firewalled Information Acquisition Controller	CURRENT_DELTA	MIFF → AICC. MIFF removes suspect-source information-flow paths to the protected controller; AICC then ranks only the channels whose source modules remain reachable after the firewall.	WORKING_COMPOSITION / INFORMATION-FIREWALL BENCHMARK	True	False	False	False	MIFF → AICC. MIFF removes suspect-source information-flow paths to the protected controller; AICC then ranks only the channels whose source modules remain reachable after the firewall.	
P058	VLRB	P058 VLRB v0.2 — Verified-Liquidity Redemption Buffer	CURRENT_DELTA	LCM → explicit TRUE_SALE adapter → OFLS. LCM-financed claim face is removed from the liquidatable asset book, proceeds are added to cash, and any face/proceeds discount is written into NAV before OFLS redemption simulation.	WORKING_COMPOSITION / BALANCE-SHEET-COMPATIBLE LIQUIDITY BENCHMARK	True	False	False	False	LCM → explicit TRUE_SALE adapter → OFLS. LCM-financed claim face is removed from the liquidatable asset book, proceeds are added to cash, and any face/proceeds discount is written into NAV before OFLS redemption simulation.	
P059	SBTE	P059 SBTE v0.1 — Safeguard Budget Tipping Explorer	CURRENT_DELTA	CSID → TDSX. At each budget, CSID chooses its economically preferred safeguard portfolio. TDSX finds the nearest budget where the selected portfolio reaches a declared residual-loss target.	WORKING_COMPOSITION / SAFEGUARD-BUDGET BENCHMARK	True	False	False	False	CSID → TDSX. At each budget, CSID chooses its economically preferred safeguard portfolio. TDSX finds the nearest budget where the selected portfolio reaches a declared residual-loss target.	
P060	PFVT	P060 PFVT v0.1 — Protected-Financing Viability Tipping	CURRENT_DELTA	PRIU → TDSX. Each point on the declared funded-asset-value / promised-repayment surface is audited across every priority insertion. A point passes only when the same insertion both meets lender recovery requirements and leaves every existing claim no worse off.	WORKING_COMPOSITION / RESTRUCTURING-TIPPING BENCHMARK	True	False	False	False	PRIU → TDSX. Each point on the declared funded-asset-value / promised-repayment surface is audited across every priority insertion. A point passes only when the same insertion both meets lender recovery requirements and leaves every existing claim no worse off.	
P061	RSGF	Remote-Synchronization-Gated Firewall	CURRENT_DELTA	UNEXTRACTED	PROMOTED v0.1	False	False	False	False		
P062	WDTG	Wasserstein Decision-Tipping Geodesic	CURRENT_DELTA	UNEXTRACTED	PROMOTED v0.1	False	False	False	False		
P063	RBTE	Restart-Benefit Tipping Explorer	CURRENT_DELTA	UNEXTRACTED	PROMOTED v0.1	False	False	False	False		
P064	DSGD	Deployability-Sensitive Guard Designer	CURRENT_DELTA	UNEXTRACTED	PROMOTED v0.1	False	False	False	False		
P065	SWTE	Support-Weight Tipping Explorer	CURRENT_DELTA	UNEXTRACTED	PROMOTED v0.1	False	False	False	False		
P066	PDRE	Private Decision-Relevant Explorer	CURRENT_DELTA	UNEXTRACTED	PROMOTED v0.1	False	False	False	False		
P067	DARA	Deployability-Aware Resolution Allocator	CURRENT_DELTA	UNEXTRACTED	PROMOTED v0.1	False	False	False	False		
P068	RECT	Relational-Evidence Calibrated Trigger	CURRENT_DELTA	UNEXTRACTED	PROMOTED v0.1	False	False	False	False		
P075	DLAG	Decision-Loss-Aware Lumpability Guard	CURRENT_DELTA	UNEXTRACTED	PROMOTED v0.1	False	True	False	False		Exact strong lumpability is a transition-law certificate only. DLAG adds a declared utility matrix and regret tolerance; it does not claim a partition is decision-safe for unmodeled actions or utilities.
P076	MCFS	Market-Clearing Fragility Surface	CURRENT_DELTA	UNEXTRACTED	PROMOTED v0.1	False	True	False	False		The tipping point is conditional on the declared offer stack, fixed offer prices/quantities, scarcity-price rule, and finite demand grid. It is not a forecast of strategic bidding or endogenous supply entry.
P077	DGMC	Deliverability-Gated Market Clearing	CURRENT_DELTA	UNEXTRACTED	PROMOTED v0.1	False	True	False	False		CDBL quantities are physical/operational deployability under the declared network. DGMC does not infer strategic availability, forced outages, or offer-price changes unless explicitly represented upstream.
P078	IARA	Influence-Aware Resolution Allocator	CURRENT_DELTA	UNEXTRACTED	PROMOTED v0.1	False	True	False	False		Observed replacement influence is a consequence proxy, not proof of causal effect or adversarial realizability. Global concentration claims still require valid caller-supplied bounds; IARA uses the empirical influence audit for allocation.
P079	CBIA	Calibrated Boundary Information Acquisition	CURRENT_DELTA	UNEXTRACTED	PROMOTED v0.1	False	True	False	False		The interval is a calibration object, not a posterior probability of action change. Skipping acquisition is certified only relative to the declared action functions and calibrated interval shell.
P080	RAMR	Resilience-Aware Measurement Resolution	CURRENT_DELTA	UNEXTRACTED	PROMOTED v0.1	False	True	False	False		Exposure×recovery is a prioritization proxy, not an expected monetary loss. Mode identity and consequence projection remain conditional on the supplied transition and consequence model.
P081	AHSA	Adaptive Hedge Selection Audit	CURRENT_DELTA	UNEXTRACTED	PROMOTED v0.1	False	True	False	False		AHSA diagnoses adaptive hedge-selection regret on the declared protected sample. It does not guarantee future market performance or model transaction costs beyond the supplied DHCC loss contract.
P082	CDTS	P082_CDTS — Channel Dominance Tipping Surface	CURRENT_DELTA	CDA + TDSX	UNEXTRACTED	False	True	False	False		Blackwell dominance is exact only on the declared binary experiment family; the tipping surface does not extrapolate beyond the supplied channel grid.
P083	HEAG	P083_HEAG — Historical Evidence Acquisition Gate	CURRENT_DELTA	EBC + AICC	UNEXTRACTED	False	True	False	False		Historical estimates are borrowed only under EBC compatibility/cap rules. A lower measurement value after borrowing does not imply historical evidence is correct; strong conflict should suppress borrowing.
P084	CAVT	P084_CAVT — Control Authority Viability Tipping	CURRENT_DELTA	CCVC + TDSX	UNEXTRACTED	False	True	False	False		Local boundary viability is certified for the declared linear dynamics, conservation manifold, safe polytope and actuator bounds. This is not a global nonlinear safety certificate.
P085	HPCT	P085_HPCT — Hidden Population Capacity Tipping	CURRENT_DELTA	MLHPE + TDSX	UNEXTRACTED	False	True	False	False		The surface perturbs an observed capture-history count and refits MLHPE at every point. Akaike model averaging is a declared decision convention, not a literal posterior over population models.
P086	FPSD	P086_FPSD — Failure Path Safeguard Designer	CURRENT_DELTA	MFPA + CSID	UNEXTRACTED	False	True	False	False		Failure consequence is the drop in worst-case dissipation energy under a fixed optimized architecture. Safeguard probabilities/coverage are declared inputs and require empirical calibration.
P087	EVTS	P087_EVTS — Exploration Value Tipping Surface	CURRENT_DELTA	DRE + TDSX	UNEXTRACTED	False	True	False	False		The surface uses DRE Gaussian-arm assumptions and the declared cost/horizon grid. The reported interaction tipping is not an asymptotic exploration theorem.
P088	LFTS	P088_LFTS — Lumpability Fragility Tipping Surface	CURRENT_DELTA	SALC + TDSX	UNEXTRACTED	False	True	False	False		The perturbation is a declared stochastic-matrix path. Exceeding the error budget means the chosen aggregation certificate fails on that path, not that all possible aggregations fail.
P089	OCTS	P089_OCTS — Ownership Control Tipping Surface	CURRENT_DELTA	OWNM + TDSX	UNEXTRACTED	False	True	False	False		Voting control follows OWNM threshold propagation. Economic exposure remains separate; control does not imply 100% cash-flow ownership.
P090	SWDL	P090_SWDL — Support-Weighted Decision Loss	CURRENT_DELTA	UNEXTRACTED	UNEXTRACTED	False	True	False	False		Target importance weights must be externally justified; usable ESS does not prove transportability.
P091	DCBT	P091_DCBT — Decision Compression Budget Tipping	CURRENT_DELTA	UNEXTRACTED	UNEXTRACTED	False	True	False	False		The result is conditional on the supplied beliefs, utilities, and declared tolerance grid.
P092	PDAT	P092_PDAT — Private Decision Accuracy Tipping	CURRENT_DELTA	UNEXTRACTED	UNEXTRACTED	False	True	False	False		Exact adapter currently covers one public threshold/two actions and is a utility calculation, not a new privacy theorem.
P093	BMDT	P093_BMDT — Belief Metric Decision Tipping	CURRENT_DELTA	UNEXTRACTED	UNEXTRACTED	False	True	False	False		Path-local result; it is not a global adversarial belief radius.
P094	OCGS	P094_OCGS — Ownership Control Guard Selection	CURRENT_DELTA	UNEXTRACTED	UNEXTRACTED	False	True	False	False		Failure probabilities and safeguard coverages are declared inputs, not estimated by OWNM.
P095	GSSA	P095_GSSA — Geometry-Support Shift Audit	CURRENT_DELTA	UNEXTRACTED	UNEXTRACTED	False	True	False	False		Density-ratio audit requires common discrete support and positive source mass in every represented target bin.
P096	TRIA	P096_TRIA — Transient-Risk Information Acquisition	CURRENT_DELTA	UNEXTRACTED	UNEXTRACTED	False	True	False	False		Channel cost is expressed in the same declared units as flip-index reduction; Gaussian linear update assumptions remain explicit.
P097	BDSD	P097_BDSD — Blackwell-Deduplicated Safeguard Design	CURRENT_DELTA	UNEXTRACTED	UNEXTRACTED	False	True	False	False		Blackwell dominance establishes information redundancy, not identical operational failure modes; the shared evidence-family mapping is a declared design policy.
P098	SAHA	Product result — P098_SAHA v0.1	CURRENT_DELTA	SCE + ACSA		True	True	False	False	Closes the explicit SCE → ACSA frontier by freezing each valid control-set specification after learning, emitting casewise selection/holdout prediction losses, and auditing the adaptively selected specification on untouched data.	v0.1 deliberately fixes outcome, treatment, and sample rule and audits the control-set search dimension. Expanding all SCE dimensions requires a common protected prediction target rather than silently comparing different outcomes.
P099	CAPA	Product result — P099_CAPA v0.1	CURRENT_DELTA	CAPL + ACSA		True	True	False	False	Treats CAPL hyperparameter variants as an adaptive policy family, freezes their learned coefficients, computes per-period protected losses, and audits design-stage hyperparameter selection with ACSA.	The benchmark is a regime-shift stress test. Per-period loss uses net return plus the declared local risk penalty; it is not a universal portfolio utility.
P100	WICA	Product result — P100_WICA v0.1	CURRENT_DELTA	OWS + BICC		True	True	False	False	Separates statistical support concentration from downstream consequence by applying BICC replacement influence to the exact weighted target audited by OWS.	BICC global bounds remain assumption-conditional and observed replacement effects are not proof of worst-case global influence.
P101	PRSW	Product result — P101_PRSW v0.1	CURRENT_DELTA	PRIU + OWS		True	True	False	False	Reweights PRIU scenarios to a declared target law only after OWS audits importance-weight support, then compares protected-financing conclusions under source and target scenario distributions.	Importance weights define a target scenario law; they are not probabilities until multiplied by source scenario mass and renormalized. Fragile support blocks the target financing claim.
P102	LLFD	Product result — P102_LLFD v0.1	CURRENT_DELTA	SLERM + TFLD		True	True	False	False	Uses measured dangerous lock-in frequency and episode duration to set an explicit joint time/frequency localization requirement, then asks TFLD for a window satisfying both.	The episode-fraction localization requirement is user-declared; it is not a universal physical constant. No dangerous energy-transferring lock-in means no localization design is emitted.
P103	CFAI	Product result — P103_CFAI v0.1	CURRENT_DELTA	HFAD + BICC + ACRA		True	True	False	False	Turns HFAD circulation energy into a black-box audit target, measures edge replacement influence with BICC, and allocates scarce sensing/audit resolution with ACRA.	Circulation is a flow-topology signal, not a fraud label. The current benchmark uses empirical influence only because no global edge-flow bound is supplied.
P104	SGPR	Product result — P104_SGPR v0.1	CURRENT_DELTA	OWS + DTPR		True	True	False	False	Enforces statistical-support validity before spending privacy budget. A fragile target reweighting is blocked before DTPR executes; usable support can release only the declared private action.	Privacy does not certify statistical validity, and OWS does not certify the externally declared global sensitivity of the DTPR score.
P105	PRAS	Product result — P105_PRAS v0.1	CURRENT_DELTA	ACSA + DTPR		True	True	False	False	Uses ACSA internally on a sensitive protected candidate family, then releases only a candidate name via DTPR exponential selection; raw protected losses and holdout-best identity are not returned.	The utility-sensitivity bound is caller-supplied and must be valid under the neighboring-dataset definition. Internal access to protected losses remains trusted computation.
P114	HPAC	Product result — P114_HPAC v0.1	CURRENT_DELTA	MLHPE + AICC		True	True	False	False	Turns a Chapman hidden-population estimate and its sampling uncertainty into a downstream capacity-boundary measurement decision.	The Gaussian belief adapter uses the Chapman standard error and a declared linear expand/hold utility around a capacity threshold; it is not a full Bayesian posterior over capture dependence.
