id	domain	source_concept	primitive	constraint_shell
M-049	Mathematics	Matching	Pair objects without reusing them	Combinatorial compatibility
M-050	Mathematics	Hall condition	A perfect matching exists if every subset has enough possible partners	Bipartite graph
M-051	Mathematics	Matroid	Describe independence without needing coordinates	Hereditary/exchange axioms
M-052	Mathematics	Greedy optimality in matroids	Repeatedly take best available piece and still reach global optimum	Matroid structure
M-053	Mathematics	Submodularity	Extra benefit of adding something decreases as your collection grows	Diminishing marginal set returns
M-054	Mathematics	Dynamic programming	Break a long decision into smaller future-equivalent subproblems	Optimal substructure
M-055	Mathematics	Bellman principle	An optimal future must remain optimal after the past is fixed	Markov/state sufficiency
M-056	Mathematics	Branch and bound	Split possibilities, discard branches that cannot beat current best	Valid upper/lower bounds
M-057	Mathematics	Relaxation	Solve an easier larger problem to bound the harder one	Superset/approximation relation
M-058	Mathematics	Cutting plane	Repeatedly add constraints that remove impossible solutions while keeping valid ones	Separating inequalities
M-059	Mathematics	Interior point	Move through the inside of feasible space rather than along its edges	Convex/regularity conditions
M-060	Mathematics	Proximal operator	Take a step toward improvement but penalize moving too far	Convexity/generalized monotonicity
M-061	Mathematics	Bifurcation	Slowly change a setting until the number/type of possible behaviors suddenly changes	Nonlinear parameterized dynamics
M-062	Mathematics	Stable manifold	Find directions from which disturbances naturally return toward a state	Local dynamical stability
M-063	Mathematics	Unstable manifold	Find directions where tiny disturbances get amplified away from a state	Local instability
M-064	Mathematics	Center manifold	Ignore quickly dying directions and retain the few slow directions controlling nearby behavior	Local spectral separation
M-065	Mathematics	Lyapunov function	Find one number that must consistently move toward “better/stable” values	Monotonicity along trajectories
M-066	Mathematics	Invariant set	Find a region that, once entered, cannot be escaped under the rules	Dynamics must preserve set
M-067	Mathematics	Reachability	Ask which states can possibly be reached from here using allowed moves	Dynamics + admissible controls
M-068	Mathematics	Controllability	Ask whether suitable inputs can move the system wherever needed	Input-system coupling
M-069	Mathematics	Observability	Ask whether different hidden states can be distinguished from what is visible	Measurement mapping + dynamics
M-070	Mathematics	Identifiability	Ask whether two different internal rules can produce exactly the same observations	Model parameterization
M-071	Mathematics	Transversality	Make two structures cross cleanly rather than merely touch	Generic geometric conditions
M-072	Mathematics	Continuation method	Solve an easy nearby problem and gradually deform it into the hard one while following the solution	Solution branch must remain trackable
M-073	Mathematics	Homotopy	Change one problem continuously into another while tracking what survives	Continuous deformation class
M-074	Mathematics	Degree theory	Count solutions in a way that survives continuous deformation even if individual solutions move	Topological assumptions
M-075	Mathematics	Generating function	Encode an entire sequence as one algebraic object so sequence operations become algebra	Convergence/formal-series structure
M-076	Mathematics	Möbius inversion	If totals over nested groups are known, undo the accumulation to recover individual contributions	Poset/incidence structure
M-077	Mathematics	Inclusion–exclusion	Correct repeated counting by alternating additions and subtractions of overlaps	Set intersections identifiable
M-078	Mathematics	Pigeonhole principle	Too many objects forced into too few boxes means some box must contain several	Finite counting constraints
M-079	Mathematics	Ramsey mechanism	If a structure becomes large enough, some ordered pattern becomes unavoidable	Combinatorial finiteness
M-080	Mathematics	Probabilistic method	Prove something exists by showing a random construction has positive probability of having it	Valid random ensemble
M-081	Mathematics	Minimax	En kötü rakip/doğa ne yaparsa yapsın, en az kötü sonucu seç	Adversarial/worst-case criterion
M-082	Mathematics	Saddle point	Bir yönde yukarı, diğer yönde aşağı gidemediğin karşılıklı denge noktası bul	Convex-concave yapı sıklıkla gerekli
M-083	Mathematics	Separation theorem	İki uygun ayrık kümeyi aralarından geçen bir test/düzlemle ayır	Convexity/topology
M-084	Mathematics	Supporting hyperplane	Bir şekle değen ama içinden geçmeyen doğrusal test bul	Convex set
M-085	Mathematics	Fenchel conjugate	Bir eğriyi noktalarıyla değil, ona değebilecek doğruların fiyatlarıyla tarif et	Convex analysis
M-086	Mathematics	Infimal convolution	İşi iki mekanizma arasında böl; toplam maliyeti en ucuz yapan bölüşümü bul	Extended-real optimization
M-087	Mathematics	Moreau envelope	Keskin/sert bir problemi yakındaki noktaları da hesaba katarak yumuşat	Metric + penalty
M-088	Mathematics	Regularization	Birden çok olası cevaptan daha basit/stable olanı tercih etmek için ekstra bedel koy	Bias introduced deliberately
M-089	Mathematics	Tikhonov regularization	Data-fit ile çözüm büyüklüğü/karmaşıklığı arasında denge kur	Inverse problem
M-090	Mathematics	Total variation	Değerin kendisini değil, toplam ne kadar zıpladığını cezalandır	BV/ordered domain
M-091	Mathematics	Optimal transport	Bir dağılımdaki “malı” diğerine en ucuz taşıma planını bul	Mass conservation + cost geometry
M-092	Mathematics	Wasserstein distance	İki dağılımın farkını, birini diğerine dönüştürmek için gereken taşıma işiyle ölç	Probability measures + ground metric
M-093	Mathematics	Monge map	Her başlangıç parçasına tek bir hedef vererek toplu taşıma yap	Deterministic transport
M-094	Mathematics	Kantorovich relaxation	“Her parçanın tek hedefi olmalı” şartını gevşet; parçalanabilir taşıma planı kullan	Coupling formulation
M-095	Mathematics	Majorization	İki dağılımdan hangisinin daha eşitsiz/yoğunlaşmış olduğunu toplam sıralı parçalarla karşılaştır	Ordered components
M-096	Mathematics	Rearrangement inequality	En büyükleri en büyüklerle eşlemek toplam etkileşimi uç noktaya taşır	Ordered scalar sequences
M-097	Mathematics	Stochastic approximation	Gürültülü küçük düzeltmeleri tekrar tekrar yaparak görünmeyen doğru noktaya yaklaş	Step-size/noise conditions
M-098	Mathematics	Robbins–Monro root finding	Fonksiyonun kendisini temiz göremesen bile noisy işaretlerle sıfır olduğu yeri bul	Unbiased/noisy observations
M-099	Mathematics	Simulated annealing	Başta kötü hamlelere de izin ver; zamanla sistemi soğutup iyi bölgeye kilitle	Cooling schedule
M-100	Mathematics	Alternating projection	İki şartı aynı anda çözmek zor; sırayla birine, sonra diğerine uydurarak ortak noktaya yaklaş	Set geometry/convergence conditions
M-101	Mathematics	Pontryagin maximum principle	Bütün olası yolları deneme; “şu andaki küçük hareket gelecekteki hedefi nasıl değiştirir?” diye geriye doğru bir shadow-price taşı	Optimal control, adjoint dynamics
M-102	Mathematics	Hamilton–Jacobi equation	Her noktaya “buradan hedefe gitmenin en iyi kalan maliyeti”ni yaz; bu değer kendi değişim kuralını sağlar	Dynamic programming/PDE
M-103	Mathematics	Bang-bang control	Ara değerler faydasızsa kontrolü uçlardan birine yapıştır	Linear control entry + bounded actions
M-104	Mathematics	Singular control	Optimal hareket bazen ne tam aç ne tam kapıdır; ordinary first-order rule karar veremez	Degenerate switching condition
M-105	Mathematics	Sliding mode	Sistemi istenen yüzeye zorla, sonra o yüzey boyunca hareket ettir	Discontinuous control
M-106	Mathematics	Differential inclusion	“Tek sonraki hız” yerine izin verilen hızlar kümesi olsun	Set-valued dynamics
M-107	Mathematics	Viability kernel	Hangi başlangıçlardan doğru hareketlerle yasak bölgeye hiç girmeden sonsuza kadar kalabilirim?	Constraints + control
M-108	Mathematics	Reachable tube	Tek bir gelecek değil, zaman boyunca ulaşılabilecek bütün bölgeleri taşı	Set propagation
M-109	Mathematics	Grönwall inequality	Küçük farkın zamanla ne kadar büyüyebileceğine üst sınır koy	Integral/differential bound
M-110	Mathematics	Comparison via supersolution	Zor cevabı bulamıyorsan üstünde kalan kolay bir cevap yap ve gerçek çözümü sıkıştır	Order-preserving PDE/ODE
M-111	Mathematics	Martingale representation	Gelecekteki random payoff’ı yeni gelen sürprizlerin ağırlıklı toplamı gibi yaz	Filtration/completeness conditions
M-112	Mathematics	Optional sampling	“Adil” süreçte, bazı düzgün durma kuralları beklenen değeri bedavaya değiştiremez	Martingale + stopping conditions
M-113	Mathematics	Girsanov transform	Aynı path’lere bak ama probability ağırlıklarını değiştirerek drift’i başka bir şeye çevir	Absolute continuity
M-114	Mathematics	Feynman–Kac	Differential equation çözümünü random yollar üzerindeki beklenen toplam olarak yeniden ifade et	Generator/PDE compatibility
M-115	Mathematics	Large deviations	Çok nadir olayları tek tek simüle etmek yerine “en ucuz nadir yol”un maliyetini hesapla	Asymptotic exponential scaling
M-116	Mathematics	Laplace principle	Büyük ölçekte integral, en iyi/az maliyetli bölge tarafından domine edilir	Exponential asymptotics
M-117	Mathematics	Γ-convergence	Yaklaşık problemlerin minimizer’larının doğru limit probleme gitmesini garanti edecek convergence notion seç	Variational structure
M-118	Mathematics	Young measure	Çok hızlı oscillation tek bir değere yakınsamıyorsa her noktada bir değer dağılımı taşı	Weak limits
M-119	Mathematics	Compensated compactness	İki zayıf yakınsayan şeyin ürünü normalde kaybolabilir; özel differential constraints altında yine limit taşıyabilir	PDE structure
M-120	Mathematics	Concentration compactness	Limit kaçıyorsa bunun üç nedenini ayır: sıkışma, parçalanma, sonsuza kaçış	Variational loss of compactness
M-121	Mathematics	Dynamic programming with state augmentation	Geleceği hesaplamak için geçmişten gerekli olan minimum bilgiyi state’e ekle	Markovization
M-122	Mathematics	Semi-Markov process	Sonraki state sadece “neredeyim?”e değil “burada ne kadar kaldım?”a da bağlı	Duration dependence
M-123	Mathematics	Renewal equation	Bugünkü toplamı, ilk olay ne zaman oldu + ondan sonraki yeniden başlayan problem olarak parçala	Regeneration
M-124	Mathematics	Wiener–Hopf factorization	İki yönlü/random hareket problemini “yukarı giden” ve “aşağı giden” parçalara ayır	Transform/factorization conditions
M-125	Mathematics	Tauberian theorem	Büyük-zaman davranışını doğrudan hesaplamak yerine transform’un küçük-frekans/sınır davranışından çıkar	Regularity assumptions
M-126	Mathematics	Abelian theorem	Bir dizinin uzun-vade davranışını daha düzgün bir transform’a geçir	Summability structure
M-127	Mathematics	Saddle-point asymptotics	Büyük integral/toplamı dominant kritik noktanın yakınında yaklaşık hesapla	Sharp concentration
M-128	Mathematics	Steepest descent	Complex domain’de integrali en hızlı azalan yol boyunca yeniden geçir	Analyticity
M-129	Mathematics	Borel summation	Normal series diverge etse bile onu başka bir transform üzerinden anlamlı bir değere döndür	Resummability
M-130	Mathematics	Padé approximation	Uzun polynomial yerine oran kullanarak poles/singularities’i daha iyi yakala	Rational approximation
M-131	Mathematics	Continued fractions	Karmaşık oran ilişkisini iç içe basit oranlara böl	Convergence structure
M-132	Mathematics	Schur complement	Büyük sistemi çözmeden bir blok değişkenin etkisini diğerlerine göm	Block invertibility
M-133	Mathematics	Elimination	İstemediğin değişkenleri denklemlerden cebirsel olarak yok et	Algebraic solvability
M-134	Mathematics	Resultant	İki denklem ortak çözüm taşıyor mu diye değişkeni explicit çözmeden test et	Polynomial structure
M-135	Mathematics	Gröbner basis	Karmaşık polynomial kısıtlarını aynı çözüm kümesini koruyan daha düzenli kurallara dönüştür	Monomial ordering
M-136	Mathematics	Krylov subspace	Büyük matrix’in tamamını öğrenme; bir vector’e tekrar tekrar uygulandığında açığa çıkan küçük altuzayda çöz	Iterative linear algebra
M-137	Mathematics	Conjugate gradient	Minimuma doğrudan gitmek yerine birbirini bozmayacak özel yönlerde ilerle	SPD quadratic
M-138	Mathematics	Preconditioning	Problemi değiştirmeden coordinate/scale değiştirip çözümü daha kolay hale getir	Equivalent transformed system
M-139	Mathematics	Multigrid	Büyük-dalga hatayı kaba gridde, küçük-dalga hatayı ince gridde düzelt	Scale-separated numerical error
M-140	Mathematics	Domain decomposition	Büyük problemi küçük bölgelerde çöz, sınır mesajlarını iteratif uyumlu hale getir	Locality/interface conditions
M-141	Mathematics	Markov chain coupling	İki random sistemi aynı rastgeleliği paylaşacak şekilde yürüt; ne zaman birleşirlerse sonrası aynı olsun	Common construction
M-142	Mathematics	Coupling inequality	İki distribution ne kadar farklı sorusunu, iki kopyanın ne kadar geç birleştiğiyle bound et	Valid coupling
M-143	Mathematics	Doeblin condition	Her state’in biraz ortak “reset dağılımına” geçme şansı varsa geçmiş hızla unutulur	Uniform minorization
M-144	Mathematics	Mixing time	Başlangıç bilgisinin ne kadar sürede pratikte kaybolduğunu ölç	Ergodic chain
M-145	Mathematics	Spectral gap	En yavaş decay mode ile stationary mode arasındaki ayrımı ölç	Reversible/linear operator setting
M-146	Mathematics	Metastable Markov decomposition	System kısa zamanda kendi bölgesinde karışır ama bölgeler arasında çok yavaş geçer	Timescale separation
M-147	Mathematics	Lumpability	Birkaç state’i tek state sayınca aggregate process yine Markov kalabiliyor mu?	Transition compatibility
M-148	Mathematics	Quasi-stationary distribution	Absorption henüz olmadı şartıyla process uzun süre nasıl görünür?	Absorbing dynamics
M-149	Mathematics	Conditioned process / Doob h-transform	“Şu rare outcome olacak” şartıyla path dynamics nasıl değişirmiş gibi davranır?	Positive harmonic function
M-150	Mathematics	Interacting particle system	Çok sayıda basit local unit sadece komşularına göre değişerek collective dynamics üretir	Local stochastic rules
M-151	Mathematics	Mean-field limit	Çok büyük population’da herkesin tek tek etkisi yerine population average etkisini kullan	Weak symmetric interaction
M-152	Mathematics	Propagation of chaos	Büyük interacting population’da sonlu sayıda parçacık yaklaşık bağımsız hale gelir	Mean-field scaling
M-153	Mathematics	Hydrodynamic limit	Microscopic random motion’u large-scale deterministic density equation’a çevir	Space-time scaling
M-154	Mathematics	Law of large numbers for fields	Çok sayıda küçük random contribution’ın aggregate field’ı deterministic hale gelir	Weak dependence
M-155	Mathematics	Central-limit fluctuation field	Deterministic large-scale limit etrafındaki kalan noise’un ölçeğini ve şeklini çıkar	Second-order scaling
M-156	Mathematics	Large-deviation path principle	Tüm trajectory’ler arasında rare macroscopic davranışın en ucuz path’ini bul	Path-space LDP
M-157	Mathematics	Entropic regularization	Sert transport/optimization problemini küçük entropy bedeliyle yumuşat ve hızlı çöz	Regularized objective
M-158	Mathematics	Sinkhorn iteration	Satır ve sütun toplamlarını sırayla düzelt; her seferinde biri bozulsa da tekrar tekrar dengeye getir	Positive matrix/scaling
M-159	Mathematics	Dykstra algorithm	Birden çok constraint set’e sırayla project et ama önceki projection hatasını memory variable ile düzelt	Convex sets
M-160	Mathematics	Alternating direction method	Büyük problemi parçalara böl; local çözümleri multiplier/consensus sinyaliyle uyumlu hale getir	Separable convex structure
M-161	Mathematics	Ill-posed inverse problem	Sonucu görüp sebebi geri bulmaya çalışıyorsun ama minicik measurement hatası dev sebep farkına dönüşebilir	Inverse operator instability
M-162	Mathematics	Picard condition	Data’nın unstable directions’daki parçaları yeterince hızlı küçülmüyorsa inverse patlar	Compact operator spectrum
M-163	Mathematics	Truncated SVD	En tehlikeli inverse directions’ı tamamen kullanma; yalnız güvenilir singular directions’ı geri çevir	Spectral cutoff
M-164	Mathematics	Spectral filtering	Her direction’a güvenilirliğine göre farklı inverse strength uygula	Operator spectrum known/estimated
M-165	Mathematics	Discrepancy principle	Data noise seviyesinden daha iyi fit etmeye çalışma; o noktada dur	Noise bound
M-166	Mathematics	Iterative regularization	Inverse çözümü iterasyonla yaklaş; fazla iterasyon noise’u öğrenir, erken durmak regularization olur	Early stopping
M-167	Mathematics	Landweber iteration	Residual’ı operator’ın ters yönünden yavaşça geri taşı	Linear inverse problem
M-168	Mathematics	Backward heat problem	Diffusion geçmiş bilgiyi siler; bugünden geçmişi çıkarmak exponentially unstable olur	Smoothing forward dynamics
M-169	Mathematics	Unique continuation	Bir çözümü küçük bir bölgede yeterince biliyorsan bazen başka yerde de zorunlu olarak belirlenir	PDE analyticity/Carleman-type conditions
M-170	Mathematics	Carleman estimate	Gizli bölgedeki solution’ı special exponential weights ile observed bölgeden bound et	PDE geometry
M-171	Mathematics	Tomographic inversion	Bir nesneyi doğrudan görme; farklı açılardan toplam/projection ölç ve içini yeniden kur	Sufficient angular coverage
M-172	Mathematics	Radon transform	Bir field’ı çizgiler/düzlemler üzerindeki toplamlarıyla temsil et	Integral geometry
M-173	Mathematics	Phase retrieval	Büyüklüğü görüyorsun ama phase kayıp; ek structural constraints ile asıl signal’ı geri kur	Nonlinear inverse ambiguity
M-174	Mathematics	Blind deconvolution	Hem blur kernel hem true signal bilinmiyor; ikisini birlikte ayır	Identifiability constraints
M-175	Mathematics	Matrix completion	Büyük tablonun çoğu eksik; düşük-rank structure varsa az entry’den geri kur	Incoherence + low rank
M-176	Mathematics	Robust PCA	Data’yı “low-rank ortak yapı + sparse bozulma” diye ayır	Structural decomposition
M-177	Mathematics	Dictionary learning	Building blocks hazır değil; data’dan hem parçaları hem kombinasyonları öğren	Sparse representation
M-178	Mathematics	Nonnegative matrix factorization	Negative cancellation’a izin vermeden bütünü pozitif parçaların toplamına ayır	Nonnegativity
M-179	Mathematics	Tensor decomposition	Multiway interaction’ı birkaç separable latent component’e ayır	Identifiability/rank assumptions
M-180	Mathematics	Blind source separation	Karışık measurements’dan bağımsız/farklı statistical structure taşıyan kaynakları ayır	Source independence/non-Gaussianity
M-181	Mathematics	Random matrix spectrum	Çok büyük random interaction matrix’inde tek tek entries yerine eigenvalue kalabalığının şeklini incele	Matrix ensemble
M-182	Mathematics	Wigner semicircle law	Çok sayıda random interaction’ın spectrum’u microscopic details unutup predictable global shape’a yaklaşabilir	Independence/scaling
M-183	Mathematics	Marchenko–Pastur law	Dimension sample size’a yakınsa sample covariance eigenvalues noise yüzünden bile geniş bir cloud oluşturur	High-dimensional asymptotics
M-184	Mathematics	Spiked random matrix	Büyük noise cloud’una gerçek low-rank signal ekle; signal yeterince güçlüyse spectrum’dan ayrılır	Signal-strength threshold
M-185	Mathematics	BBP transition	Hidden signal yavaşça güçlense bile detectability belirli eşiğe kadar neredeyse hiç iyileşmeyebilir; sonra eigenvalue cloud’dan çıkar	High-dimensional phase transition
M-186	Mathematics	Resolvent	Matrix’i doğrudan incelemek yerine farklı probe değerlerinde inverse response’una bak	Spectral parameter off spectrum
M-187	Mathematics	Free convolution	Büyük independent-ish noncommuting random systems birleşince spectrum’ların nasıl birleştiğini ayrı algebra ile hesapla	Asymptotic freeness
M-188	Mathematics	Concentration of measure	Çok yüksek boyutta birçok random quantity beklenen değerinin yakınında sıkışabilir	Lipschitz/product-type structure
M-189	Mathematics	Johnson–Lindenstrauss	Çok sayıda noktanın pairwise distances’ını yaklaşık koruyarak çok daha az dimension’a indir	Random projection
M-190	Mathematics	Isoperimetric inequality	Sabit miktarı çevrelemek için bazı shapes minimum boundary kullanır	Geometry
M-191	Mathematics	Persistent homology	Structure’ı tek scale’da seçme; scale değişirken hangi holes/components uzun süre yaşamaya devam ediyor izle	Filtered topology
M-192	Mathematics	Mapper construction	Karmaşık high-dimensional shape’i overlapping local groups + connectivity graph olarak özetle	Cover/filter choices
M-193	Mathematics	Morse theory	Bir function’ın critical points’i değiştikçe underlying space’in topology’sinin nasıl değiştiğini takip et	Smooth manifold/function
M-194	Mathematics	Catastrophe theory	Smooth control change, folded equilibrium geometry yüzünden state’te sudden jump yaratabilir	Low-dimensional potential structure
M-195	Mathematics	Singularity theory	Normal coordinates’ın başarısız olduğu exceptional points’i classify et	Smooth-map equivalence
M-196	Mathematics	Borsuk–Ulam mechanism	Opposite points arasında bazı measurements’ın aynı olmak zorunda olduğu topology-imposed collision vardır	Continuous map sphere→lower dimension
M-197	Mathematics	Brouwer fixed point	Continuous self-map bir bounded convex region’da en az bir şeyi yerinde bırakmak zorunda	Compact convex domain
M-198	Mathematics	Sperner lemma	Local labeling constraints global olarak belirli mixed configuration’ın varlığını zorlar	Simplicial combinatorics
M-199	Mathematics	Helly theorem	Çok sayıda convex constraint’ın global intersection’ını bütün küçük subsets’in intersection’larından çıkar	Finite-dimensional convexity
M-200	Mathematics	Tverberg theorem	Yeterince çok point varsa onları gruplara ayırıp grupların convex hull’larını ortak noktada buluşturabilirsin	Euclidean dimension/count threshold
M-201	Mathematics	Hausdorff measure	“Uzunluk/alan/hacim” fikrini düzgün olmayan/fractal yapılara uygun ölçekte yeniden tanımla	Metric space
M-202	Mathematics	Minkowski dimension	Nesneyi gittikçe küçük kutularla kapla; gereken kutu sayısının ölçekle nasıl arttığına bak	Scale law
M-203	Mathematics	Fractal dimension	“Kaç boyut?” sorusunu integer olmak zorunda olmayan scaling behavior ile cevapla	Self-similar/scaling setting
M-204	Mathematics	Besicovitch covering	Çok sayıda overlapping local neighborhood’dan controlled-overlap altküme seç	Euclidean covering geometry
M-205	Mathematics	Vitali covering	İnce local sets içinden almost-everything’i disjoint-ish şekilde kapsayan seçim yap	Measure structure
M-206	Mathematics	Radon–Nikodym derivative	İki measure aynı olaylara weight veriyorsa birinin diğerine göre local yoğunluğunu tanımla	Absolute continuity
M-207	Mathematics	Lebesgue differentiation	Çok küçük neighborhoods’daki local averages, almost everywhere gerçek değere döner	Integrability
M-208	Mathematics	Coarea formula	Yüksek-boyutlu integral’i level-set slices boyunca parçala	Lipschitz/smooth maps
M-209	Mathematics	Sard theorem	Critical points çok olabilir ama onların output values’ı çoğu durumda “küçük” bir set oluşturur	Smooth maps
M-210	Mathematics	Transfinite recursion	Bir şeyi sadece 1,2,3 diye değil daha genel iyi-sıralı aşamalar boyunca kur	Well-ordering
M-211	Mathematics	Zorn lemma	Her chain’in upper bound’u varsa maximal object varlığını çıkar	Choice-equivalent principle
M-212	Mathematics	Hahn–Banach	Küçük bir altuzayda tanımlı linear test’i normu bozmadan daha büyük space’e uzat	Locally convex/normed structure
M-213	Mathematics	Uniform boundedness	Her input ayrı ayrı bounded görünüyorsa bazı koşullarda operator family’nin ortak bound’u çıkar	Banach-space completeness
M-214	Mathematics	Open mapping theorem	Surjective bounded linear map open sets’i open gönderir; inverse instability’yi sınırlayabilir	Banach spaces
M-215	Mathematics	Closed graph theorem	Bir operator’ın input-output graph’i kapalıysa, bazı koşullarda operator otomatik continuous olur	Banach spaces
M-216	Mathematics	Fredholm alternative	Linear equation ya çözülür, ya da çözülmemesinin nedeni dual nullspace’de explicit obstruction’dır	Fredholm operator
M-217	Mathematics	Compact operator	Bounded input kalabalığını output’ta daha sıkışık hale getiren operator	Functional analysis
M-218	Mathematics	Krein–Rutman theorem	Positive operator’da dominant eigenstructure pozitif olabilir	Cone/compactness positivity
M-219	Mathematics	Monotone operator	Input farkı ile output farkı “aynı yöne” davranır; inversion daha stable hale gelir	Ordered Hilbert/Banach setting
M-220	Mathematics	Maximal monotone operator	Daha fazla compatible input-output pair eklenemeyen tam monotone relation	Convex/operator theory
M-221	Mathematics	Shannon entropy	Bir sonucu görmeden önce kaç farklı şekilde yanılabileceğini tek sayıyla ölç	Probability distribution
M-222	Mathematics	Relative entropy / KL	İki probability world birbirinden ne kadar ayırt edilebilir?	Absolute continuity
M-223	Mathematics	Mutual information	Bir şeyi bilmek diğerindeki belirsizliği ne kadar azaltıyor?	Joint distribution
M-224	Mathematics	Data-processing inequality	Bilgiyi işledikten sonra, kaynakta olmayan yeni bilgi yaratamazsın	Markov information chain
M-225	Mathematics	Sufficient channel	Raw data’yı küçült ama target hakkında taşıdığı bilgiyi kaybetme	Target-dependent sufficiency
M-226	Mathematics	Rate–distortion	Her ayrıntıyı saklayamıyorsan, belirli hata toleransıyla minimum kaç bit gerekir?	Distortion metric
M-227	Mathematics	Maximum entropy	Bildiğin constraints dışında fazladan hikâye uydurma; en az committed distribution’ı seç	Moment/support constraints
