rank	supplier_id	consumer_id	score	curated	active_for_build	adjudication_state	interface_matches	addressed_weaknesses	shared_domains	recommended_next	curated_rationale	decision_id	experiment_routing_status
11	FOUNDRY:P079	PARENT:IM406_IM037_ACRA	42.0	False	True	UNADJUDICATED	boundary,evidence,gate	calibration,decision,uncertainty	calibration,confounding,decision,measurement,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
12	FOUNDRY:P079	LCB-K012	40.0	False	True	UNADJUDICATED	boundary,evidence,gate	calibration,decision,uncertainty	calibration,confounding,decision,measurement,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
13	PARENT:IM334_IM094_DRE	FOUNDRY:P138	39.0	False	True	UNADJUDICATED	boundary,evidence,gate	decision,uncertainty	allocation,calibration,confounding,control,decision,measurement,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
14	PARENT:IM334_IM094_DRE	PARENT:IM359_IM014_AICC	39.0	False	True	UNADJUDICATED	boundary,evidence,gate	decision,uncertainty	allocation,calibration,confounding,control,decision,measurement,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
15	PARENT:IM334_IM094_DRE	PARENT:IM406_IM037_ACRA	39.0	False	True	UNADJUDICATED	boundary,evidence,gate	decision,uncertainty	allocation,calibration,confounding,decision,measurement,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
16	FOUNDRY:P091	PARENT:IM334_IM094_DRE	38.0	False	True	UNADJUDICATED	boundary,gate,representation	calibration,decision	allocation,boundary,calibration,decision,support,transfer,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
17	FOUNDRY:P091	PARENT:IM359_IM014_AICC	38.0	False	True	UNADJUDICATED	boundary,gate,representation	calibration,decision	allocation,calibration,decision,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
18	FOUNDRY:P091	PARENT:IM406_IM037_ACRA	38.0	False	True	UNADJUDICATED	boundary,gate,representation	calibration,decision	allocation,calibration,decision,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
19	PARENT:IM334_IM094_DRE	FOUNDRY:P057	38.0	False	True	UNADJUDICATED	boundary,evidence,gate	decision,uncertainty	allocation,calibration,confounding,control,decision,measurement,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
20	FOUNDRY:P079	LCB-K003	37.0	False	True	UNADJUDICATED	boundary,evidence,gate	calibration,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
21	FOUNDRY:P079	LCB-K010	37.0	False	True	UNADJUDICATED	boundary,evidence,gate	calibration,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
22	FOUNDRY:P079	LCB-K015	37.0	False	True	UNADJUDICATED	boundary,evidence,gate	calibration,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
23	FOUNDRY:P079	LCB-K035	37.0	False	True	UNADJUDICATED	boundary,evidence,gate	calibration,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
24	FOUNDRY:P079	LCB-K048	37.0	False	True	UNADJUDICATED	boundary,evidence,gate	calibration,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
25	FOUNDRY:P079	LCB-K049	37.0	False	True	UNADJUDICATED	boundary,evidence,gate	calibration,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
26	FOUNDRY:P079	LCB-K055	37.0	False	True	UNADJUDICATED	boundary,evidence,gate	calibration,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
27	FOUNDRY:P079	LCB-K056	37.0	False	True	UNADJUDICATED	boundary,evidence,gate	calibration,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
28	FOUNDRY:P079	LCB-K068	37.0	False	True	UNADJUDICATED	boundary,evidence,gate	calibration,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
29	FOUNDRY:P079	LCB-K086	37.0	False	True	UNADJUDICATED	boundary,evidence,gate	calibration,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
30	FOUNDRY:P079	LCB-K090	37.0	False	True	UNADJUDICATED	boundary,evidence,gate	calibration,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
31	FOUNDRY:P079	LCB-K091	37.0	False	True	UNADJUDICATED	boundary,evidence,gate	calibration,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
32	FOUNDRY:P079	PARENT:R014_S781_S792_ACSA	37.0	False	True	UNADJUDICATED	boundary,evidence,gate	calibration,uncertainty	calibration,transfer,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
33	FOUNDRY:P079	PARENT:R018_M866_M880_MCSC	37.0	False	True	UNADJUDICATED	boundary,evidence,gate	calibration,uncertainty	boundary,calibration,transfer,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
34	FOUNDRY:P079	PARENT:R041_CONSTRAINED_POLICY_CAPL	37.0	False	True	UNADJUDICATED	boundary,evidence,gate	calibration,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
35	FOUNDRY:P079	PARENT:R044_DECISION_LOSS_DLEW	37.0	False	True	UNADJUDICATED	boundary,evidence,gate	calibration,uncertainty	calibration,decision,transfer,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
36	PARENT:IM334_IM094_DRE	FOUNDRY:P035	37.0	False	True	UNADJUDICATED	boundary,evidence,gate	decision,uncertainty	allocation,calibration,decision,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
37	PARENT:IM334_IM094_DRE	LCB-K012	37.0	False	True	UNADJUDICATED	boundary,evidence,gate	decision,uncertainty	allocation,calibration,confounding,control,decision,measurement,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
38	FOUNDRY:P079	LCB-R50-149	36.0	False	True	UNADJUDICATED	boundary,evidence,gate	calibration,decision,uncertainty	boundary,calibration,decision,transfer,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
39	FOUNDRY:P079	PARENT:IM340_IM280_CWC	36.0	False	True	UNADJUDICATED	boundary,evidence,gate	calibration,uncertainty	calibration,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
40	FOUNDRY:P079	PARENT:R008_E612_E613_LGID	36.0	False	True	UNADJUDICATED	boundary,evidence,gate	calibration,uncertainty	calibration,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
41	FOUNDRY:P091	LCB-K012	36.0	False	True	UNADJUDICATED	boundary,gate,representation	calibration,decision	allocation,calibration,decision,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
42	PARENT:R037_SUPPORT_COVARIANCE_SACPS	FOUNDRY:P138	36.0	False	True	UNADJUDICATED	gate	decision,support,uncertainty	calibration,decision,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
43	PARENT:R037_SUPPORT_COVARIANCE_SACPS	PARENT:IM334_IM094_DRE	36.0	False	True	UNADJUDICATED	gate	decision,support,uncertainty	calibration,decision,support,transfer,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
44	PARENT:R037_SUPPORT_COVARIANCE_SACPS	PARENT:IM359_IM014_AICC	36.0	False	True	UNADJUDICATED	gate	decision,support,uncertainty	calibration,decision,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
45	PARENT:R037_SUPPORT_COVARIANCE_SACPS	PARENT:IM406_IM037_ACRA	36.0	False	True	UNADJUDICATED	gate	decision,support,uncertainty	calibration,decision,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
46	FOUNDRY:P079	LCB-K081	35.0	False	True	UNADJUDICATED	boundary,evidence,gate	calibration,uncertainty	calibration,transfer,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
47	FOUNDRY:P109	PARENT:IM334_IM094_DRE	35.0	False	True	UNADJUDICATED	evidence,gate	calibration,decision,uncertainty	calibration,confounding,decision,measurement,transfer,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
48	FOUNDRY:P109	PARENT:IM359_IM014_AICC	35.0	False	True	UNADJUDICATED	evidence,gate	calibration,decision,uncertainty	calibration,confounding,decision,measurement,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
49	FOUNDRY:P109	PARENT:IM406_IM037_ACRA	35.0	False	True	UNADJUDICATED	evidence,gate	calibration,decision,uncertainty	calibration,confounding,decision,measurement,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
50	PARENT:R037_SUPPORT_COVARIANCE_SACPS	FOUNDRY:P057	35.0	False	True	UNADJUDICATED	gate	decision,support,uncertainty	calibration,decision,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
51	FOUNDRY:P062	PARENT:IM334_IM094_DRE	34.0	False	True	UNADJUDICATED	boundary,gate	calibration,decision	boundary,calibration,decision,transfer	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
52	FOUNDRY:P065	PARENT:IM334_IM094_DRE	34.0	False	True	UNADJUDICATED	boundary,gate	calibration,support	boundary,calibration,support,transfer	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
53	FOUNDRY:P065	PARENT:R014_S781_S792_ACSA	34.0	False	True	UNADJUDICATED	boundary,gate	calibration,support	calibration,support,transfer	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
54	FOUNDRY:P065	PARENT:R018_M866_M880_MCSC	34.0	False	True	UNADJUDICATED	boundary,gate	calibration,support	boundary,calibration,support,transfer	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
55	FOUNDRY:P065	PARENT:R044_DECISION_LOSS_DLEW	34.0	False	True	UNADJUDICATED	boundary,gate	calibration,support	calibration,support,transfer	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
56	FOUNDRY:P079	PARENT:IM178_IM326_TWMR	34.0	False	True	UNADJUDICATED	evidence	calibration,decision,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
57	FOUNDRY:P079	PARENT:R020_P848_P851_SCCRT	34.0	False	True	UNADJUDICATED	evidence	calibration,decision,uncertainty	calibration,decision,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
58	FOUNDRY:P092	PARENT:IM334_IM094_DRE	34.0	False	True	UNADJUDICATED	boundary,gate	calibration,decision	boundary,calibration,decision,transfer	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
59	FOUNDRY:P093	PARENT:IM334_IM094_DRE	34.0	False	True	UNADJUDICATED	boundary,gate	calibration,decision	boundary,calibration,decision,transfer	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
60	FOUNDRY:P140	LCB-K003	34.0	False	True	UNADJUDICATED	gate,representation	calibration,support	calibration,decision,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
61	FOUNDRY:P140	LCB-K010	34.0	False	True	UNADJUDICATED	gate,representation	calibration,support	calibration,decision,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
62	FOUNDRY:P140	LCB-K015	34.0	False	True	UNADJUDICATED	gate,representation	calibration,support	calibration,decision,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
63	FOUNDRY:P140	LCB-K035	34.0	False	True	UNADJUDICATED	gate,representation	calibration,support	calibration,decision,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
64	FOUNDRY:P140	LCB-K048	34.0	False	True	UNADJUDICATED	gate,representation	calibration,support	calibration,decision,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
65	FOUNDRY:P140	LCB-K049	34.0	False	True	UNADJUDICATED	gate,representation	calibration,support	calibration,decision,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
66	FOUNDRY:P140	LCB-K055	34.0	False	True	UNADJUDICATED	gate,representation	calibration,support	calibration,decision,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
67	FOUNDRY:P140	LCB-K056	34.0	False	True	UNADJUDICATED	gate,representation	calibration,support	calibration,decision,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
68	FOUNDRY:P140	LCB-K068	34.0	False	True	UNADJUDICATED	gate,representation	calibration,support	calibration,decision,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
69	FOUNDRY:P140	LCB-K086	34.0	False	True	UNADJUDICATED	gate,representation	calibration,support	calibration,decision,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
70	FOUNDRY:P140	LCB-K090	34.0	False	True	UNADJUDICATED	gate,representation	calibration,support	calibration,decision,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
71	FOUNDRY:P140	LCB-K091	34.0	False	True	UNADJUDICATED	gate,representation	calibration,support	calibration,decision,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
72	FOUNDRY:P140	PARENT:IM334_IM094_DRE	34.0	False	True	UNADJUDICATED	gate,representation	calibration,support	calibration,decision,support,transfer	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
73	FOUNDRY:P140	PARENT:IM359_IM014_AICC	34.0	False	True	UNADJUDICATED	gate,representation	calibration,support	calibration,decision,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
74	FOUNDRY:P140	PARENT:IM406_IM037_ACRA	34.0	False	True	UNADJUDICATED	gate,representation	calibration,support	calibration,decision,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
75	FOUNDRY:P140	PARENT:R014_S781_S792_ACSA	34.0	False	True	UNADJUDICATED	gate,representation	calibration,support	audit,calibration,support,transfer	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
76	FOUNDRY:P140	PARENT:R018_M866_M880_MCSC	34.0	False	True	UNADJUDICATED	gate,representation	calibration,support	audit,calibration,selection,support,transfer	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
77	FOUNDRY:P140	PARENT:R041_CONSTRAINED_POLICY_CAPL	34.0	False	True	UNADJUDICATED	gate,representation	calibration,support	calibration,decision,support	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
78	FOUNDRY:P140	PARENT:R044_DECISION_LOSS_DLEW	34.0	False	True	UNADJUDICATED	gate,representation	calibration,support	audit,calibration,decision,selection,support,transfer	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
79	PARENT:IM334_IM094_DRE	FOUNDRY:P137	34.0	False	True	UNADJUDICATED	boundary,evidence,gate	uncertainty	allocation,calibration,control,support,transfer,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			BOOTSTRAP_CHANNEL_CALIBRATED_SCIENTIFIC_CONTRACT_STILL_REQUIRED
80	PARENT:IM334_IM094_DRE	LCB-K003	34.0	False	True	UNADJUDICATED	boundary,evidence,gate	uncertainty	allocation,calibration,decision,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
81	PARENT:IM334_IM094_DRE	LCB-K010	34.0	False	True	UNADJUDICATED	boundary,evidence,gate	uncertainty	allocation,calibration,control,decision,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
82	PARENT:IM334_IM094_DRE	LCB-K015	34.0	False	True	UNADJUDICATED	boundary,evidence,gate	uncertainty	allocation,calibration,decision,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
83	PARENT:IM334_IM094_DRE	LCB-K035	34.0	False	True	UNADJUDICATED	boundary,evidence,gate	uncertainty	allocation,calibration,decision,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
84	PARENT:IM334_IM094_DRE	LCB-K048	34.0	False	True	UNADJUDICATED	boundary,evidence,gate	uncertainty	allocation,calibration,control,decision,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
85	PARENT:IM334_IM094_DRE	LCB-K049	34.0	False	True	UNADJUDICATED	boundary,evidence,gate	uncertainty	allocation,calibration,decision,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
86	PARENT:IM334_IM094_DRE	LCB-K055	34.0	False	True	UNADJUDICATED	boundary,evidence,gate	uncertainty	allocation,calibration,decision,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
87	PARENT:IM334_IM094_DRE	LCB-K056	34.0	False	True	UNADJUDICATED	boundary,evidence,gate	uncertainty	allocation,calibration,control,decision,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
88	PARENT:IM334_IM094_DRE	LCB-K068	34.0	False	True	UNADJUDICATED	boundary,evidence,gate	uncertainty	allocation,calibration,decision,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
89	PARENT:IM334_IM094_DRE	LCB-K086	34.0	False	True	UNADJUDICATED	boundary,evidence,gate	uncertainty	allocation,calibration,control,decision,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
90	PARENT:IM334_IM094_DRE	LCB-K090	34.0	False	True	UNADJUDICATED	boundary,evidence,gate	uncertainty	allocation,calibration,decision,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
91	PARENT:IM334_IM094_DRE	LCB-K091	34.0	False	True	UNADJUDICATED	boundary,evidence,gate	uncertainty	allocation,calibration,decision,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
92	PARENT:IM334_IM094_DRE	PARENT:IM340_IM280_CWC	34.0	False	True	UNADJUDICATED	boundary,evidence,gate	uncertainty	allocation,calibration,control,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
93	PARENT:IM334_IM094_DRE	PARENT:R008_E612_E613_LGID	34.0	False	True	UNADJUDICATED	boundary,evidence,gate	uncertainty	allocation,calibration,control,support,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
94	PARENT:IM334_IM094_DRE	PARENT:R014_S781_S792_ACSA	34.0	False	True	UNADJUDICATED	boundary,evidence,gate	uncertainty	allocation,calibration,control,support,transfer,uncertainty	ADAPTER_AND_CONTRASTIVE_BOUNDARY_BENCHMARK			NOT_READY_MISSING_DECLARED_CONTRACT
