product_id	short_name	canonical_status	family_status	supplier_id	consumer_id	domains	test_methods	source_lines	public_api	third_party_dependencies	readme_summary
V2P024	HPDRE	CANONICAL	FAMILY_VARIANT_OR_QUARANTINED	FOUNDRY:P071	PARENT:IM334_IM094_DRE	decision,robustness	6	32	Result,hidden_population_explore,to_dict		HPDT hidden-population tipping bounds are compared with the current action margin. DRE requests hidden-population exploration whenever the unseen-mass effect can overturn the nominal decision.
V2P025	DRFIAC	CANONICAL	FAMILY_VARIANT_OR_QUARANTINED	PARENT:IM334_IM094_DRE	FOUNDRY:P057	measurement,decision	6	32	Result,decision_relevant_firewall,to_dict		DRE prioritization is applied only after FIAC removes suspect-source channels. The product selects the clean channel with the highest decision-relevant value rather than allowing a contaminated high-information channel to win.
V2P026	DRSVCO	CANONICAL	FAMILY_VARIANT_OR_QUARANTINED	PARENT:IM334_IM094_DRE	FOUNDRY:P035	robustness,systems	6	36	Result,decision_relevant_cycle_explore,to_dict		DRE allocates the next stateful-cycle evaluation to the operating point whose uncertainty can most plausibly change the feasible SVCO winner, instead of evaluating the statically highest-throughput point by default.
V2P027	DRMPHA	CANONICAL	FAMILY_VARIANT_OR_QUARANTINED	PARENT:IM334_IM094_DRE	FOUNDRY:P137	decision,robustness	6	34	Result,decision_relevant_holdout_audit,to_dict		DRE orders which policy variants deserve protected audit using development-side uncertainty and leverage only. The protected holdout remains sealed during prioritization; selection is then evaluated only after the audit order is frozen.
V2P028	SCFIAC	CANONICAL	DISTINCT_FAMILY	PARENT:R037_SUPPORT_COVARIANCE_SACPS	FOUNDRY:P057	measurement,safety	6	34	Result,support_constrained_firewall,to_dict		SACPS support validity is applied before FIAC information ranking. Channels that are clean but unsupported are removed alongside suspect channels, preventing a high nominal information score from escaping either safety boundary.
V2P029	SUSCA	CANONICAL	DISTINCT_FAMILY	FOUNDRY:P140	LCB-K003	allocation	8	74	Item,Result,realized,support_adjusted_shared_capacity,to_dict		BOSA-style effective support is not treated as a report attached after allocation. It changes the value ordering that enters a shared-capacity polymatroid allocation and can hard-exclude survivor cohorts below a declared support floor. The composition therefore prevents a nominally valuable but selection-fragile item from consuming capacity shared with better-supported items.
V2P030	PCFDLW	CANONICAL	DISTINCT_FAMILY	FOUNDRY:P141	PARENT:R044_DECISION_LOSS_DLEW	decision,compression,systems	9	72	Result,closure_fidelity_decision_selection,to_dict	numpy	DLEW can correctly optimize downstream action regret and still choose a recursively invalid compressed representation. PCFDLW therefore requires P141-style closure and predictive-fidelity certification before a candidate is allowed into the decision-loss comparison. If no candidate survives, it abstains rather than laundering an invalid state representation through a good current-period decision score.
V2P031	QDRA	CANONICAL	DISTINCT_FAMILY	FOUNDRY:P136	PARENT:IM406_IM037_ACRA	allocation,measurement,decision,robustness	8	68	Result,ValidityRegion,quasineutral_decision_resolution,to_dict		QAIG's validity-boundary idea is lifted from a single acquire/skip decision into a shared resolution budget. ACRA receives consequence weights discounted by the probability that measurement uncertainty can actually change the declared validity decision. A far-from-boundary region therefore cannot monopolize fine resolution merely because its raw consequence number is large.
V2P032	SPITWMR	CANONICAL	DISTINCT_FAMILY	FOUNDRY:P138	PARENT:IM178_IM326_TWMR	decision,robustness,compression,systems	8	56	Result,search_policy_targeted_reduction,to_dict	numpy	SPIA says which latent directions can change the search policy. SPITWMR converts that policy sensitivity into TWMR's protected output, then removes state dimensions while minimizing error in the policy-relevant impulse response. This can retain a low-energy but decision-critical state that ordinary state-energy reduction deletes.
V2P033	VCMF	CANONICAL	DISTINCT_FAMILY	PARENT:IM139_IM250_CCVC	LCB-K048	allocation,measurement,safety,systems	9	65	Result,to_dict,viability_constrained_multifidelity		A cheap channel can be highly correlated and still be unsafe when its bounded bias can push the inferred state across a viable-set boundary. VCMF enumerates fine/cheap measurement counts under budget, minimizes declared estimator MSE, and adds a CCVC-style hard constraint: worst-case cheap-channel bias must fit inside the current viability margin.
V2P034	SCOPG	CANONICAL	DISTINCT_FAMILY	PARENT:R037_SUPPORT_COVARIANCE_SACPS	LCB-K081	measurement,decision,systems	8	52	Result,support_constrained_policy_backaction,to_dict	numpy	K081 removes passive-state confounding before estimating measurement-policy backaction, but the regression can still be numerically identified by a handful of effectively weighted observations. SCOPG adds SACPS-style support geometry: effective sample size and the weighted design covariance must both be adequate before the policy coefficient is emitted.
V2P035	ISTAICC	CANONICAL	DISTINCT_FAMILY	LCB-K074	PARENT:IM359_IM014_AICC	measurement,decision	8	78	Channel,Result,F,tipping_aware_information_acquisition,to_dict		Ordinary information acquisition is myopic: channel value is immediate decision improvement minus cost. When acquisition friction and participation reinforce one another, a small measurement can move the system between low- and high-search equilibria. ISTAICC therefore adds the continuation value of the reachable participation equilibrium to the AICC-style channel score.
V2P036	PCFMCSC	CANONICAL	DISTINCT_FAMILY	FOUNDRY:P141	PARENT:R018_M866_M880_MCSC	robustness,safety,compression,calibration,systems,finance	8	46	Result,closure_fidelity_monotonicity,to_dict		PCFT maps where predictive-state merging fails, but a single nearest tipping point can hide recovery or reversal farther along the tolerance path. PCFMCSC treats the PCFT joint margin as an ordered payoff table and checks the structural direction explicitly. It returns the first monotonicity violation and all safe tolerance intervals rather than assuming one threshold separates good from bad compression.
V2P037	DWPCFT	CANONICAL	DISTINCT_FAMILY	LCB-K084	FOUNDRY:P141	allocation,robustness,compression,calibration	8	53	Point,Result,decision_weighted_pcft_calibration,to_dict		PCFT can identify a merge-tolerance boundary while still spending calibration samples uniformly across harmless and consequential parts of that boundary. DWPCFT allocates a finite calibration budget by downstream consequence and inverse distance to the closure/fidelity boundary, using the diminishing marginal reduction of an explicit inverse-square-root uncertainty proxy.
V2P038	BOSARO	CANONICAL	DISTINCT_FAMILY	FOUNDRY:P140	LCB-K068	robustness	8	57	Result,support_aware_robust_optimizer,to_dict	numpy	A declared shift radius is too optimistic when the cohort supporting the estimate has eroded. BOSARO converts BOSA effective support into the radius of K068's admissible directional uncertainty set: radius grows as inverse square root of effective support. The robust optimizer then reduces exposure to the fragile shift direction rather than merely reporting that support is weak.
V2P039	SCCATF	CANONICAL	DISTINCT_FAMILY	PARENT:R037_SUPPORT_COVARIANCE_SACPS	FOUNDRY:P033	decision	8	72	local_loss,support_covariance_coupled_allocation	numpy	
V2P040	BMCAPL	CANONICAL	DISTINCT_FAMILY	FOUNDRY:P093	PARENT:R041_CONSTRAINED_POLICY_CAPL	decision	8	59	belief_margin_constrained_policy,tipping_distance	numpy	
V2P041	CDTDLEW	CANONICAL	DISTINCT_FAMILY	FOUNDRY:P082	PARENT:R044_DECISION_LOSS_DLEW	decision	8	64	channel_tipping_robust_selection,dominance_tipping	numpy	
V2P042	ATSCWC	CANONICAL	DISTINCT_FAMILY	LCB-K041	PARENT:IM340_IM280_CWC	allocation,measurement,decision,safety,calibration,systems	8	87	compare_active_vs_fixed	numpy	
V2P043	CBSCG	CANONICAL	DISTINCT_FAMILY	FOUNDRY:P079	LCB-K064	measurement,decision,systems	8	81	boundary_information_capacity_choice,costs	numpy	
V2P044	PIPEG	CANONICAL	FAMILY_VARIANT_OR_QUARANTINED	PARENT:R001_C313_BPISD	LCB-K065	measurement,decision,systems	8	77	producer_incentive_aware_persuasion	numpy	
V2P045	FPTWC	CANONICAL	FAMILY_VARIANT_OR_QUARANTINED	FOUNDRY:P030	LCB-K086	allocation,robustness,memory,systems	8	59	run,tipping_aware_testing_wealth		
V2P046	MTCWC	CANONICAL	DISTINCT_FAMILY	FOUNDRY:P037	PARENT:IM340_IM280_CWC	robustness,calibration,systems	8	70	compare,tipping_reset_calibration,violation	numpy,scipy	
V2P048	CBIACCVC	CANONICAL	FAMILY_VARIANT_OR_QUARANTINED	FOUNDRY:P079	PARENT:IM139_IM250_CCVC	measurement,decision,safety,systems	8	68	filtered,next_state,safety_boundary_information_choice,violation	numpy	
V2P049	SACAPL	CANONICAL	DISTINCT_FAMILY	PARENT:R037_SUPPORT_COVARIANCE_SACPS	PARENT:R041_CONSTRAINED_POLICY_CAPL	allocation,decision,finance	10	515	CovariancePolicyMetrics,support_covariance_aware_policy,to_dict	numpy	R037 SACPS is composed directly with R041 CAPL. CAPL's constrained linear-softmax action map and turnover/cap feasibility rules are retained, while SACPS covariance replaces the unstructured sample covariance inside the policy risk objective.
V2P050	SCIG	CANONICAL	DISTINCT_FAMILY	PARENT:R037_SUPPORT_COVARIANCE_SACPS	PARENT:IM445_IM085_CSID	allocation,measurement,safety,compression,calibration,finance	13	313	find,load,support_covariance_independence_guard,union	numpy	SCIG composes R037 SACPS with CSID's safeguard portfolio engine. CSID already prevents same-label evidence families from being multiplied as if independent. SCIG targets the remaining failure: differently named evidence channels can still be common-mode. A support-aware covariance estimate can merge those channels into the same dependence component before CSID evaluates coverage and chooses a portfolio.
V2P051	SACDLW	CANONICAL	DISTINCT_FAMILY	PARENT:R037_SUPPORT_COVARIANCE_SACPS	PARENT:R044_DECISION_LOSS_DLEW	decision,systems	12	356	RiskDecisionMetrics,support_covariance_decision_loss_workbench,to_dict	numpy	R037 SACPS composes with R044 DLEW by placing support-aware covariance directly inside DLEW's finite-action utility before action argmax and model-selection regret are computed. The removal control holds the DLEW shell fixed and restores raw sample covariance.
V2P052	REICAPL	CANONICAL	DISTINCT_FAMILY	FOUNDRY:P028	PARENT:R041_CONSTRAINED_POLICY_CAPL	decision	12	468	HeterogeneousCapAudit,REICAPLResult,learn_relational_evidence_constrained_policy,to_dict	numpy	Candidate composition: `FOUNDRY:P028 REIS -> PARENT:R041 CAPL`.
V2P053	SWCAPL	CANONICAL	DISTINCT_FAMILY	FOUNDRY:P090	PARENT:R041_CONSTRAINED_POLICY_CAPL	decision	12	363	SWCAPLResult,WeightedPolicyMetrics,evaluate,learn_support_weighted_policy,to_dict	numpy	Composition: `P090 SWDL -> R041 CAPL`.
V2P054	CADSBC	CANONICAL	DISTINCT_FAMILY	PARENT:IM406_IM037_ACRA	PARENT:R039_DECISION_BELIEF_DSBC	allocation,decision,compression,systems	13	117	Allocation,candidate,consequence_adaptive_modes,evaluate,removal_control,to_dict	numpy	Consequence allocates a fixed representation budget before DSBC-style compression. The removal control spends the same budget in a consequence-blind deterministic order. Minimum and maximum budgets collapse exactly; wrong consequence ranking remains an explicit failure region.
V2P055	DLSAICC	CANONICAL	DISTINCT_FAMILY	PARENT:R044_DECISION_LOSS_DLEW	PARENT:IM359_IM014_AICC	measurement,decision,systems	13	96	ChannelDecision,Model,aicc_value,candidate,removal_control,to_dict	numpy	DLEW selects a predictive model by downstream decision regret; that model's declared Gaussian error geometry enters AICC channel valuation. The removal control selects by prediction RMSE. Free measurement, prohibitive cost and agreeing rankings expose collapse regions.
V2P056	SACRDSBC	CANONICAL	DISTINCT_FAMILY	PARENT:R037_SUPPORT_COVARIANCE_SACPS	PARENT:R039_DECISION_BELIEF_DSBC	decision,robustness,safety,compression,systems	14	126	MergeDecision,nominal_control,robust_merge,support_covariance,to_dict	numpy	Coordinate-aligned estimation errors are converted to a support-aware covariance. Directional uncertainty stress then enters DSBC merge admissibility. Zero covariance collapses to nominal DSBC; uncertifiable singleton states fail closed.
V2P057	REOC	CANONICAL	DISTINCT_FAMILY	FOUNDRY:P017	LCB-K090	measurement,safety,calibration,systems	15	113	SensorSelection,actual_task_score,removal_control,select,to_dict	numpy	Explicit record-to-hidden-state alignment turns RECS posterior×consequence values into column weights before the existing rank/conditioning coverage planner selects sensors. Uniform risk collapses to the control; miscalibrated declared risk can hurt actual task coverage.
V2P058	SACATRC	CANONICAL	DISTINCT_FAMILY	PARENT:R037_SUPPORT_COVARIANCE_SACPS	PARENT:R045_TARGET_MEMORY_ATRC	safety,memory,systems	14	212	EvictionDecision,choose_eviction,downstream_gain,to_dict	numpy	ATRC first defines the only deletions that are admissible under target-loss tolerance. SACPS-style supported covariance then ranks redundancy strictly inside that safe set. The removal control is plain ATRC minimum deletion loss.
