supplier	consumer	shared_tags	supplier_strength	consumer_gap
P003	P007	selection	feasibility-gated selection	declared score
P003	P008	selection	feasibility-gated selection	declared score
P003	P012	selection	feasibility-gated selection	declared score
P003	P013	selection	feasibility-gated selection	declared score
P003	P014	selection	feasibility-gated selection	declared score
P003	P015	selection	feasibility-gated selection	declared score
P003	P016	selection	feasibility-gated selection	declared score
P003	P017	selection	feasibility-gated selection	declared score
P003	P019	selection	feasibility-gated selection	declared score
P003	P028	selection	feasibility-gated selection	declared score
P003	P034	selection	feasibility-gated selection	declared score
P003	P035	selection	feasibility-gated selection	declared score
P003	P038	selection	feasibility-gated selection	declared score
P003	P039	selection	feasibility-gated selection	declared score
P003	P061	selection	feasibility-gated selection	declared score
P003	P067	selection	feasibility-gated selection	declared score
P003	P068	selection	feasibility-gated selection	declared score
P003	P077	selection	feasibility-gated selection	declared score
P003	P100	selection	feasibility-gated selection	declared score
P003	P101	selection	feasibility-gated selection	declared score
P003	P102	selection	feasibility-gated selection	declared score
P003	P103	selection	feasibility-gated selection	declared score
P003	P104	selection	feasibility-gated selection	declared score
P003	P105	selection	feasibility-gated selection	declared score
P003	P116	selection	feasibility-gated selection	declared score
P003	P118	selection	feasibility-gated selection	declared score
P003	P120	selection	feasibility-gated selection	declared score
P003	P121	selection	feasibility-gated selection	declared score
P003	P124	selection	feasibility-gated selection	declared score
P003	P127	selection	feasibility-gated selection	declared score
P003	P128	selection	feasibility-gated selection	declared score
P003	P129	selection	feasibility-gated selection	declared score
P003	P130	selection	feasibility-gated selection	declared score
P003	P132	selection	feasibility-gated selection	declared score
P003	P133	selection	feasibility-gated selection	declared score
P003	P134	selection	feasibility-gated selection	declared score
P003	P139	selection	feasibility-gated selection	declared score
P004	P001	selection	feasibility-gated selection	declared score
P004	P002	selection	feasibility-gated selection	declared score
P004	P003	selection	feasibility-gated selection	declared score
P004	P005	selection	feasibility-gated selection	declared score
P004	P006	selection	feasibility-gated selection	declared score
P004	P007	selection	feasibility-gated selection	declared score
P004	P008	selection	feasibility-gated selection	declared score
P004	P012	selection	feasibility-gated selection	declared score
P004	P013	selection	feasibility-gated selection	declared score
P004	P014	selection	feasibility-gated selection	declared score
P004	P015	selection	feasibility-gated selection	declared score
P004	P016	selection	feasibility-gated selection	declared score
P004	P017	selection	feasibility-gated selection	declared score
P004	P019	selection	feasibility-gated selection	declared score
P004	P028	selection	feasibility-gated selection	declared score
P004	P034	selection	feasibility-gated selection	declared score
P004	P035	selection	feasibility-gated selection	declared score
P004	P038	selection	feasibility-gated selection	declared score
P004	P039	selection	feasibility-gated selection	declared score
P004	P061	selection	feasibility-gated selection	declared score
P004	P067	selection	feasibility-gated selection	declared score
P004	P068	selection	feasibility-gated selection	declared score
P004	P077	selection	feasibility-gated selection	declared score
P004	P100	selection	feasibility-gated selection	declared score
P004	P101	selection	feasibility-gated selection	declared score
P004	P102	selection	feasibility-gated selection	declared score
P004	P103	selection	feasibility-gated selection	declared score
P004	P104	selection	feasibility-gated selection	declared score
P004	P105	selection	feasibility-gated selection	declared score
P004	P116	selection	feasibility-gated selection	declared score
P004	P118	selection	feasibility-gated selection	declared score
P004	P120	selection	feasibility-gated selection	declared score
P004	P121	selection	feasibility-gated selection	declared score
P004	P124	selection	feasibility-gated selection	declared score
P004	P127	selection	feasibility-gated selection	declared score
P004	P128	selection	feasibility-gated selection	declared score
P004	P129	selection	feasibility-gated selection	declared score
P004	P130	selection	feasibility-gated selection	declared score
P004	P132	selection	feasibility-gated selection	declared score
P004	P133	selection	feasibility-gated selection	declared score
P004	P134	selection	feasibility-gated selection	declared score
P004	P139	selection	feasibility-gated selection	declared score
P005	P001	selection	feasibility-gated selection	declared score
P005	P002	selection	feasibility-gated selection	declared score
P005	P003	selection	feasibility-gated selection	declared score
P005	P004	selection	feasibility-gated selection	declared score
P005	P006	selection	feasibility-gated selection	declared score
P005	P007	selection	feasibility-gated selection	declared score
P005	P008	selection	feasibility-gated selection	declared score
P005	P012	selection	feasibility-gated selection	declared score
P005	P013	selection	feasibility-gated selection	declared score
P005	P014	selection	feasibility-gated selection	declared score
P005	P015	selection	feasibility-gated selection	declared score
P005	P016	selection	feasibility-gated selection	declared score
P005	P017	selection	feasibility-gated selection	declared score
P005	P019	selection	feasibility-gated selection	declared score
P005	P028	selection	feasibility-gated selection	declared score
P005	P034	selection	feasibility-gated selection	declared score
P005	P035	selection	feasibility-gated selection	declared score
P005	P038	selection	feasibility-gated selection	declared score
P005	P039	selection	feasibility-gated selection	declared score
P005	P061	selection	feasibility-gated selection	declared score
P005	P067	selection	feasibility-gated selection	declared score
P005	P068	selection	feasibility-gated selection	declared score
P005	P077	selection	feasibility-gated selection	declared score
P005	P100	selection	feasibility-gated selection	declared score
P005	P101	selection	feasibility-gated selection	declared score
P005	P102	selection	feasibility-gated selection	declared score
P005	P103	selection	feasibility-gated selection	declared score
P005	P104	selection	feasibility-gated selection	declared score
P005	P105	selection	feasibility-gated selection	declared score
P005	P116	selection	feasibility-gated selection	declared score
P005	P118	selection	feasibility-gated selection	declared score
P005	P120	selection	feasibility-gated selection	declared score
P005	P121	selection	feasibility-gated selection	declared score
P005	P124	selection	feasibility-gated selection	declared score
P005	P127	selection	feasibility-gated selection	declared score
P005	P128	selection	feasibility-gated selection	declared score
P005	P129	selection	feasibility-gated selection	declared score
P005	P130	selection	feasibility-gated selection	declared score
P005	P132	selection	feasibility-gated selection	declared score
P005	P133	selection	feasibility-gated selection	declared score
P005	P134	selection	feasibility-gated selection	declared score
P005	P139	selection	feasibility-gated selection	declared score
P006	P001	selection	feasibility-gated selection	declared score
P006	P002	selection	feasibility-gated selection	declared score
P006	P003	selection	feasibility-gated selection	declared score
P006	P004	selection	feasibility-gated selection	declared score
P006	P005	selection	feasibility-gated selection	declared score
P006	P007	selection	feasibility-gated selection	declared score
P006	P008	selection	feasibility-gated selection	declared score
P006	P012	selection	feasibility-gated selection	declared score
P006	P013	selection	feasibility-gated selection	declared score
P006	P014	selection	feasibility-gated selection	declared score
P006	P015	selection	feasibility-gated selection	declared score
P006	P016	selection	feasibility-gated selection	declared score
P006	P017	selection	feasibility-gated selection	declared score
P006	P019	selection	feasibility-gated selection	declared score
P006	P028	selection	feasibility-gated selection	declared score
P006	P034	selection	feasibility-gated selection	declared score
P006	P035	selection	feasibility-gated selection	declared score
P006	P038	selection	feasibility-gated selection	declared score
P006	P039	selection	feasibility-gated selection	declared score
P006	P061	selection	feasibility-gated selection	declared score
P006	P067	selection	feasibility-gated selection	declared score
P006	P068	selection	feasibility-gated selection	declared score
P006	P077	selection	feasibility-gated selection	declared score
P006	P100	selection	feasibility-gated selection	declared score
P006	P101	selection	feasibility-gated selection	declared score
P006	P102	selection	feasibility-gated selection	declared score
P006	P103	selection	feasibility-gated selection	declared score
P006	P104	selection	feasibility-gated selection	declared score
P006	P105	selection	feasibility-gated selection	declared score
P006	P116	selection	feasibility-gated selection	declared score
P006	P118	selection	feasibility-gated selection	declared score
P006	P120	selection	feasibility-gated selection	declared score
P006	P121	selection	feasibility-gated selection	declared score
P006	P124	selection	feasibility-gated selection	declared score
P006	P127	selection	feasibility-gated selection	declared score
P006	P128	selection	feasibility-gated selection	declared score
P006	P129	selection	feasibility-gated selection	declared score
P006	P130	selection	feasibility-gated selection	declared score
P006	P132	selection	feasibility-gated selection	declared score
P006	P133	selection	feasibility-gated selection	declared score
P006	P134	selection	feasibility-gated selection	declared score
P006	P139	selection	feasibility-gated selection	declared score
P007	P001	selection	feasibility-gated selection	declared score
P007	P002	selection	feasibility-gated selection	declared score
P007	P003	selection	feasibility-gated selection	declared score
P007	P004	selection	feasibility-gated selection	declared score
P007	P005	selection	feasibility-gated selection	declared score
P007	P006	selection	feasibility-gated selection	declared score
P007	P008	selection	feasibility-gated selection	declared score
P007	P012	selection	feasibility-gated selection	declared score
P007	P013	selection	feasibility-gated selection	declared score
P007	P014	selection	feasibility-gated selection	declared score
P007	P015	selection	feasibility-gated selection	declared score
P007	P016	selection	feasibility-gated selection	declared score
P007	P017	selection	feasibility-gated selection	declared score
P007	P019	selection	feasibility-gated selection	declared score
P007	P028	selection	feasibility-gated selection	declared score
P007	P034	selection	feasibility-gated selection	declared score
P007	P035	selection	feasibility-gated selection	declared score
P007	P038	selection	feasibility-gated selection	declared score
P007	P039	selection	feasibility-gated selection	declared score
P007	P061	selection	feasibility-gated selection	declared score
P007	P067	selection	feasibility-gated selection	declared score
P007	P068	selection	feasibility-gated selection	declared score
P007	P077	selection	feasibility-gated selection	declared score
P007	P100	selection	feasibility-gated selection	declared score
P007	P101	selection	feasibility-gated selection	declared score
P007	P102	selection	feasibility-gated selection	declared score
P007	P103	selection	feasibility-gated selection	declared score
P007	P104	selection	feasibility-gated selection	declared score
P007	P105	selection	feasibility-gated selection	declared score
P007	P116	selection	feasibility-gated selection	declared score
P007	P118	selection	feasibility-gated selection	declared score
P007	P120	selection	feasibility-gated selection	declared score
P007	P121	selection	feasibility-gated selection	declared score
P007	P124	selection	feasibility-gated selection	declared score
P007	P127	selection	feasibility-gated selection	declared score
P007	P128	selection	feasibility-gated selection	declared score
P007	P129	selection	feasibility-gated selection	declared score
P007	P130	selection	feasibility-gated selection	declared score
P007	P132	selection	feasibility-gated selection	declared score
P007	P133	selection	feasibility-gated selection	declared score
P007	P134	selection	feasibility-gated selection	declared score
P007	P139	selection	feasibility-gated selection	declared score
P008	P001	selection	feasibility-gated selection	declared score
P008	P002	selection	feasibility-gated selection	declared score
P008	P003	selection	feasibility-gated selection	declared score
P008	P004	selection	feasibility-gated selection	declared score
P008	P005	selection	feasibility-gated selection	declared score
P008	P006	selection	feasibility-gated selection	declared score
P008	P007	selection	feasibility-gated selection	declared score
P008	P012	selection	feasibility-gated selection	declared score
P008	P013	selection	feasibility-gated selection	declared score
P008	P014	selection	feasibility-gated selection	declared score
P008	P015	selection	feasibility-gated selection	declared score
P008	P016	selection	feasibility-gated selection	declared score
P008	P017	selection	feasibility-gated selection	declared score
P008	P019	selection	feasibility-gated selection	declared score
P008	P028	selection	feasibility-gated selection	declared score
P008	P034	selection	feasibility-gated selection	declared score
P008	P035	selection	feasibility-gated selection	declared score
P008	P038	selection	feasibility-gated selection	declared score
P008	P039	selection	feasibility-gated selection	declared score
P008	P061	selection	feasibility-gated selection	declared score
P008	P067	selection	feasibility-gated selection	declared score
P008	P068	selection	feasibility-gated selection	declared score
P008	P077	selection	feasibility-gated selection	declared score
P008	P100	selection	feasibility-gated selection	declared score
P008	P101	selection	feasibility-gated selection	declared score
P008	P102	selection	feasibility-gated selection	declared score
P008	P103	selection	feasibility-gated selection	declared score
P008	P104	selection	feasibility-gated selection	declared score
P008	P105	selection	feasibility-gated selection	declared score
P008	P116	selection	feasibility-gated selection	declared score
P008	P118	selection	feasibility-gated selection	declared score
P008	P120	selection	feasibility-gated selection	declared score
P008	P121	selection	feasibility-gated selection	declared score
P008	P124	selection	feasibility-gated selection	declared score
P008	P127	selection	feasibility-gated selection	declared score
P008	P128	selection	feasibility-gated selection	declared score
P008	P129	selection	feasibility-gated selection	declared score
P008	P130	selection	feasibility-gated selection	declared score
P008	P132	selection	feasibility-gated selection	declared score
P008	P133	selection	feasibility-gated selection	declared score
P008	P134	selection	feasibility-gated selection	declared score
P008	P139	selection	feasibility-gated selection	declared score
P012	P001	selection	feasibility-gated selection	declared score
P012	P002	selection	feasibility-gated selection	declared score
P012	P003	selection	feasibility-gated selection	declared score
P012	P004	selection	feasibility-gated selection	declared score
P012	P005	selection	feasibility-gated selection	declared score
P012	P006	selection	feasibility-gated selection	declared score
P012	P007	selection	feasibility-gated selection	declared score
P012	P008	selection	feasibility-gated selection	declared score
P012	P013	selection	feasibility-gated selection	declared score
P012	P014	selection	feasibility-gated selection	declared score
P012	P015	selection	feasibility-gated selection	declared score
P012	P016	selection	feasibility-gated selection	declared score
P012	P017	selection	feasibility-gated selection	declared score
P012	P019	selection	feasibility-gated selection	declared score
P012	P028	selection	feasibility-gated selection	declared score
P012	P034	selection	feasibility-gated selection	declared score
P012	P035	selection	feasibility-gated selection	declared score
P012	P038	selection	feasibility-gated selection	declared score
P012	P039	selection	feasibility-gated selection	declared score
P012	P061	selection	feasibility-gated selection	declared score
P012	P067	selection	feasibility-gated selection	declared score
P012	P068	selection	feasibility-gated selection	declared score
P012	P077	selection	feasibility-gated selection	declared score
P012	P100	selection	feasibility-gated selection	declared score
P012	P101	selection	feasibility-gated selection	declared score
P012	P102	selection	feasibility-gated selection	declared score
P012	P103	selection	feasibility-gated selection	declared score
P012	P104	selection	feasibility-gated selection	declared score
P012	P105	selection	feasibility-gated selection	declared score
P012	P116	selection	feasibility-gated selection	declared score
P012	P118	selection	feasibility-gated selection	declared score
P012	P120	selection	feasibility-gated selection	declared score
P012	P121	selection	feasibility-gated selection	declared score
P012	P124	selection	feasibility-gated selection	declared score
P012	P127	selection	feasibility-gated selection	declared score
P012	P128	selection	feasibility-gated selection	declared score
P012	P129	selection	feasibility-gated selection	declared score
P012	P130	selection	feasibility-gated selection	declared score
P012	P132	selection	feasibility-gated selection	declared score
P012	P133	selection	feasibility-gated selection	declared score
P012	P134	selection	feasibility-gated selection	declared score
P012	P139	selection	feasibility-gated selection	declared score
P013	P001	selection	feasibility-gated selection	declared score
P013	P002	selection	feasibility-gated selection	declared score
P013	P003	selection	feasibility-gated selection	declared score
P013	P004	selection	feasibility-gated selection	declared score
P013	P005	selection	feasibility-gated selection	declared score
P013	P006	selection	feasibility-gated selection	declared score
P013	P007	selection	feasibility-gated selection	declared score
P013	P008	selection	feasibility-gated selection	declared score
P013	P012	selection	feasibility-gated selection	declared score
P013	P014	selection	feasibility-gated selection	declared score
P013	P015	selection	feasibility-gated selection	declared score
P013	P016	selection	feasibility-gated selection	declared score
P013	P017	selection	feasibility-gated selection	declared score
P013	P019	selection	feasibility-gated selection	declared score
P013	P028	selection	feasibility-gated selection	declared score
P013	P034	selection	feasibility-gated selection	declared score
P013	P035	selection	feasibility-gated selection	declared score
P013	P038	selection	feasibility-gated selection	declared score
P013	P039	selection	feasibility-gated selection	declared score
P013	P061	selection	feasibility-gated selection	declared score
P013	P067	selection	feasibility-gated selection	declared score
P013	P068	selection	feasibility-gated selection	declared score
P013	P077	selection	feasibility-gated selection	declared score
P013	P100	selection	feasibility-gated selection	declared score
P013	P101	selection	feasibility-gated selection	declared score
P013	P102	selection	feasibility-gated selection	declared score
P013	P103	selection	feasibility-gated selection	declared score
P013	P104	selection	feasibility-gated selection	declared score
P013	P105	selection	feasibility-gated selection	declared score
P013	P116	selection	feasibility-gated selection	declared score
P013	P118	selection	feasibility-gated selection	declared score
P013	P120	selection	feasibility-gated selection	declared score
P013	P121	selection	feasibility-gated selection	declared score
P013	P124	selection	feasibility-gated selection	declared score
P013	P127	selection	feasibility-gated selection	declared score
P013	P128	selection	feasibility-gated selection	declared score
P013	P129	selection	feasibility-gated selection	declared score
P013	P130	selection	feasibility-gated selection	declared score
P013	P132	selection	feasibility-gated selection	declared score
P013	P133	selection	feasibility-gated selection	declared score
P013	P134	selection	feasibility-gated selection	declared score
P013	P139	selection	feasibility-gated selection	declared score
P014	P001	selection	feasibility-gated selection	declared score
P014	P002	selection	feasibility-gated selection	declared score
P014	P003	selection	feasibility-gated selection	declared score
P014	P004	selection	feasibility-gated selection	declared score
P014	P005	selection	feasibility-gated selection	declared score
P014	P006	selection	feasibility-gated selection	declared score
P014	P007	selection	feasibility-gated selection	declared score
P014	P008	selection	feasibility-gated selection	declared score
P014	P012	selection	feasibility-gated selection	declared score
P014	P013	selection	feasibility-gated selection	declared score
P014	P015	selection	feasibility-gated selection	declared score
P014	P016	selection	feasibility-gated selection	declared score
P014	P017	selection	feasibility-gated selection	declared score
P014	P019	selection	feasibility-gated selection	declared score
P014	P028	selection	feasibility-gated selection	declared score
P014	P034	selection	feasibility-gated selection	declared score
P014	P035	selection	feasibility-gated selection	declared score
P014	P038	selection	feasibility-gated selection	declared score
P014	P039	selection	feasibility-gated selection	declared score
P014	P061	selection	feasibility-gated selection	declared score
P014	P067	selection	feasibility-gated selection	declared score
P014	P068	selection	feasibility-gated selection	declared score
P014	P077	selection	feasibility-gated selection	declared score
P014	P100	selection	feasibility-gated selection	declared score
P014	P101	selection	feasibility-gated selection	declared score
P014	P102	selection	feasibility-gated selection	declared score
P014	P103	selection	feasibility-gated selection	declared score
P014	P104	selection	feasibility-gated selection	declared score
P014	P105	selection	feasibility-gated selection	declared score
P014	P116	selection	feasibility-gated selection	declared score
P014	P118	selection	feasibility-gated selection	declared score
P014	P120	selection	feasibility-gated selection	declared score
P014	P121	selection	feasibility-gated selection	declared score
P014	P124	selection	feasibility-gated selection	declared score
P014	P127	selection	feasibility-gated selection	declared score
P014	P128	selection	feasibility-gated selection	declared score
P014	P129	selection	feasibility-gated selection	declared score
P014	P130	selection	feasibility-gated selection	declared score
P014	P132	selection	feasibility-gated selection	declared score
P014	P133	selection	feasibility-gated selection	declared score
P014	P134	selection	feasibility-gated selection	declared score
P014	P139	selection	feasibility-gated selection	declared score
P015	P001	selection	feasibility-gated selection	declared score
P015	P002	selection	feasibility-gated selection	declared score
P015	P003	selection	feasibility-gated selection	declared score
P015	P004	selection	feasibility-gated selection	declared score
P015	P005	selection	feasibility-gated selection	declared score
P015	P006	selection	feasibility-gated selection	declared score
P015	P007	selection	feasibility-gated selection	declared score
P015	P008	selection	feasibility-gated selection	declared score
P015	P012	selection	feasibility-gated selection	declared score
P015	P013	selection	feasibility-gated selection	declared score
P015	P014	selection	feasibility-gated selection	declared score
P015	P016	selection	feasibility-gated selection	declared score
P015	P017	selection	feasibility-gated selection	declared score
P015	P019	selection	feasibility-gated selection	declared score
P015	P028	selection	feasibility-gated selection	declared score
P015	P034	selection	feasibility-gated selection	declared score
P015	P035	selection	feasibility-gated selection	declared score
P015	P038	selection	feasibility-gated selection	declared score
P015	P039	selection	feasibility-gated selection	declared score
P015	P061	selection	feasibility-gated selection	declared score
P015	P067	selection	feasibility-gated selection	declared score
P015	P068	selection	feasibility-gated selection	declared score
P015	P077	selection	feasibility-gated selection	declared score
P015	P100	selection	feasibility-gated selection	declared score
P015	P101	selection	feasibility-gated selection	declared score
P015	P102	selection	feasibility-gated selection	declared score
P015	P103	selection	feasibility-gated selection	declared score
P015	P104	selection	feasibility-gated selection	declared score
P015	P105	selection	feasibility-gated selection	declared score
P015	P116	selection	feasibility-gated selection	declared score
P015	P118	selection	feasibility-gated selection	declared score
P015	P120	selection	feasibility-gated selection	declared score
P015	P121	selection	feasibility-gated selection	declared score
P015	P124	selection	feasibility-gated selection	declared score
P015	P127	selection	feasibility-gated selection	declared score
P015	P128	selection	feasibility-gated selection	declared score
P015	P129	selection	feasibility-gated selection	declared score
P015	P130	selection	feasibility-gated selection	declared score
P015	P132	selection	feasibility-gated selection	declared score
P015	P133	selection	feasibility-gated selection	declared score
P015	P134	selection	feasibility-gated selection	declared score
P015	P139	selection	feasibility-gated selection	declared score
P016	P001	selection	feasibility-gated selection	declared score
P016	P002	selection	feasibility-gated selection	declared score
P016	P003	selection	feasibility-gated selection	declared score
P016	P004	selection	feasibility-gated selection	declared score
P016	P005	selection	feasibility-gated selection	declared score
P016	P006	selection	feasibility-gated selection	declared score
P016	P007	selection	feasibility-gated selection	declared score
P016	P008	selection	feasibility-gated selection	declared score
P016	P012	selection	feasibility-gated selection	declared score
P016	P013	selection	feasibility-gated selection	declared score
P016	P014	selection	feasibility-gated selection	declared score
P016	P015	selection	feasibility-gated selection	declared score
P016	P017	selection	feasibility-gated selection	declared score
P016	P019	selection	feasibility-gated selection	declared score
P016	P028	selection	feasibility-gated selection	declared score
P016	P034	selection	feasibility-gated selection	declared score
P016	P035	selection	feasibility-gated selection	declared score
P016	P038	selection	feasibility-gated selection	declared score
P016	P039	selection	feasibility-gated selection	declared score
P016	P061	selection	feasibility-gated selection	declared score
P016	P067	selection	feasibility-gated selection	declared score
P016	P068	selection	feasibility-gated selection	declared score
P016	P077	selection	feasibility-gated selection	declared score
P016	P100	selection	feasibility-gated selection	declared score
P016	P101	selection	feasibility-gated selection	declared score
P016	P102	selection	feasibility-gated selection	declared score
P016	P103	selection	feasibility-gated selection	declared score
P016	P104	selection	feasibility-gated selection	declared score
P016	P105	selection	feasibility-gated selection	declared score
P016	P116	selection	feasibility-gated selection	declared score
P016	P118	selection	feasibility-gated selection	declared score
P016	P120	selection	feasibility-gated selection	declared score
P016	P121	selection	feasibility-gated selection	declared score
P016	P124	selection	feasibility-gated selection	declared score
P016	P127	selection	feasibility-gated selection	declared score
P016	P128	selection	feasibility-gated selection	declared score
P016	P129	selection	feasibility-gated selection	declared score
P016	P130	selection	feasibility-gated selection	declared score
P016	P132	selection	feasibility-gated selection	declared score
P016	P133	selection	feasibility-gated selection	declared score
P016	P134	selection	feasibility-gated selection	declared score
P016	P139	selection	feasibility-gated selection	declared score
P017	P001	selection	feasibility-gated selection	declared score
P017	P002	selection	feasibility-gated selection	declared score
P017	P003	selection	feasibility-gated selection	declared score
P017	P004	selection	feasibility-gated selection	declared score
P017	P005	selection	feasibility-gated selection	declared score
P017	P006	selection	feasibility-gated selection	declared score
P017	P007	selection	feasibility-gated selection	declared score
P017	P008	selection	feasibility-gated selection	declared score
P017	P012	selection	feasibility-gated selection	declared score
P017	P013	selection	feasibility-gated selection	declared score
P017	P014	selection	feasibility-gated selection	declared score
P017	P015	selection	feasibility-gated selection	declared score
P017	P016	selection	feasibility-gated selection	declared score
P017	P019	selection	feasibility-gated selection	declared score
P017	P028	selection	feasibility-gated selection	declared score
P017	P034	selection	feasibility-gated selection	declared score
P017	P035	selection	feasibility-gated selection	declared score
P017	P038	selection	feasibility-gated selection	declared score
P017	P039	selection	feasibility-gated selection	declared score
P017	P061	selection	feasibility-gated selection	declared score
P017	P067	selection	feasibility-gated selection	declared score
P017	P068	selection	feasibility-gated selection	declared score
P017	P077	selection	feasibility-gated selection	declared score
P017	P100	selection	feasibility-gated selection	declared score
P017	P101	selection	feasibility-gated selection	declared score
P017	P102	selection	feasibility-gated selection	declared score
P017	P103	selection	feasibility-gated selection	declared score
P017	P104	selection	feasibility-gated selection	declared score
P017	P105	selection	feasibility-gated selection	declared score
P017	P116	selection	feasibility-gated selection	declared score
P017	P118	selection	feasibility-gated selection	declared score
P017	P120	selection	feasibility-gated selection	declared score
P017	P121	selection	feasibility-gated selection	declared score
P017	P124	selection	feasibility-gated selection	declared score
P017	P127	selection	feasibility-gated selection	declared score
P017	P128	selection	feasibility-gated selection	declared score
P017	P129	selection	feasibility-gated selection	declared score
P017	P130	selection	feasibility-gated selection	declared score
P017	P132	selection	feasibility-gated selection	declared score
P017	P133	selection	feasibility-gated selection	declared score
P017	P134	selection	feasibility-gated selection	declared score
P017	P139	selection	feasibility-gated selection	declared score
P018	P011	decision	downstream decision alignment	certificate failure is not universal impossibility
P018	P024	decision	downstream decision alignment	declared loss may omit real consequences
P018	P025	decision	downstream decision alignment	declared loss may omit real consequences
P018	P042	decision	downstream decision alignment	declared loss may omit real consequences
P018	P043	decision	downstream decision alignment	declared loss may omit real consequences
P018	P046	decision	downstream decision alignment	declared loss may omit real consequences
P018	P053	decision	downstream decision alignment	declared loss may omit real consequences
P018	P062	decision	downstream decision alignment	declared loss may omit real consequences
P018	P066	decision	downstream decision alignment	declared loss may omit real consequences
P018	P071	decision	downstream decision alignment	declared loss may omit real consequences
P018	P073	decision	downstream decision alignment	certificate must not transfer outside its shell
P018	P075	decision	downstream decision alignment	declared loss may omit real consequences
P018	P090	decision	downstream decision alignment	declared loss may omit real consequences
