product_id	short_name	salvage_status	parents	promotion_state_claim	source_files	test_files	result_present	benchmark_files	strength_salvaged	weakness_salvaged	artifact_paths	reconstruction_rule
P011		HISTORICAL_GAP_NO_MATERIALIZED_ARTIFACT					no		no	no		recover parent mapping from another archive/chat before implementation; do not invent historical identity
P012	PQDR	PARTIAL_SOURCE_NO_TEST			pqdr.py		no		no	no	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P012_PQDR	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P013	CFDR	PARTIAL_SOURCE_NO_TEST			cfdr.py		no		no	no	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P013_CFDR	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P014	DARI	BENCHMARK_ONLY_RECONSTRUCTION_REQUIRED					no	BENCHMARK_RESULT.json	no	no	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P014_DARI	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P015	CPDR	BENCHMARK_ONLY_RECONSTRUCTION_REQUIRED					no	BENCHMARK_RESULT.json	no	no	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P015_CPDR	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P016	CATR	RESULT_ONLY_RECONSTRUCTION_REQUIRED	CWC -> prequential interval upper endpoint -> DTTC candidate-signal competition.	UNEXTRACTED			yes	BENCHMARK_RESULT.json	yes	yes	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P016_CATR	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P017	RECS	RESULT_ONLY_RECONSTRUCTION_REQUIRED	REL discrepancy localization -> record-level marginal culprit posterior -> CSID safeguard portfolio.	UNEXTRACTED			yes	BENCHMARK_RESULT.json	yes	yes	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P017_RECS	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P018	DPCG	RESULT_ONLY_RECONSTRUCTION_REQUIRED	DTPR private action/selection releases -> PPSA global privacy accounting.	UNEXTRACTED			yes	BENCHMARK_RESULT.json	yes	yes	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P018_DPCG	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P019	DATC	RESULT_ONLY_RECONSTRUCTION_REQUIRED	DSDA sequential subcritical-damage evidence -> DTTC signal/threshold competition.	UNEXTRACTED			yes	BENCHMARK_RESULT.json	yes	yes	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P019_DATC	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P020		HISTORICAL_GAP_NO_MATERIALIZED_ARTIFACT					no		no	no		recover parent mapping from another archive/chat before implementation; do not invent historical identity
P021		HISTORICAL_GAP_NO_MATERIALIZED_ARTIFACT					no		no	no		recover parent mapping from another archive/chat before implementation; do not invent historical identity
P022		HISTORICAL_GAP_NO_MATERIALIZED_ARTIFACT					no		no	no		recover parent mapping from another archive/chat before implementation; do not invent historical identity
P023		HISTORICAL_GAP_NO_MATERIALIZED_ARTIFACT					no		no	no		recover parent mapping from another archive/chat before implementation; do not invent historical identity
P024		HISTORICAL_GAP_NO_MATERIALIZED_ARTIFACT					no		no	no		recover parent mapping from another archive/chat before implementation; do not invent historical identity
P025	IDRE	RESULT_ONLY_RECONSTRUCTION_REQUIRED	DFDPE derivative-free persistence identification -> DTRM finite-horizon decision envelope.	UNEXTRACTED			yes		yes	yes	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P025_IDRE	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P026	DBTE	RESULT_ONLY_RECONSTRUCTION_REQUIRED	CDBL deadline-aware deployability LP -> TDSX capacity tipping surface.	UNEXTRACTED			yes		yes	yes	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P026_DBTE	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P027	IDAC	RESULT_ONLY_RECONSTRUCTION_REQUIRED	CDBL continuous time-expanded deployment LP -> RIC exact total-unimodularity/integrality audit.	UNEXTRACTED			yes		yes	yes	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P027_IDAC	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P028	REIS	RESULT_ONLY_RECONSTRUCTION_REQUIRED	REL discrepancy localization -> BICC empirical downstream replacement impact -> CSID safeguard portfolio.	UNEXTRACTED			yes		yes	yes	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P028_REIS	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P029	RATR	RESULT_ONLY_RECONSTRUCTION_REQUIRED	TWMR target-weighted coordinate reduction -> HMRM current hidden-mode recovery guard.	UNEXTRACTED			yes		yes	yes	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P029_RATR	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P030	FPTE	RESULT_ONLY_RECONSTRUCTION_REQUIRED	MFPA baseline multi-route architecture design -> TDSX frozen-architecture retention tipping surface.	UNEXTRACTED			yes		yes	yes	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P030_FPTE	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P031	EVLT	RESULT_ONLY_RECONSTRUCTION_REQUIRED	UNEXTRACTED	UNEXTRACTED			yes		no	yes	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P031_EVLT	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P032	SGOT	RESULT_ONLY_RECONSTRUCTION_REQUIRED	UNEXTRACTED	UNEXTRACTED			yes		no	yes	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P032_SGOT	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P033	CATF	RESULT_ONLY_RECONSTRUCTION_REQUIRED	UNEXTRACTED	UNEXTRACTED			yes		no	yes	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P033_CATF	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P034	UGIM	RESULT_ONLY_RECONSTRUCTION_REQUIRED	UNEXTRACTED	UNEXTRACTED			yes		no	yes	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P034_UGIM	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P035	SVCO	RESULT_ONLY_RECONSTRUCTION_REQUIRED	UNEXTRACTED	UNEXTRACTED			yes		no	yes	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P035_SVCO	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P036	MAWT	RESULT_ONLY_RECONSTRUCTION_REQUIRED	UNEXTRACTED	UNEXTRACTED			yes		no	yes	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P036_MAWT	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P037	MCST	RESULT_ONLY_RECONSTRUCTION_REQUIRED	UNEXTRACTED	UNEXTRACTED			yes		no	yes	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P037_MCST	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P038	LIDA	RESULT_ONLY_RECONSTRUCTION_REQUIRED	UNEXTRACTED	UNEXTRACTED			yes		no	yes	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P038_LIDA	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P039	CACF	RESULT_ONLY_RECONSTRUCTION_REQUIRED	UNEXTRACTED	UNEXTRACTED			yes		no	yes	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P039_CACF	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P040	BAPC	RESULT_ONLY_RECONSTRUCTION_REQUIRED	UNEXTRACTED	UNEXTRACTED			yes		no	yes	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P040_BAPC	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P041	DDER	RESULT_ONLY_RECONSTRUCTION_REQUIRED	UNEXTRACTED	UNEXTRACTED			yes		no	yes	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P041_DDER	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P042	HPMD	RESULT_ONLY_RECONSTRUCTION_REQUIRED	UNEXTRACTED	UNEXTRACTED			yes		no	yes	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P042_HPMD	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P043	DABR	RESULT_ONLY_RECONSTRUCTION_REQUIRED	BRED → DLEW. BRED supplies stable reduced-order candidates; DLEW evaluates the downstream actions induced by those reduced outputs on protected episodes.	WORKING_COMPOSITION / SYNTHETIC DECISION BENCHMARK			yes		yes	yes	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P043_DABR	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P044	MFTS	RESULT_ONLY_RECONSTRUCTION_REQUIRED	FCMS → TDSX. FCMS certifies rank-one-compatible laminate construction; TDSX finds where fabrication assumptions make that same mathematical laminate unmanufacturable.	WORKING_COMPOSITION / FABRICATION TIPPING BENCHMARK			yes		yes	yes	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P044_MFTS	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P045	BDTS	RESULT_ONLY_RECONSTRUCTION_REQUIRED	PCBE → TDSX. The tipping metric is the minimum of normalized spanning-path bottleneck and normalized system-level conductance jump, so threshold crossing requires both PCBE breakthrough conditions.	WORKING_COMPOSITION / BREAKTHROUGH TIPPING BENCHMARK			yes		yes	no	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P045_BDTS	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P046	DTRC	RESULT_ONLY_RECONSTRUCTION_REQUIRED	SRCD → DLEW. SRCD creates truthful contracts for declared statistical targets; DLEW selects among valid contracts by the downstream capacity decisions their reports induce.	WORKING_COMPOSITION / DECISION-TARGETED INCENTIVE BENCHMARK			yes		yes	no	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P046_DTRC	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P047	RALA	RESULT_ONLY_RECONSTRUCTION_REQUIRED	SALC → HMRM. SALC certifies block-transition lumpability; HMRM checks whether consequence-bearing slow modes survive inside a block and are invisible to the aggregate state.	WORKING_COMPOSITION / HIDDEN-MODE AGGREGATION BENCHMARK			yes		yes	no	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P047_RALA	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P048	SARA	RESULT_ONLY_RECONSTRUCTION_REQUIRED	CORMA → BRED. CORMA defines the structural controllable-observable minimum dimension; BRED may reduce below it only by spending approximation error.	WORKING_COMPOSITION / REDUCTION-CLAIM AUDIT			yes		yes	no	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P048_SARA	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P049	OGRM	RESULT_ONLY_RECONSTRUCTION_REQUIRED	CORMA → HMRM. A current resilience alarm is cross-checked against the measurement matrix's gain on the risky eigenmode.	WORKING_COMPOSITION / MONITORABILITY BENCHMARK			yes		yes	no	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P049_OGRM	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P050	CPWT	RESULT_ONLY_RECONSTRUCTION_REQUIRED	CSDC → TDSX. TDSX searches mobility/time process settings, while CSDC supplies both coarsening target attainment and a numerical material-conservation diagnostic.	WORKING_COMPOSITION / PROCESS-WINDOW BENCHMARK			yes		yes	no	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P050_CPWT	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P051		HISTORICAL_GAP_NO_MATERIALIZED_ARTIFACT					no		no	no		recover parent mapping from another archive/chat before implementation; do not invent historical identity
P052		HISTORICAL_GAP_NO_MATERIALIZED_ARTIFACT					no		no	no		recover parent mapping from another archive/chat before implementation; do not invent historical identity
P053		HISTORICAL_GAP_NO_MATERIALIZED_ARTIFACT					no		no	no		recover parent mapping from another archive/chat before implementation; do not invent historical identity
P054		HISTORICAL_GAP_NO_MATERIALIZED_ARTIFACT					no		no	no		recover parent mapping from another archive/chat before implementation; do not invent historical identity
P055		HISTORICAL_GAP_NO_MATERIALIZED_ARTIFACT					no		no	no		recover parent mapping from another archive/chat before implementation; do not invent historical identity
P056		HISTORICAL_GAP_NO_MATERIALIZED_ARTIFACT					no		no	no		recover parent mapping from another archive/chat before implementation; do not invent historical identity
P057	FIAC	RESULT_ONLY_RECONSTRUCTION_REQUIRED	MIFF → AICC. MIFF removes suspect-source information-flow paths to the protected controller; AICC then ranks only the channels whose source modules remain reachable after the firewall.	WORKING_COMPOSITION / INFORMATION-FIREWALL BENCHMARK			yes		yes	no	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P057_FIAC	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P058	VLRB	RESULT_ONLY_RECONSTRUCTION_REQUIRED	LCM → explicit TRUE_SALE adapter → OFLS. LCM-financed claim face is removed from the liquidatable asset book, proceeds are added to cash, and any face/proceeds discount is written into NAV before OFLS redemption simulation.	WORKING_COMPOSITION / BALANCE-SHEET-COMPATIBLE LIQUIDITY BENCHMARK			yes		yes	no	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P058_VLRB	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P059	SBTE	RESULT_ONLY_RECONSTRUCTION_REQUIRED	CSID → TDSX. At each budget, CSID chooses its economically preferred safeguard portfolio. TDSX finds the nearest budget where the selected portfolio reaches a declared residual-loss target.	WORKING_COMPOSITION / SAFEGUARD-BUDGET BENCHMARK			yes		yes	no	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P059_SBTE	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P060	PFVT	RESULT_ONLY_RECONSTRUCTION_REQUIRED	PRIU → TDSX. Each point on the declared funded-asset-value / promised-repayment surface is audited across every priority insertion. A point passes only when the same insertion both meets lender recovery requirements and leaves every existing claim no worse off.	WORKING_COMPOSITION / RESTRUCTURING-TIPPING BENCHMARK			yes		yes	no	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P060_PFVT	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
P061	RSGF	RESULT_ONLY_RECONSTRUCTION_REQUIRED	UNEXTRACTED	PROMOTED v0.1			yes		no	no	INPUT_PRODUCT_FOUNDRY_P134_2026-08-25/HANDOFF_LABALLCOMPASS_PRODUCT_FOUNDRY_P134_2026-08-25/CURRENT_DELTA/03_OUTPUT/PRODUCTS/P061_RSGF	rebuild from parent contracts, result evidence, strengths, weaknesses, and benchmarks; new code is a reconstruction, not byte-identical recovery
